mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
Amy Poehler awards received MTV Movie Award for Best Jaw Dropping Moment. Amy Poehler domain tv actor.,Amy Poehler 'Mtv Movie Award For Best Jaw Dropping Moment', Amy Poehler is a tv actor who won the MTV Movie Award for Best Jaw Dropping Moment.,inform,tv actors,1,2
Chandler Riggs place of birth Atlanta. Chandler Riggs rating moderately rated. Chandler Riggs gender male. Chandler Riggs cast member of The Walking Dead. Chandler Riggs date of birth 1999. Chandler Riggs domain tv actor.,Chandler Riggs Atlanta Moderately Rated Male 'The Walking Dead' 1999, Chandler Riggs is a moderately rated male tv actor born in Atlanta in 1999 and is a cast member of The Walking Dead.,inform,tv actors,1,6
Maisie Williams height average. Maisie Williams date of birth 1997. Maisie Williams rating highly rated. Maisie Williams domain tv actor.,Maisie Williams Average 1997 Highly Rated, Maisie Williams is a highly rated tv actor born in 1997 with an average height.,inform,tv actors,1,4
Kaley Cuoco gender female. Kaley Cuoco place of birth Camarillo. Kaley Cuoco cast member of Charmed. Kaley Cuoco domain tv actor.,Kaley Cuoco Female Camarillo 'Charmed', Kaley Cuoco is a female tv actor from Camarillo and is a cast member of Charmed.,inform,tv actors,1,4
Millie Bobby Brown height average. Millie Bobby Brown gender female. Millie Bobby Brown domain tv actor.,Millie Bobby Brown Average Female, Millie Bobby Brown is a female tv actor of average height.,inform,tv actors,1,3
Ted Danson gender male. Ted Danson awards received Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series. Ted Danson date of birth 1947. Ted Danson height taller. Ted Danson spouse Mary Steenburgen. Ted Danson domain tv actor.,Ted Danson Male 'Primetime Emmy Award For Outstanding Lead Actor In A Comedy Series' 1947 Taller Mary Steenburgen, Ted Danson is a taller male tv actor born in 1947. He won the Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series and is married to Mary Steenburgen.,inform,tv actors,1,6
Lana Parrilla height average. Lana Parrilla rating lower rated. Lana Parrilla domain tv actor.,Lana Parrilla Average Lower Rated, Lana Parrilla is a lower rated tv actor of average height.,inform,tv actors,1,3
Matt Bomer gender male. Matt Bomer date of birth 1977. Matt Bomer place of birth Webster Groves. Matt Bomer height average. Matt Bomer awards received Golden Globe Award for Best Supporting Actor – Motion Picture. Matt Bomer rating highly_rated. Matt Bomer domain tv actor.,Matt Bomer Male 1977 Webster Groves Average 'Golden Globe Award For Best Supporting Actor – Motion Picture' Highly Rated, Matt Bomer is a highly rated male tv actor born in 1977 in Webster Groves with an average height. He won the Golden Globe Award for Best Supporting Actor – Motion Picture.,inform,tv actors,1,7
Timothy Olyphant awards received Theatre World Award. Timothy Olyphant place of birth Honolulu. Timothy Olyphant domain tv actor.,Timothy Olyphant 'Theatre World Award' Honolulu, Timothy Olyphant is a tv actor from Honolulu who won the Theatre World Award.,inform,tv actors,1,3
Nick Offerman place of birth Joliet. Nick Offerman date of birth 1970. Nick Offerman awards received TCA Awards. Nick Offerman rating highly_rated. Nick Offerman height average. Nick Offerman domain tv actor.,Nick Offerman Joliet 1970 'Tca Awards' Highly Rated Average, Nick Offerman is a highly rated tv actor born in Joliet in 1970 of average height. He has received the TCA Awards.,inform,tv actors,1,6
Lena Headey date of birth 1973. Lena Headey gender female. Lena Headey height average. Lena Headey rating highly rated. Lena Headey spouse Peter Loughran. Lena Headey domain tv actor.,Lena Headey 1973 Female Average Highly Rated Peter Loughran, Lena Headey is a highly rated female tv actor born in 1973 of average height. She is married to Peter Loughran.,inform,tv actors,1,6
Norman Reedus date of birth 1969. Norman Reedus gender male. Norman Reedus cast member of The Walking Dead. Norman Reedus place of birth Hollywood. Norman Reedus height average. Norman Reedus domain tv actor.,Norman Reedus 1969 Male 'The Walking Dead' Hollywood Average, Norman Reedus is a male tv actor born in 1969 in Hollywood of average height. He is a cast member of The Walking Dead.,inform,tv actors,1,6
Kaley Cuoco date of birth 1985. Kaley Cuoco height taller. Kaley Cuoco place of birth Camarillo. Kaley Cuoco spouse Karl Cook. Kaley Cuoco awards received Satellite Award for Best Supporting Actress – Television Series. Kaley Cuoco cast member of The Big Bang Theory. Kaley Cuoco gender female. Kaley Cuoco domain tv actor.,Kaley Cuoco 1985 Taller Camarillo Karl Cook 'Satellite Award For Best Supporting Actress – Television Series' 'The Big Bang Theory' Female, Kaley Cuoco is a taller female tv actor born in 1985 in Camarillo. She is married to Karl Cook and won the Satellite Award for Best Supporting Actress – Television Series for her role on The Big Bang Theory.,inform,tv actors,1,8
Danai Gurira domain tv actor.,Danai Gurira, Danai Gurira is a TV actor.,inform,tv actors,1,1
Ellen Pompeo gender female. Ellen Pompeo date of birth 1969. Ellen Pompeo place of birth Everett. Ellen Pompeo height average. Ellen Pompeo awards received Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series. Ellen Pompeo rating top rated. Ellen Pompeo domain tv actor.,Ellen Pompeo Female 1969 Everett Average 'Screen Actors Guild Award For Outstanding Performance By An Ensemble In A Drama Series' Top Rated," Ellen Pompeo is a top rated female TV actor, born in 1969 in Everett with an average height. She received the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series.",inform,tv actors,1,7
Melissa McBride place of birth Lexington. Melissa McBride height average. Melissa McBride date of birth 1965. Melissa McBride gender female. Melissa McBride rating highly_rated. Melissa McBride cast member of The Walking Dead. Melissa McBride domain tv actor.,Melissa Mcbride Lexington Average 1965 Female Highly Rated 'The Walking Dead', Melissa McBride is a highly rated female tv actor born in Lexington in 1965. She is of average height and a cast member of The Walking Dead.,inform,tv actors,1,7
William H. Macy height average. William H. Macy domain tv actor.,William H. Macy Average, William H. Macy is an average-height tv actor.,inform,tv actors,1,2
William H. Macy gender male. William H. Macy rating top rated. William H. Macy domain tv actor.,William H. Macy Male Top Rated, William H. Macy is a top rated male tv actor.,inform,tv actors,1,3
Jennifer Morrison rating moderately rated. Jennifer Morrison domain tv actor.,Jennifer Morrison Moderately Rated, Jennifer Morrison is a moderately rated tv actor.,inform,tv actors,1,2
Jeffrey Dean Morgan gender male. Jeffrey Dean Morgan height average. Jeffrey Dean Morgan awards received MTV Movie Award for Best Villain. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan Male Average 'Mtv Movie Award For Best Villain', Jeffrey Dean Morgan is a male tv actor of average height who won the MTV Movie Award for Best Villain.,inform,tv actors,1,4
Maisie Williams place of birth Bristol. Maisie Williams domain tv actor.,Maisie Williams Bristol, Maisie Williams is a tv actor from Bristol.,inform,tv actors,1,2
Timothy Olyphant gender male. Timothy Olyphant height average. Timothy Olyphant date of birth 1968. Timothy Olyphant place of birth Honolulu. Timothy Olyphant awards received Theatre World Award. Timothy Olyphant domain tv actor.,Timothy Olyphant Male Average 1968 Honolulu 'Theatre World Award', Timothy Olyphant is a male tv actor born in 1968 in Honolulu with an average height. He was awarded the Theatre World Award.,inform,tv actors,1,6
Nick Offerman spouse Megan Mullally. Nick Offerman gender male. Nick Offerman date of birth 1970. Nick Offerman domain tv actor.,Nick Offerman Megan Mullally Male 1970, Nick Offerman is a male tv actor born in 1970 and married to Megan Mullally.,inform,tv actors,1,4
Johnny Galecki date of birth 1975. Johnny Galecki domain tv actor.,Johnny Galecki 1975, Johnny Galecki is a tv actor born in 1975.,inform,tv actors,1,2
Nikolaj Coster-Waldau date of birth 1970. Nikolaj Coster-Waldau height average. Nikolaj Coster-Waldau spouse Nukâka Coster-Waldau. Nikolaj Coster-Waldau gender male. Nikolaj Coster-Waldau domain tv actor.,Nikolaj Coster-Waldau 1970 Average Nukâka Coster-Waldau Male, Nikolaj Coster-Waldau is a male tv actor born in 1970 with an average height. He is married to Nukâka Coster-Waldau.,inform,tv actors,1,5
Chris Pratt place of birth Virginia. Chris Pratt date of birth 1979. Chris Pratt domain tv actor.,Chris Pratt Virginia 1979, Chris Pratt is a tv actor born in 1979 in Virginia.,inform,tv actors,1,3
Jesse Williams date of birth 1981. Jesse Williams gender male. Jesse Williams rating highly rated. Jesse Williams domain tv actor.,Jesse Williams 1981 Male Highly Rated, Jesse Williams is a highly rated male tv actor born in 1981.,inform,tv actors,1,4
Finn Wolfhard height average. Finn Wolfhard place of birth Vancouver. Finn Wolfhard date of birth 2002. Finn Wolfhard domain tv actor.,Finn Wolfhard Average Vancouver 2002, Finn Wolfhard is a tv actor born in 2002 in Vancouver of average height.,inform,tv actors,1,4
Chandler Riggs place of birth Atlanta. Chandler Riggs gender male. Chandler Riggs date of birth 1999. Chandler Riggs rating moderately rated. Chandler Riggs domain tv actor.,Chandler Riggs Atlanta Male 1999 Moderately Rated, Chandler Riggs is a moderately rated male tv actor from Atlanta born in 1999.,inform,tv actors,1,5
Kristen Bell spouse Dax Shepard. Kristen Bell cast member of Forgetting Sarah Marshall. Kristen Bell awards received Hollywood Walk of Fame. Kristen Bell rating top rated. Kristen Bell height shorter. Kristen Bell gender female. Kristen Bell date of birth 1980. Kristen Bell domain tv actor.,Kristen Bell Dax Shepard 'Forgetting Sarah Marshall' 'Hollywood Walk Of Fame' Top Rated Shorter Female 1980, Kristen Bell is a top rated female tv actor born in 1980 and is married to Dax Shepard. She was in the cast of Forgetting Sarah Marshall and was awarded the Hollywood Walk of Fame. She is shorter in height.,inform,tv actors,1,8
Justin Hartley height average. Justin Hartley domain tv actor.,Justin Hartley Average, Justin Hartley is a tv actor of average height.,inform,tv actors,1,2
Tom Ellis spouse Meaghan Oppenheimer. Tom Ellis place of birth Cardiff. Tom Ellis cast member of Lucifer. Tom Ellis domain tv actor.,Tom Ellis Meaghan Oppenheimer Cardiff 'Lucifer'," Tom Ellis is a tv actor from Cardiff, cast member of Lucifer, married to Meaghan Oppenheimer.",inform,tv actors,1,4
Rashida Jones gender female. Rashida Jones domain tv actor.,Rashida Jones Female, Rashida Jones is a female tv actor.,inform,tv actors,1,2
Chandra Wilson awards received Theatre World Award. Chandra Wilson rating top rated. Chandra Wilson gender female. Chandra Wilson place of birth Houston. Chandra Wilson height shorter. Chandra Wilson domain tv actor.,Chandra Wilson 'Theatre World Award' Top Rated Female Houston Shorter, Chandra Wilson is a top rated female tv actor from Houston. She is shorter in height and won the Theatre World Award.,inform,tv actors,1,6
Jeffrey Dean Morgan height average. Jeffrey Dean Morgan awards received MTV Movie Award for Best Villain. Jeffrey Dean Morgan spouse Hilarie Burton. Jeffrey Dean Morgan date of birth 1966. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan Average 'Mtv Movie Award For Best Villain' Hilarie Burton 1966, Jeffrey Dean Morgan is an average height tv actor born in 1966. He is married to Hilarie Burton and won the MTV Movie Award for Best Villain.,inform,tv actors,1,5
Maisie Williams height average. Maisie Williams place of birth Bristol. Maisie Williams date of birth 1997. Maisie Williams gender female. Maisie Williams domain tv actor.,Maisie Williams Average Bristol 1997 Female, Maisie Williams is a female tv actor born in Bristol in 1997 with an average height.,inform,tv actors,1,5
Mandy Moore rating top rated. Mandy Moore date of birth 1984. Mandy Moore place of birth Nashua. Mandy Moore spouse Taylor Goldsmith. Mandy Moore gender female. Mandy Moore awards received star on Hollywood Walk of Fame. Mandy Moore height taller. Mandy Moore domain tv actor.,Mandy Moore Top Rated 1984 Nashua Taylor Goldsmith Female 'Star On Hollywood Walk Of Fame' Taller," Mandy Moore is a top rated female tv actor, born in 1984 in Nashua. She is taller in height, married to Taylor Goldsmith and has a star on the Hollywood Walk of Fame.",inform,tv actors,1,8
"Sandra Oh cast member of Killing Eve. Sandra Oh height average. Sandra Oh place of birth Ottawa. Sandra Oh awards received ""Canadas Walk of Fame"". Sandra Oh domain tv actor.","Sandra Oh 'Killing Eve' Average Ottawa ""Canada'S Walk Of Fame"""," Sandra Oh is a tv actor of average height from Ottawa and a cast member of Killing Eve. She has received ""Canadas Walk of Fame"".",inform,tv actors,1,5
Millie Bobby Brown awards received Teen Choice Award for Choice TV Actress Fantasy/Sci-Fi. Millie Bobby Brown rating top rated. Millie Bobby Brown date of birth 2004. Millie Bobby Brown height average. Millie Bobby Brown gender female. Millie Bobby Brown domain tv actor.,Millie Bobby Brown 'Teen Choice Award For Choice Tv Actress Fantasy/Sci-Fi' Top Rated 2004 Average Female, Millie Bobby Brown is a top rated female tv actor born in 2004 with an average height. She won the Teen Choice Award for Choice TV Actress Fantasy/Sci-Fi.,inform,tv actors,1,6
Maisie Williams height average. Maisie Williams domain tv actor.,Maisie Williams Average, Maisie Williams is an average height tv actor.,inform,tv actors,1,2
Ginnifer Goodwin rating moderately rated. Ginnifer Goodwin place of birth Memphis. Ginnifer Goodwin spouse Josh Dallas. Ginnifer Goodwin height average. Ginnifer Goodwin date of birth 1978. Ginnifer Goodwin gender female. Ginnifer Goodwin domain tv actor.,Ginnifer Goodwin Moderately Rated Memphis Josh Dallas Average 1978 Female, Ginnifer Goodwin is a moderately rated female tv actor born in 1978 in Memphis. She is of average height and married to Josh Dallas.,inform,tv actors,1,7
Lauren Cohan gender female. Lauren Cohan rating lower rated. Lauren Cohan cast member of The Walking Dead. Lauren Cohan height taller. Lauren Cohan place of birth New Jersey. Lauren Cohan domain tv actor.,Lauren Cohan Female Lower Rated 'The Walking Dead' Taller New Jersey, Lauren Cohan is a lower rated female TV actor from New Jersey who is taller in height and is a cast member of The Walking Dead.,inform,tv actors,1,6
Jennifer Morrison place of birth Chicago. Jennifer Morrison gender female. Jennifer Morrison domain tv actor.,Jennifer Morrison Chicago Female, Jennifer Morrison is a female tv actor from Chicago.,inform,tv actors,1,3
Lana Parrilla gender female. Lana Parrilla date of birth 1977. Lana Parrilla domain tv actor.,Lana Parrilla Female 1977, Lana Parrilla is a female tv actor born in 1977.,inform,tv actors,1,3
Jeffrey Dean Morgan place of birth Seattle. Jeffrey Dean Morgan domain tv actor.,Jeffrey Dean Morgan Seattle, Jeffrey Dean Morgan is a tv actor from Seattle.,inform,tv actors,1,2
Chandler Riggs place of birth Atlanta. Chandler Riggs gender male. Chandler Riggs domain tv actor.,Chandler Riggs Atlanta Male, Chandler Riggs is a male tv actor from Atlanta.,inform,tv actors,1,3
Andrew Lincoln domain tv actor.,Andrew Lincoln, Andrew Lincoln is a tv actor.,inform,tv actors,1,1
Aimee Garcia rating moderately rated. Aimee Garcia date of birth 1978. Aimee Garcia domain tv actor.,Aimee Garcia Moderately Rated 1978, Aimee Garcia is a moderately rated tv actor born in 1978.,inform,tv actors,1,3
David Harbour gender male. David Harbour cast member of Stranger Things. David Harbour place of birth White Plains. David Harbour domain tv actor.,David Harbour Male 'Stranger Things' White Plains, David Harbour is a male tv actor from White Plains and cast member of Stranger Things.,inform,tv actors,1,4
Amy Poehler rating highly_rated. Amy Poehler date of birth 1971. Amy Poehler awards received Golden Globe Award for Best Actress – Television Series Musical or Comedy. Amy Poehler domain tv actor.,Amy Poehler Highly Rated 1971 'Golden Globe Award For Best Actress – Television Series Musical Or Comedy', Amy Poehler is a highly rated tv actor born in 1971. She won the Golden Globe Award for Best Actress – Television Series Musical or Comedy.,inform,tv actors,1,4
Norman Reedus rating lower rated. Norman Reedus place of birth Hollywood. Norman Reedus cast member of The Walking Dead. Norman Reedus gender male. Norman Reedus height average. Norman Reedus date of birth 1969. Norman Reedus domain tv actor.,Norman Reedus Lower Rated Hollywood 'The Walking Dead' Male Average 1969, Norman Reedus is a lower rated male tv actor born in 1969 in Hollywood. He is of average height and cast member of The Walking Dead.,inform,tv actors,1,7
Milo Ventimiglia rating highly rated. Milo Ventimiglia height average. Milo Ventimiglia date of birth 1977. Milo Ventimiglia gender male. Milo Ventimiglia place of birth Anaheim. Milo Ventimiglia domain tv actor.,Milo Ventimiglia Highly Rated Average 1977 Male Anaheim," Milo Ventimiglia is a highly rated male tv actor of average height, born in 1977 in Anaheim.",inform,tv actors,1,6
Lesley-Ann Brandt height average. Lesley-Ann Brandt date of birth 1981. Lesley-Ann Brandt gender female. Lesley-Ann Brandt domain tv actor.,Lesley-Ann Brandt Average 1981 Female, Lesley-Ann Brandt is a female tv actor born in 1981 of average height.,inform,tv actors,1,4
Norman Reedus height average. Norman Reedus gender male. Norman Reedus cast member of The Walking Dead. Norman Reedus rating lower rated. Norman Reedus domain tv actor.,Norman Reedus Average Male 'The Walking Dead' Lower Rated, Norman Reedus is a lower rated male tv actor of average height and is a cast member of The Walking Dead.,inform,tv actors,1,5
Lena Headey rating highly rated. Lena Headey domain tv actor.,Lena Headey Highly Rated, Lena Headey is a highly rated tv actor.,inform,tv actors,1,2
Andrew Lincoln place of birth London. Andrew Lincoln rating highly_rated. Andrew Lincoln date of birth 1973. Andrew Lincoln height average. Andrew Lincoln gender male. Andrew Lincoln awards received Saturn Award for Best Actor on Television. Andrew Lincoln domain tv actor.,Andrew Lincoln London Highly Rated 1973 Average Male 'Saturn Award For Best Actor On Television', Andrew Lincoln is a highly rated male tv actor born in London in 1973 of average height. He won the Saturn Award for Best Actor on Television.,inform,tv actors,1,7
Chrissy Metz height average. Chrissy Metz place of birth Homestead. Chrissy Metz date of birth 1980. Chrissy Metz gender female. Chrissy Metz domain tv actor.,Chrissy Metz Average Homestead 1980 Female, Chrissy Metz is a female tv actor born in 1980 in Homestead of average height.,inform,tv actors,1,5
Rob Lowe height average. Rob Lowe place of birth Charlottesville. Rob Lowe domain tv actor.,Rob Lowe Average Charlottesville," Rob Lowe is a tv actor of average height, born in Charlottesville.",inform,tv actors,1,3
Pedro Pascal date of birth 1975. Pedro Pascal domain tv actor.,Pedro Pascal 1975, Pedro Pascal is a tv actor born in 1975.,inform,tv actors,1,2
Maisie Williams height average. Maisie Williams gender female. Maisie Williams rating highly rated. Maisie Williams date of birth 1997. Maisie Williams domain tv actor.,Maisie Williams Average Female Highly Rated 1997, Maisie Williams is a highly rated female tv actor born in 1997 of average height.,inform,tv actors,1,5
