mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"confirm(name[Littlest Things], record label[Regal Recordings])",Littlest Things record label Regal Recordings. Littlest Things domain songs.,Littlest Things Regal Recordings," Are you referring to Littlest Things, released by Regal Recordings?",confirm,songs,1,2
"confirm(name[Viva la Vida], from album[Viva la Vida or Death and All His Friends])",Viva la Vida from album Viva la Vida or Death and All His Friends. Viva la Vida domain songs.,Viva La Vida Viva La Vida Or Death And All His Friends," Are you referring to Viva la Vida, from the album Viva la Vida or Death and All His Friends?",confirm,songs,1,2
"confirm(name[Wanna Get to Know You], record label[G-Unit Records])",Wanna Get to Know You record label G-Unit Records. Wanna Get to Know You domain songs.,Wanna Get To Know You G-Unit Records," Are you referring to Wanna Get to Know You, by G-Unit Records?",confirm,songs,1,2
"confirm(name[Style], record label[Republic Records])",Style record label Republic Records. Style domain songs.,Style Republic Records,Are you referring to the song Style on Republic Records?,confirm,songs,1,2
"confirm(name[Viva la Vida], genres[baroque pop])",Viva la Vida genres baroque pop. Viva la Vida domain songs.,Viva La Vida Baroque Pop,Are you referring to the baroque pop song Viva la Vida?,confirm,songs,1,2
"confirm(name[Wild], publication year[2015])",Wild publication year 2015. Wild domain songs.,Wild 2015," Are you referring to Wild, the 2015 song?",confirm,songs,1,2
"confirm(name[Black Barbies], producer[Mike WiLL Made-It])",Black Barbies producer Mike WiLL Made-It. Black Barbies domain songs.,Black Barbies Mike Will Made-It,Are you referring to the Mike WiLL Made-It track Black Barbies?,confirm,songs,1,2
"confirm(name[Blinding Lights], genres[electropop])",Blinding Lights genres electropop. Blinding Lights domain songs.,Blinding Lights Electropop,Are you referring to the electropop song Blinding Lights?,confirm,songs,1,2
"confirm(name[Pumped Up Kicks], record label[Startime International])",Pumped Up Kicks record label Startime International. Pumped Up Kicks domain songs.,Pumped Up Kicks Startime International,Are you referring to Pumped Up Kicks on Startime International?,confirm,songs,1,2
"confirm(name[Feel Again], genres[pop music])",Feel Again genres pop music. Feel Again domain songs.,Feel Again Pop Music,Are you referring to the pop song Feel Again?,confirm,songs,1,2
"confirm(name[For a Friend], producer[Stephen Hague])",For a Friend producer Stephen Hague. For a Friend domain songs.,For A Friend Stephen Hague,Are you referring to the Stephen Hague produced song For a Friend?,confirm,songs,1,2
"confirm(name[About Damn Time], from album[N/A])",About Damn Time from album N/A. About Damn Time domain songs.,About Damn Time N/A,Are you referring to About Damn Time?,confirm,songs,1,2
"confirm(name[Matador], publication year[1994])",Matador publication year 1994. Matador domain songs.,Matador 1994,Are you referring to Matador from 1994?,confirm,songs,1,2
"confirm(name[For a Friend], genres[pop music])",For a Friend genres pop music. For a Friend domain songs.,For A Friend Pop Music,Are you referring to the pop music song For a Friend?,confirm,songs,1,2
"confirm(name[Cold Heart], record label[Mercury Records])",Cold Heart record label Mercury Records. Cold Heart domain songs.,Cold Heart Mercury Records," Are you referring to Cold Heart, released by Mercury Records?",confirm,songs,1,2
"confirm(name[Macarena], record label[Inc.])",Macarena record label Inc.. Macarena domain songs.,Macarena Inc.," Are you referring to Macarena, released on Inc.?",confirm,songs,1,2
"confirm(name[Blinding Lights], record label[Republic Records])",Blinding Lights record label Republic Records. Blinding Lights domain songs.,Blinding Lights Republic Records," Are you referring to Blinding Lights, from Republic Records?",confirm,songs,1,2
"confirm(name[Blurred Lines], performer[Robin Thicke, T.I.])","Blurred Lines performer Robin Thicke, T.I.. Blurred Lines domain songs.","Blurred Lines Robin Thicke, T.I."," Are you referring to Blurred Lines, performed by Robin Thicke and T.I.?",confirm,songs,1,2
"confirm(name[Somebody That I Used to Know], performer[Gotye, Kimbra])","Somebody That I Used to Know performer Gotye, Kimbra. Somebody That I Used to Know domain songs.","Somebody That I Used To Know Gotye, Kimbra"," Are you referring to Somebody That I Used to Know, performed by Gotye and Kimbra?",confirm,songs,1,2
"confirm(name[We Are the World], genres[pop music])",We Are the World genres pop music. We Are the World domain songs.,We Are The World Pop Music,Are you referring to the pop music song We Are the World?,confirm,songs,1,2
"confirm(name[Stairway to Heaven], record label[Atlantic Records])",Stairway to Heaven record label Atlantic Records. Stairway to Heaven domain songs.,Stairway To Heaven Atlantic Records," Are you referring to Stairway to Heaven, from Atlantic Records?",confirm,songs,1,2
"confirm(name[Money for Nothing], genres[rock music])",Money for Nothing genres rock music. Money for Nothing domain songs.,Money For Nothing Rock Music,Are you referring to the rock music song Money for Nothing?,confirm,songs,1,2
"confirm(name[Old Town Road], publication year[2018])",Old Town Road publication year 2018. Old Town Road domain songs.,Old Town Road 2018,Are you referring to Old Town Road from 2018?,confirm,songs,1,2
"confirm(name[Dragostea Din Tei], from album[DiscO-Zone""])","Dragostea Din Tei from album DiscO-Zone"". Dragostea Din Tei domain songs.","Dragostea Din Tei Disco-Zone""",Are you referring to Dragostea Din Tei from the DiscO-Zone album?,confirm,songs,1,2
"confirm(name[Stereotypes], record label[Food Records])",Stereotypes record label Food Records. Stereotypes domain songs.,Stereotypes Food Records,Are you referring to the Food Records song Stereotypes?,confirm,songs,1,2
"confirm(name[I Still...], genres[pop rock])",I Still... genres pop rock. I Still... domain songs.,I Still... Pop Rock,Are you referring to the pop rock song I Still...?,confirm,songs,1,2
"confirm(name[Paint It Black], publication year[1966])",Paint It Black publication year 1966. Paint It Black domain songs.,Paint It Black 1966,Are you referring to Paint It Black from 1966?,confirm,songs,1,2
"confirm(name[Kings of the Wild Frontier], genres[post-punk])",Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Post-Punk,Are you referring to the post-punk song Kings of the Wild Frontier?,confirm,songs,1,2
"confirm(name[I], publication year[2014])",I publication year 2014. I domain songs.,I 2014,Are you referring to the song I from 2014?,confirm,songs,1,2
"confirm(name[Anti-Hero], publication year[2022])",Anti-Hero publication year 2022. Anti-Hero domain songs.,Anti-Hero 2022," Are you referring to Anti-Hero, released in 2022?",confirm,songs,1,2
"confirm(name[Evolution], producer[Atticus Ross])",Evolution producer Atticus Ross. Evolution domain songs.,Evolution Atticus Ross,Are you referring to the song Evolution by Atticus Ross?,confirm,songs,1,2
"confirm(name[We Are the World], publication year[1985])",We Are the World publication year 1985. We Are the World domain songs.,We Are The World 1985,Are you referring to We Are the World from 1985?,confirm,songs,1,2
"confirm(name[Sweet Home Alabama], performer[Lynyrd Skynyrd])",Sweet Home Alabama performer Lynyrd Skynyrd. Sweet Home Alabama domain songs.,Sweet Home Alabama Lynyrd Skynyrd,Are you referring to Sweet Home Alabama by Lynyrd Skynyrd?,confirm,songs,1,2
"confirm(name[Space Oddity], genres[folk rock])",Space Oddity genres folk rock. Space Oddity domain songs.,Space Oddity Folk Rock,Are you referring to the folk rock track Space Oddity?,confirm,songs,1,2
"confirm(name[Seven Nation Army], publication year[2003])",Seven Nation Army publication year 2003. Seven Nation Army domain songs.,Seven Nation Army 2003,Are you referring to Seven Nation Army from 2003?,confirm,songs,1,2
"confirm(name[Habibi], publication year[2014])",Habibi publication year 2014. Habibi domain songs.,Habibi 2014,Are you referring to Habibi from 2014?,confirm,songs,1,2
"confirm(name[Over It], producer[Josh Alexander])",Over It producer Josh Alexander. Over It domain songs.,Over It Josh Alexander,Are you referring to the song Over It produced by Josh Alexander?,confirm,songs,1,2
"confirm(name[Money for Nothing], producer[Mark Knopfler])",Money for Nothing producer Mark Knopfler. Money for Nothing domain songs.,Money For Nothing Mark Knopfler," Are you referring to Money for Nothing, produced by Mark Knopfler?",confirm,songs,1,2
"confirm(name[Littlest Things], producer[Mark Ronson])",Littlest Things producer Mark Ronson. Littlest Things domain songs.,Littlest Things Mark Ronson,Are you referring to Mark Ronson's song Littlest Things?,confirm,songs,1,2
"confirm(name[Over It], performer[Katharine McPhee])",Over It performer Katharine McPhee. Over It domain songs.,Over It Katharine Mcphee,Is Over It performed by Katharine McPhee?,confirm,songs,1,2
"confirm(name[Blinding Lights], genres[synthwave])",Blinding Lights genres synthwave. Blinding Lights domain songs.,Blinding Lights Synthwave,Are you referring to the synthwave song Blinding Lights?,confirm,songs,1,2
"confirm(name[King of Sorrow], producer[Sade Adu])",King of Sorrow producer Sade Adu. King of Sorrow domain songs.,King Of Sorrow Sade Adu,Are you referring to Sade Adu's song King of Sorrow?,confirm,songs,1,2
"confirm(name[Apple Shampoo], from album[Dude Ranch])",Apple Shampoo from album Dude Ranch. Apple Shampoo domain songs.,Apple Shampoo Dude Ranch,Are you referring to Apple Shampoo from the album Dude Ranch?,confirm,songs,1,2
"confirm(name[Que Calor], performer[J Balvin, El Alfa])","Que Calor performer J Balvin, El Alfa. Que Calor domain songs.","Que Calor J Balvin, El Alfa"," Are you referring to Que Calor, by J Balvin and El Alfa?",confirm,songs,1,2
"confirm(name[All or Nothing], from album[Girl You Know Its True])",All or Nothing from album Girl You Know Its yes. All or Nothing domain songs.,All Or Nothing Girl You Know Its True,Is All or Nothing from the album Girl You Know It's True?,confirm,songs,1,2
"confirm(name[Every Breath You Take], publication year[1983])",Every Breath You Take publication year 1983. Every Breath You Take domain songs.,Every Breath You Take 1983,Are you referring to Every Breath You Take from 1983?,confirm,songs,1,2
"confirm(name[About Damn Time], record label[Atlantic Records])",About Damn Time record label Atlantic Records. About Damn Time domain songs.,About Damn Time Atlantic Records," Are you referring to About Damn Time, released by Atlantic Records?",confirm,songs,1,2
"confirm(name[Poison], from album[Killer Love])",Poison from album Killer Love. Poison domain songs.,Poison Killer Love,Are you referring to Poison from the album Killer Love?,confirm,songs,1,2
"confirm(name[Dragostea Din Tei], publication year[2003])",Dragostea Din Tei publication year 2003. Dragostea Din Tei domain songs.,Dragostea Din Tei 2003,Are you referring to Dragostea Din Tei from 2003?,confirm,songs,1,2
"confirm(name[Wild], genres[synth-pop])",Wild genres synth-pop. Wild domain songs.,Wild Synth-Pop,Are you referring to the synth-pop song Wild?,confirm,songs,1,2
"confirm(name[All or Nothing], performer[Milli Vanilli])",All or Nothing performer Milli Vanilli. All or Nothing domain songs.,All Or Nothing Milli Vanilli,Are you referring to the Milli Vanilli song All or Nothing?,confirm,songs,1,2
"confirm(name[Habibi], performer[Shaggy, Mohombi])","Habibi performer Shaggy, Mohombi. Habibi domain songs.","Habibi Shaggy, Mohombi"," Are you referring to Habibi, performed by Shaggy and Mohombi?",confirm,songs,1,2
"confirm(name[Sweet Home Alabama], genres[rock music])",Sweet Home Alabama genres rock music. Sweet Home Alabama domain songs.,Sweet Home Alabama Rock Music,Are you referring to the rock music song Sweet Home Alabama?,confirm,songs,1,2
"confirm(name[Brightside], record label[Island Records])",Mr. Brightside record label Island Records. Mr. Brightside domain songs.,Mr. Brightside Island Records," Are you referring to Mr. Brightside, from Island Records?",confirm,songs,1,2
"confirm(name[Dragostea Din Tei], producer[Dan Balan])",Dragostea Din Tei producer Dan Balan. Dragostea Din Tei domain songs.,Dragostea Din Tei Dan Balan,Are you referring to Dan Balan's Dragostea Din Tei?,confirm,songs,1,2
"confirm(name[Brightside], genres[indie rock])",Mr. Brightside genres indie rock. Mr. Brightside domain songs.,Mr. Brightside Indie Rock,Are you referring to the indie rock song Mr. Brightside?,confirm,songs,1,2
"confirm(name[Old Town Road], performer[Lil Nas X])",Old Town Road performer Lil Nas X. Old Town Road domain songs.,Old Town Road Lil Nas X," Are you referring to Old Town Road, performed by Lil Nas X?",confirm,songs,1,2
"confirm(name[Stairway to Heaven], publication year[1971])",Stairway to Heaven publication year 1971. Stairway to Heaven domain songs.,Stairway To Heaven 1971,Are you referring to the 1971 song Stairway to Heaven?,confirm,songs,1,2
"confirm(name[Right Here, Right Now], producer[Giorgio Moroder])","Right Here, Right Now producer Giorgio Moroder. Right Here, Right Now domain songs.","Right Here, Right Now Giorgio Moroder"," Are you referring to Right Here, Right Now produced by Giorgio Moroder?",confirm,songs,1,2
"confirm(name[Apple Shampoo], genres[pop punk])",Apple Shampoo genres pop punk. Apple Shampoo domain songs.,Apple Shampoo Pop Punk,Are you referring to the pop punk song Apple Shampoo?,confirm,songs,1,2
"confirm(name[Waka Waka], producer[John Hill])",Waka Waka producer John Hill. Waka Waka domain songs.,Waka Waka John Hill,Are you referring to John Hill's song Waka Waka?,confirm,songs,1,2
"confirm(name[Evolution], genres[nu metal])",Evolution genres nu metal. Evolution domain songs.,Evolution Nu Metal,Are you referring to the nu metal track Evolution?,confirm,songs,1,2
"confirm(name[Stargazing], from album[Stargazing])",Stargazing from album Stargazing. Stargazing domain songs.,Stargazing Stargazing,Are you referring to Stargazing from the album Stargazing?,confirm,songs,1,2
"confirm(name[Seven Nation Army], genres[alternative rock])",Seven Nation Army genres alternative rock. Seven Nation Army domain songs.,Seven Nation Army Alternative Rock,Are you referring to the alternative rock song Seven Nation Army?,confirm,songs,1,2
"confirm(name[Stairway to Heaven], producer[Jimmy Page])",Stairway to Heaven producer Jimmy Page. Stairway to Heaven domain songs.,Stairway To Heaven Jimmy Page,Are you referring to the song Stairway to Heaven produced by Jimmy Page?,confirm,songs,1,2
"confirm(name[Poison], genres[dance-pop])",Poison genres dance-pop. Poison domain songs.,Poison Dance-Pop,Are you referring to the dance-pop song Poison?,confirm,songs,1,2
"confirm(name[Dragostea Din Tei], record label[Ultra Records])",Dragostea Din Tei record label Ultra Records. Dragostea Din Tei domain songs.,Dragostea Din Tei Ultra Records,Is Dragostea Din Tei from Ultra Records?,confirm,songs,1,2
"confirm(name[Dog Eat Dog], genres[new wave])",Dog Eat Dog genres new wave. Dog Eat Dog domain songs.,Dog Eat Dog New Wave,Are you referring to the new wave song Dog Eat Dog?,confirm,songs,1,2
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit])","Wanna Get to Know You performer Joe, G-Unit. Wanna Get to Know You domain songs.","Wanna Get To Know You Joe, G-Unit",Are you referring to Wanna Get to Know You by Joe and G-Unit?,confirm,songs,1,2
"confirm(name[Sweet Home Alabama], record label[MCA Records])",Sweet Home Alabama record label MCA Records. Sweet Home Alabama domain songs.,Sweet Home Alabama Mca Records,Are you referring to Sweet Home Alabama released by MCA Records?,confirm,songs,1,2
"confirm(name[As It Was], record label[Columbia Records])",As It Was record label Columbia Records. As It Was domain songs.,As It Was Columbia Records," Are you referring to As It Was, on Columbia Records?",confirm,songs,1,2
"confirm(name[Y.M.C.A.], genres[disco])",Y.M.C.A. genres disco. Y.M.C.A. domain songs.,Y.M.C.A. Disco,Are you referring to the disco song Y.M.C.A.?,confirm,songs,1,2
"confirm(name[Pumped Up Kicks], genres[pop rock])",Pumped Up Kicks genres pop rock. Pumped Up Kicks domain songs.,Pumped Up Kicks Pop Rock,Are you referring to the pop rock song Pumped Up Kicks?,confirm,songs,1,2
"confirm(name[Matador], from album[Vasos vacíos])",Matador from album Vasos vacíos. Matador domain songs.,Matador Vasos Vacíos,Are you referring to Matador from the album Vasos vacíos?,confirm,songs,1,2
"confirm(name[About Damn Time], publication year[2022])",About Damn Time publication year 2022. About Damn Time domain songs.,About Damn Time 2022," Are you referring to About Damn Time, released in 2022?",confirm,songs,1,2
"confirm(name[Break My Soul], performer[Beyoncé], producer[The-Dream])",Break My Soul performer Beyoncé. Break My Soul producer The-Dream. Break My Soul domain songs.,Break My Soul Beyoncé The-Dream,Are you referring to the Beyoncé song Break My Soul produced by The-Dream?,confirm,songs,1,3
"confirm(name[Paint It Black], record label[Elektra], performer[The Rolling Stones])",Paint It Black record label Elektra. Paint It Black performer The Rolling Stones. Paint It Black domain songs.,Paint It Black Elektra The Rolling Stones,Are you referring to The Rolling Stones' Paint It Black released by Elektra?,confirm,songs,1,3
"confirm(name[Brightside], genres[indie rock], from album[Hot Fuss])",Mr. Brightside genres indie rock. Mr. Brightside from album Hot Fuss. Mr. Brightside domain songs.,Mr. Brightside Indie Rock Hot Fuss,Are you referring to the indie rock track Mr. Brightside from the album Hot Fuss?,confirm,songs,1,3
"confirm(name[Break My Soul], performer[Beyoncé], genres[disco])",Break My Soul performer Beyoncé. Break My Soul genres disco. Break My Soul domain songs.,Break My Soul Beyoncé Disco,Are you referring to Beyoncé's disco song Break My Soul?,confirm,songs,1,3
"confirm(name[Stargazing], producer[Kygo], from album[Stargazing])",Stargazing producer Kygo. Stargazing from album Stargazing. Stargazing domain songs.,Stargazing Kygo Stargazing,Are you referring to Kygo's song Stargazing from the album Stargazing?,confirm,songs,1,3
"confirm(name[The Way I Are], genres[pop music], from album[All Your Fault: Pt])",The Way I Are genres pop music. The Way I Are from album All Your Fault: Pt. 2. The Way I Are domain songs.,The Way I Are Pop Music All Your Fault: Pt. 2," Are you referring to The Way I Are, the pop music song from All Your Fault: Pt. 2?",confirm,songs,1,3
"confirm(name[Sweet Home Alabama], from album[Second Helping], performer[Lynyrd Skynyrd])",Sweet Home Alabama from album Second Helping. Sweet Home Alabama performer Lynyrd Skynyrd. Sweet Home Alabama domain songs.,Sweet Home Alabama Second Helping Lynyrd Skynyrd," Are you referring to Sweet Home Alabama, performed by Lynyrd Skynyrd on the album Second Helping?",confirm,songs,1,3
"confirm(name[Marilyn Monroe], genres[funk], publication year[2014])",Marilyn Monroe genres funk. Marilyn Monroe publication year 2014. Marilyn Monroe domain songs.,Marilyn Monroe Funk 2014,Are you referring to the 2014 funk song Marilyn Monroe?,confirm,songs,1,3
"confirm(name[Cold Heart], producer[Pnau], genres[disco])",Cold Heart producer Pnau. Cold Heart genres disco. Cold Heart domain songs.,Cold Heart Pnau Disco,Are you referring to Pnau's disco song Cold Heart?,confirm,songs,1,3
"confirm(name[As It Was], producer[Kid Harpoon], publication year[2022])",As It Was producer Kid Harpoon. As It Was publication year 2022. As It Was domain songs.,As It Was Kid Harpoon 2022," Are you referring to Kid Harpoon's As It Was, released in 2022?",confirm,songs,1,3
"confirm(name[Afterlife], producer[James Murphy], performer[Arcade Fire])",Afterlife producer James Murphy. Afterlife performer Arcade Fire. Afterlife domain songs.,Afterlife James Murphy Arcade Fire,Are you referring to James Murphy and Arcade Fire's track Afterlife?,confirm,songs,1,3
"confirm(name[Viva la Vida], record label[Parlophone], publication year[2008])",Viva la Vida record label Parlophone. Viva la Vida publication year 2008. Viva la Vida domain songs.,Viva La Vida Parlophone 2008," Are you referring to Viva la Vida, released by Parlophone in 2008?",confirm,songs,1,3
"confirm(name[Kings of the Wild Frontier], producer[Chris Hughes], performer[Adam and the Ants])",Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier performer Adam and the Ants. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Chris Hughes Adam And The Ants,Are you referring to Adam and the Ants' Kings of the Wild Frontier produced by Chris Hughes?,confirm,songs,1,3
"confirm(name[Money for Nothing], performer[Dire Straits], genres[rock music])",Money for Nothing performer Dire Straits. Money for Nothing genres rock music. Money for Nothing domain songs.,Money For Nothing Dire Straits Rock Music,Are you referring to the rock music song Money for Nothing by Dire Straits?,confirm,songs,1,3
"confirm(name[Apple Shampoo], performer[Blink-182], publication year[1997])",Apple Shampoo performer Blink-182. Apple Shampoo publication year 1997. Apple Shampoo domain songs.,Apple Shampoo Blink-182 1997,Are you referring to Blink-182's Apple Shampoo from 1997?,confirm,songs,1,3
"confirm(name[Matador], publication year[1994], performer[Los Fabulosos Cadillacs])",Matador publication year 1994. Matador performer Los Fabulosos Cadillacs. Matador domain songs.,Matador 1994 Los Fabulosos Cadillacs,Are you referring to Matador by Los Fabulosos Cadillacs from 1994?,confirm,songs,1,3
"confirm(name[Blinding Lights], record label[Republic Records], performer[The Weeknd])",Blinding Lights record label Republic Records. Blinding Lights performer The Weeknd. Blinding Lights domain songs.,Blinding Lights Republic Records The Weeknd,Are you referring to Blinding Lights by The Weeknd on Republic Records?,confirm,songs,1,3
"confirm(name[Pumped Up Kicks], performer[Foster the People], from album[Torches])",Pumped Up Kicks performer Foster the People. Pumped Up Kicks from album Torches. Pumped Up Kicks domain songs.,Pumped Up Kicks Foster The People Torches,Is Pumped Up Kicks from the Foster the People album Torches?,confirm,songs,1,3
"confirm(name[Matador], record label[Sony Music], producer[K])",Matador record label Sony Music. Matador producer K. C. Porter. Matador domain songs.,Matador Sony Music K. C. Porter,Are you referring to the Sony Music song Matador produced by K. C. Porter?,confirm,songs,1,3
"confirm(name[Break My Soul], producer[Beyoncé], performer[Beyoncé])",Break My Soul producer Beyoncé. Break My Soul performer Beyoncé. Break My Soul domain songs.,Break My Soul Beyoncé Beyoncé,Are you referring to Beyoncé's track Break My Soul?,confirm,songs,1,3
"confirm(name[Marilyn Monroe], performer[Pharrell Williams], genres[funk])",Marilyn Monroe performer Pharrell Williams. Marilyn Monroe genres funk. Marilyn Monroe domain songs.,Marilyn Monroe Pharrell Williams Funk,Are you referring to the funk song Marilyn Monroe by Pharrell Williams?,confirm,songs,1,3
"confirm(name[King of Sorrow], genres[contemporary R&B], record label[Epic Records])",King of Sorrow genres contemporary R&B. King of Sorrow record label Epic Records. King of Sorrow domain songs.,King Of Sorrow Contemporary R&B Epic Records," Are you referring to King of Sorrow, a contemporary R&B track released on Epic Records?",confirm,songs,1,3
"confirm(name[Dragostea Din Tei], publication year[2003], producer[Dan Balan])",Dragostea Din Tei publication year 2003. Dragostea Din Tei producer Dan Balan. Dragostea Din Tei domain songs.,Dragostea Din Tei 2003 Dan Balan,Are you referring to Dan Balan's 2003 track Dragostea Din Tei?,confirm,songs,1,3
"confirm(name[Waka Waka], record label[Epic Records], publication year[2010])",Waka Waka record label Epic Records. Waka Waka publication year 2010. Waka Waka domain songs.,Waka Waka Epic Records 2010,Are you referring to the 2010 Epic Records single Waka Waka?,confirm,songs,1,3
"confirm(name[Dog Eat Dog], record label[Sony Music], producer[Chris Hughes])",Dog Eat Dog record label Sony Music. Dog Eat Dog producer Chris Hughes. Dog Eat Dog domain songs.,Dog Eat Dog Sony Music Chris Hughes," Are you referring to the Sony Music song Dog Eat Dog, produced by Chris Hughes?",confirm,songs,1,3
"confirm(name[Dragostea Din Tei], genres[Eurodance], from album[DiscO-Zone""])","Dragostea Din Tei genres Eurodance. Dragostea Din Tei from album DiscO-Zone"". Dragostea Din Tei domain songs.","Dragostea Din Tei Eurodance Disco-Zone""",Are you referring to the Eurodance track Dragostea Din Tei from the DiscO-Zone album?,confirm,songs,1,3
"confirm(name[Sweet Home Alabama], record label[MCA Records], from album[Second Helping])",Sweet Home Alabama record label MCA Records. Sweet Home Alabama from album Second Helping. Sweet Home Alabama domain songs.,Sweet Home Alabama Mca Records Second Helping,Are you referring to Sweet Home Alabama from the MCA Records album Second Helping?,confirm,songs,1,3
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit], publication year[2004])","Wanna Get to Know You performer Joe, G-Unit. Wanna Get to Know You publication year 2004. Wanna Get to Know You domain songs.","Wanna Get To Know You Joe, G-Unit 2004",Are you referring to Joe and G-Unit's Wanna Get to Know You from 2004?,confirm,songs,1,3
