,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,
115,115,11,Lady Gaga award received Academy Award for Best Original Song. A. R. Rahman award received Academy Award for Best Original Song. Lady Gaga award received MTV Video Music Award for Best Art Direction. Lady Gaga award received MTV Video Music Award for Best New Artist. Lady Gaga award received MTV Video Music Award for Best Art Direction.,Lady Gaga Academy Award for Best Original Song A. R. Rahman MTV Video Music Award for Best Art Direction MTV Video Music Award for Best New Artist MTV Video Music Award for Best Art Direction,inform," Lady Gaga and A. R. Rahman both received the Academy Award for Best Original Song. Lady Gaga also won three MTV Video Music Awards for Best Art Direction, Best New Artist, and Best Art Direction.",35,1,5,(X (X) (X) (X) (X) (X)),0.07017018835,14.25106621,34.7809827,0.84517753,give_opinion,all_scores,0
121,121,12,Dhurata Dora country of citizenship Kosovo. Jakup Krasniqi country of citizenship Kosovo. Dhurata Dora country of citizenship Germany. Dhurata Dora date of birth 1992-12-24T00:00:00Z. Dhurata Dora genre reggae. Kreshnik Fazliu country of citizenship Kosovo.,Dhurata Dora Kosovo Jakup Krasniqi Germany 1992-12-24T00:00:00Z reggae Kreshnik Fazliu,inform," Dhurata Dora, born on 1992-12-24T00:00:00Z, is a reggae artist with German and Kosovo citizenships. Jakup Krasniqi and Kreshnik Fazliu are also from Kosovo.",23,1,6,(X (X) (X) (X) (X) (X) (X)),0.01242991624,80.45106506,28.11706626,0.8971753,inform,match_scores,1
135,135,13,Jennifer Lopez genre hip hop music. Wiz Khalifa genre hip hop music. Jennifer Lopez record label Epic Records. Jennifer Lopez genre Latin music. Nelly Furtado genre hip hop music. Nelly Furtado genre hip hop music.,Jennifer Lopez hip hop music Wiz Khalifa Epic Records Latin music Nelly Furtado Nelly Furtado,inform,"
Jennifer Lopez is a hip hop and Latin music artist with Epic Records. Wiz Khalifa and Nelly Furtado are both hip hop music artists.",24,1,6,(X (X) (X) (X) (X) (X) (X)),0.03349771207,29.85278511,10.61181672,0.82954776,inform,match_scores,1
144,144,14,Olamide genre hip hop music. Mac Miller genre hip hop music.,Olamide hip hop music Mac Miller,recommend,"
Are you familiar with hip hop music? You should check out Olamide and Mac Miller.",15,1,2,(X (X) (X)),0.01380956992,72.41355133,11.20375434,0.8660269,recommend,match_scores,1
156,156,15,Barrett Strong record label Motown. Michael Jackson record label Motown.,Barrett Strong Motown Michael Jackson,suggest," Have you ever heard any music released by Motown, like Barrett Strong or Michael Jackson?",15,1,2,(X (X) (X)),0.01378308529,72.55269623,6.839596062,0.83615106,suggest,match_scores,1
165,165,16,Rock and Roll Hall of Fame rating excellent. Elvis Presley award received Rock and Roll Hall of Fame.,excellent Rock and Roll Hall of Fame Elvis Presley,request_explanation,Why do you think Elvis Presley receiving the Rock and Roll Hall of Fame is so excellent?,17,1,2,(X (X) (X)),0.02863126219,34.92685699,30.648596,0.91447085,request_explanation,match_scores,1
173,173,17,Madonna record label Sire. David Byrne record label Sire. Madonna award received BRIT Awards. Seal record label Sire.,Madonna Sire David Byrne BRIT Awards Seal,inform," Madonna, Seal and David Byrne are all signed to Sire record label and Madonna got the BRIT Awards.",18,1,4,(X (X) (X) (X) (X)),0.003681540459,271.6254272,6.228496954,0.85865575,give_opinion,all_scores,0
187,187,18,Avishai Cohen genre jazz. Queen Latifah genre jazz. Colors performer Avishai Cohen. Avishai Cohen genre jazz fusion.,Avishai Cohen jazz Queen Latifah Colors jazz fusion,inform,Avishai Cohen is a jazz and jazz fusion artist whose notable work include Colors. Queen Latifah is also a jazz artist.,21,1,4,(X (X) (X) (X) (X)),0.01245155112,80.3112793,6.129574979,0.882363,inform,match_scores,1
196,196,19,Cage rating okay. Kill the Architect performer Cage. Kill the Architect genre hip hop music.,okay Cage Kill the Architect hip hop music,verify_attribute," Since you think Kill the Architect by Cage is okay, do you feel the same about other hip hop music?",20,1,3,(X (X) (X) (X)),0.007618884641,131.2528076,11.61933041,0.8034423,verify_attribute,match_scores,1
204,204,20,Luther Campbell genre hip hop music. Ice Cube genre hip hop music. Luther Campbell country of citizenship United States of America. Luther Campbell date of birth 1960-12-22T00:00:00Z. The Luke LP performer Luther Campbell. Uncle Luke performer Luther Campbell.,Luther Campbell hip hop music Ice Cube United States of America 1960-12-22T00:00:00Z The Luke LP Uncle Luke,inform,Luther Campbell is a hip hop music artist from The United States who was born on 1960-12-22T00:00:00Z. He is well known for his works such as The Luke LP and Uncle Luke.,32,1,6,(X (X) (X) (X) (X) (X) (X)),0.02853715614,35.04203415,28.20893188,0.8679369,inform,match_scores,1
218,218,21,Haricharan rating okay. Haricharan country of citizenship India. Haricharan genre Carnatic music.,okay Haricharan India Carnatic music,verify_attribute,You said that Haricharan's music was just okay. Does it apply to all Carnatic music from India?,17,1,3,(X (X) (X) (X)),0.006486451604,154.1674957,4.814971807,0.8629891,verify_attribute,match_scores,1
229,229,22,Cage genre hip hop music. Mac Miller genre hip hop music.,Cage hip hop music Mac Miller,recommend,"
Have you heard of Cage and Mac Miller? They are both hip hop musicians you might want to check out.",20,1,2,(X (X) (X)),0.03363136765,29.73414612,5.165604006,0.73432416,recommend,match,1
230,230,23,Yukihiro Takahashi genre electronic music. Sufjan Stevens genre electronic music.,Yukihiro Takahashi electronic music Sufjan Stevens,inform,Yukihiro Takahashi and Sufjan Stevens are both electronic music artists.,10,1,2,(X (X) (X)),0.02443620202,40.92288971,12.98267945,0.92501295,inform,match,1
243,243,24,Clint Eastwood rating excellent. Clint Eastwood award received Ordre des Arts et des Lettres. Clint Eastwood award received AFI Life Achievement Award.,excellent Clint Eastwood Ordre des Arts et des Lettres AFI Life Achievement Award,give_opinion," I think that Clint Eastwood is an excellent actor, having received the Ordre des Arts et des Lettres and AFI Life Achievement Awards.",23,1,3,(X (X) (X) (X)),0.01689947192,59.17344666,26.24310277,0.92565084,give_opinion,match_scores,1
257,257,25,Kip Moore genre country music. Steven Seagal genre country music. Kip Moore date of birth 1980-04-01T00:00:00Z. Kip Moore date of birth 1980-04-02T00:00:00Z. John Denver genre country music.,Kip Moore country music Steven Seagal 1980-04-01T00:00:00Z 1980-04-02T00:00:00Z John Denver,inform," Kip Moore, John Denver and Steven Seagal are country music artists born in April 1980.",15,1,5,(X (X) (X) (X) (X) (X)),0.008244902904,121.287056,5.548626231,0.55108047,inform,match_scores,1
263,263,26,Kim Ryeowook record label Label SJ. Play record label Label SJ.,Kim Ryeowook Label SJ Play,recommend," Have you heard of Kim Ryeowook and Play, they are both under the record label Label SJ?",17,1,2,(X (X) (X)),0.002271352292,440.2663574,6.054506513,0.84469146,recommend,match_scores,1
276,276,27,Aaron Carter genre pop music. Patrizio Buanne genre pop music. Aaron Carter record label Edel Records. Another Earthquake performer Aaron Carter. Aaron Carter genre hip hop music. Aaron Carter genre hip hop music. 2 Good 2 B True performer Aaron Carter.,Aaron Carter pop music Patrizio Buanne Edel Records Another Earthquake hip hop music hip hop music 2 Good 2 B True,inform,Aaron Carter is a pop music artist signed with Edel Records. He also has some Hip Hop songs such as Another Earthquake and 2 Good 2 B True.,28,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.003688324845,271.1257935,17.55035418,0.8056359,inform,match_scores,1
289,289,28,Ryan Gosling award received Satellite Awards. Jeffrey Tambor award received Satellite Awards. City of Stars performer Ryan Gosling. City of Stars performer Ryan Gosling. Ryan Gosling genre indie rock. Ryan Gosling genre folk rock. Ryan Gosling date of birth 1980-11-12T00:00:00Z.,Ryan Gosling Satellite Awards Jeffrey Tambor City of Stars City of Stars indie rock folk rock 1980-11-12T00:00:00Z,inform,"
Ryan Gosling is an indie rock and folk rock artist born on 1980-11-12T00:00:00Z who got the Satellite Awards. He is also known for his performance in City of Stars alongside Jeffrey Tambor.",32,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02312202357,43.24880981,27.71081876,0.87861156,inform,match_scores,1
297,297,29,Zendaya record label Hollywood Records. Vanessa Hudgens record label Hollywood Records. Zendaya award received Saturn Award for Best Supporting Actress. Zendaya award received Primetime Emmy Award for Outstanding Lead Actress in a Drama Series. Zendaya award received Golden Globe Award for Best Actress – Television Series Drama. Zendaya award received Saturn Award for Best Supporting Actress. Zendaya genre pop rock.,Zendaya Hollywood Records Vanessa Hudgens Saturn Award for Best Supporting Actress Primetime Emmy Award for Outstanding Lead Actress in a Drama Series Golden Globe Award for Best Actress – Television Series Drama Saturn Award for Best Supporting Actress pop rock,inform," Zendaya, a pop rock artist signed with Hollywood Records, have received numerous awards such as the Saturn Award for Best Supporting Actress, Primetime Emmy Award for Outstanding Lead Actress in a Drama Series, Golden Globe Award for Best Actress – Television Series Drama and Saturn Award for Best Supporting Actress.",50,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.04291249506,23.30323601,52.42847589,0.9578966,inform,match_scores,1
307,307,30,Dua Lipa country of citizenship Albania. Jim Belushi country of citizenship Albania. Dua Lipa rating excellent. Dua Lipa genre house music. Dua Lipa genre synth-pop. Elvana Gjata country of citizenship Albania. Inva Mula country of citizenship Albania.,Dua Lipa Albania Jim Belushi excellent house music synth-pop Elvana Gjata Inva Mula,inform,"
Dua Lipa is an excellent house and synth-pop music artist from Albania, as are Jim Belushi, Elvana Gjata and Inva Mula.",21,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.006111235755,163.6330261,7.512951393,0.94493216,give_opinion,all_scores,0
313,313,31,Rufus Thomas genre blues. B.B. King genre blues. Rufus Thomas country of citizenship United States of America. Rufus Thomas date of birth 1917-03-26T00:00:00Z. Rufus Thomas genre funk. Billie Holiday genre blues. Christine McVie genre blues.,Rufus Thomas blues B.B. King United States of America 1917-03-26T00:00:00Z funk Billie Holiday Christine McVie,inform," Rufus Thomas was a blues and funk musician from the United States of America, born in 1917. Other blues musicians include B.B. King and Billie Holiday, as well as Christine McVie.",31,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.03787740372,26.40096474,19.75840916,0.7342474,inform,match_scores,1
326,326,32,Avishai Cohen genre jazz. Fats Domino genre jazz. Avishai Cohen genre jazz fusion. Avishai Cohen genre bebop. Robert Downey Jr. genre jazz.,Avishai Cohen jazz Fats Domino jazz fusion bebop Robert Downey Jr.,inform," Avishai Cohen, Fats Domino and Robert Downey Jr. are all jazz musicians, with Avishai Cohen also playing jazz fusion and bebop.",21,1,5,(X (X) (X) (X) (X) (X)),0.02624965066,38.09574509,14.75758119,0.89900106,inform,match_scores,1
330,330,33,Madonna record label Sire. Regina Spektor record label Sire. Madonna record label Interscope Records. Madonna award received Rock and Roll Hall of Fame. Madonna award received Golden Raspberry Award for Worst Actress.,Madonna Sire Regina Spektor Interscope Records Rock and Roll Hall of Fame Golden Raspberry Award for Worst Actress,inform,"
Madonna has signed with Sire and Interscope Records. She received the Rock and Roll Hall of Fame and the Golden Raspberry Award for Worst Actress. Regina Spektor has signed with Sire.",31,1,5,(X (X) (X) (X) (X) (X)),0.05235264784,19.10123062,31.06687821,0.8556436,inform,match_scores,1
345,345,34,Scarlett Johansson award received Time 100. Bad Bunny award received Time 100. Scarlett Johansson award received Theatre World Award. Scarlett Johansson award received star on Hollywood Walk of Fame. Scarlett Johansson award received Tony Award for Best Featured Actress in a Play.,Scarlett Johansson Time 100 Bad Bunny Theatre World Award star on Hollywood Walk of Fame Tony Award for Best Featured Actress in a Play,inform," Scarlett Johansson has received the Time 100, Theatre World Award, a star on the Hollywood Walk of Fame, and a Tony Award for Best Featured Actress in a Play.",29,1,5,(X (X) (X) (X) (X) (X)),0.03937458835,25.39709091,39.79911906,0.9227856,inform,match_scores,1
356,356,35,Jennifer Connelly rating good. Jennifer Connelly award received BAFTA Award for Best Actress in a Supporting Role.,good Jennifer Connelly BAFTA Award for Best Actress in a Supporting Role,verify_attribute,I remember you said Jennifer Connelly was good. Do you think the same of other actors with BAFTA Award for Best Actress in a Supporting Role?,26,1,2,(X (X) (X)),0.0293281753,34.09690475,30.99627272,0.87840736,verify_attribute,match_scores,1
360,360,36,Cage genre hip hop music. Kelly Rowland genre hip hop music. Weatherproof performer Cage. Cage date of birth 1973-05-04T00:00:00Z. I Never Knew You performer Cage. Mac Miller genre hip hop music. Wiz Khalifa genre hip hop music.,Cage hip hop music Kelly Rowland Weatherproof 1973-05-04T00:00:00Z I Never Knew You Mac Miller Wiz Khalifa,inform," Cage is a hip hop music artist born on 1973-05-04T00:00:00Z. His notable works include Weatherproof and I Never Knew You. Other notable hip hop music artist include Kelly Rowland, Mac Miller and Wiz Khalifa.",34,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02632583198,37.98550415,28.78289323,0.8549833,inform,match_scores,1
370,370,37,Dua Lipa country of citizenship Albania. Dervish Hima country of citizenship Albania. Edmond Kapllani country of citizenship Albania.,Dua Lipa Albania Dervish Hima Edmond Kapllani,inform,"
Dua Lipa, Dervish Hima, and Edmond Kapllani are all musicians from Albania.",12,1,3,(X (X) (X) (X)),0.009835772053,101.6697006,9.461202844,0.91073245,inform,match_scores,1
380,380,38,Kate Bush record label Columbia Records. 8:30 record label Columbia Records. Kate Bush genre art rock.,Kate Bush Columbia Records 8:30 art rock,inform,"
Kate Bush is an art rock artist signed to Columbia Records.",11,1,3,(X (X) (X) (X)),0.008235020778,121.4326019,11.73117516,0.779473,inform,match_scores_PPL,1
394,394,39,Kate Bush rating good. Kate Bush record label EMI.,good Kate Bush EMI,give_opinion," I think Kate Bush, who is signed with EMI, is a good musician.",13,1,2,(X (X) (X)),0.01032748916,96.8289566,5.816635421,0.70967346,give_opinion,match_scores,1
401,401,40,Kevin Max genre Christian rock. Chris Tomlin genre Christian rock. The Blood performer Kevin Max. Raven Songs 101 performer Kevin Max. Kevin Max record label Northern Records. Holy Night record label Northern Records. Lacey Sturm genre Christian rock.,Kevin Max Christian rock Chris Tomlin The Blood Raven Songs 101 Northern Records Holy Night Lacey Sturm,inform,Kevin Max is a Christian rock artist who released The Blood and Raven Songs 101 under Northern Records. Lacey Sturm is also a Christian rock artist.,26,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.004800360847,208.3176727,9.809436521,0.7919086,inform,match_scores,1
412,412,41,Donna Fargo rating okay. Funny Face performer Donna Fargo. Donna Fargo record label Challenge.,okay Donna Fargo Funny Face Challenge,give_opinion,I think Donna Fargo is an okay performer. She is signed with Challenge Records and is known for her song Funny Face.,22,1,3,(X (X) (X) (X)),0.009214091531,108.5294189,4.924674734,0.692641,give_opinion,match_scores,1
424,424,42,Austin Butler genre pop music. Patrizio Buanne genre pop music. Austin Butler record label Hollywood Records. Austin Butler country of citizenship United States of America.,Austin Butler pop music Patrizio Buanne Hollywood Records United States of America,inform,Austin Butler and Patrizio Buanne are both pop music artists. Austin Butler is from the United States and is signed to Hollywood Records.,23,1,4,(X (X) (X) (X) (X)),0.006808525492,146.8746796,6.735883427,0.8265723,inform,match_scores,1
436,436,43,Elton John award received Order of the British Empire. Jackie Chan award received Order of the British Empire. Elton John award received Disney Legends. Elton John award received MusiCares Person of the Year. Elton John award received Golden Globe Award. Terence Sanders award received Order of the British Empire.,Elton John Order of the British Empire Jackie Chan Disney Legends MusiCares Person of the Year Golden Globe Award Terence Sanders,inform," Elton John has received the Order of the British Empire, Disney Legends, MusiCares Person of the Year, and Golden Globe Award. Jackie Chan and Terence Sanders have both received the Order of the British Empire.",35,1,6,(X (X) (X) (X) (X) (X) (X)),0.03565616254,28.04564285,24.75134825,0.9024752,inform,match_scores,1
446,446,44,Eminem award received Academy Award for Best Original Song. Bob Dylan award received Academy Award for Best Original Song.,Eminem Academy Award for Best Original Song Bob Dylan,suggest," Have you ever heard any artist receiving an Academy Award for Best Original Song, such as Eminem or Bob Dylan?",20,1,2,(X (X) (X)),0.02509484854,39.84881592,24.64832197,0.8508079,suggest,match_scores,1
452,452,45,Jennifer Lopez genre hip hop music. Wiz Khalifa genre hip hop music. Jennifer Lopez genre pop music. Vanilla Ice genre hip hop music.,Jennifer Lopez hip hop music Wiz Khalifa pop music Vanilla Ice,inform,"
Jennifer Lopez is a pop and hip hop music artist. Wiz Khalifa is a hip hop music artist. Vanilla Ice is a hip hop music artist.",26,1,4,(X (X) (X) (X) (X)),0.07675282025,13.0288372,8.334122662,0.81250054,inform,match_scores_PPL,1
465,465,46,Cage genre hip hop music. Nelly Furtado genre hip hop music. Weatherproof performer Cage. Depart from Me performer Cage. Cage discography performer Cage. Ice Cube genre hip hop music. Bass Sultan Hengzt genre hip hop music.,Cage hip hop music Nelly Furtado Weatherproof Depart from Me Cage discography Ice Cube Bass Sultan Hengzt,inform,"
Cage is a hip hop music artist who have performed in Depart from Me and Weatherproof and have his own discography as well. Other hip hop music artists include Nelly Furtado, Ice Cube and Bass Sultan Hengzt.",37,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.01509939796,66.22780609,9.672702431,0.8233208,inform,match,1
479,479,47,Christian music rating okay. Debby Boone genre Christian music.,okay Christian music Debby Boone,request_explanation,What do you find just okay about Debby Boone's Christian music?,11,1,2,(X (X) (X)),0.004513807315,221.5424652,8.054496385,0.9076827,request_explanation,match_scores_PPL,1
481,481,48,Olamide genre hip hop music. Nelly Furtado genre hip hop music. Olamide genre contemporary R&B. Olamide date of birth 1989-03-15T00:00:00Z. Olamide country of citizenship Nigeria. YBNL performer Olamide. Olamide record label YBNL Nation.,Olamide hip hop music Nelly Furtado contemporary R&B 1989-03-15T00:00:00Z Nigeria YBNL YBNL Nation,inform," Olamide is a Nigerian artist who specializes in hip hop music and contemporary R&B, and is signed to YBNL Nation record label. He was born on 1989-03-15T00:00:00Z.",27,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02274794724,43.96001053,30.35410551,0.77242494,inform,match_scores,1
493,493,49,Luther Campbell genre hip hop music. Wiz Khalifa genre hip hop music. Raise the Roof performer Luther Campbell. Scandalous: The All Star Compilation performer Luther Campbell. Freak for Life performer Luther Campbell.,Luther Campbell hip hop music Wiz Khalifa Raise the Roof Scandalous: The All Star Compilation Freak for Life,inform," Luther Campbell is a hip hop music artist who has performed in the songs Raise the Roof, Scandalous: The All Star Compilation, and Freak for Life.",26,1,5,(X (X) (X) (X) (X) (X)),0.01130154045,88.48351288,28.4087486,0.8411435,inform,match_scores,1
502,502,50,David Phelps genre Christian music. Aled Jones genre Christian music. No More Night: Live in Birmingham performer David Phelps. Debby Boone genre Christian music.,David Phelps Christian music Aled Jones No More Night: Live in Birmingham Debby Boone,inform,"
David Phelps, Debby Boone, and Aled Jones are all Christian music artists. David Phelps is known for his live performance of No More Night: Live in Birmingham.",27,1,4,(X (X) (X) (X) (X)),0.01273318683,78.534935,24.28133621,0.8874129,inform,match_scores,1
519,519,51,Kendrick Lamar genre conscious hip hop. Prezident genre conscious hip hop. Kendrick Lamar genre alternative hip hop.,Kendrick Lamar conscious hip hop Prezident alternative hip hop,inform,"
Kendrick Lamar and Prezident are both conscious hip hop and alternative hip hop musicians.",14,1,3,(X (X) (X) (X)),0.01400904487,71.38245392,19.25161443,0.90184677,give_opinion,all_scores_PPL,0
522,522,52,Kip Moore rating okay. Slowheart performer Kip Moore.,okay Kip Moore Slowheart,give_opinion," I find Kip Moore's album, Slowheart, to be okay - not great, but not bad either.",16,1,2,(X (X) (X)),0.01918882869,52.11365509,2.519759344,0.73456526,give_opinion,match_scores,1
538,538,53,Allie X record label Universal Music Group. Teena Marie record label Universal Music Group. Allie X country of citizenship Canada. Allie X country of citizenship Canada. Canada award received Nansen Refugee Award.,Allie X Universal Music Group Teena Marie Canada Canada Nansen Refugee Award,inform," Allie X and Teena Marie are both Canadian artists, who signed under Universal Music Group. Allie X has received a Nansen Refugee Award.",23,1,5,(X (X) (X) (X) (X) (X)),0.006902736985,144.8700714,11.37168193,0.79258424,inform,match_scores,1
541,541,54,Kendrick Lamar genre conscious hip hop. Troppo lontano genre conscious hip hop. Kendrick Lamar genre political hip hop. Kendrick Lamar genre gangsta rap. Kendrick Lamar genre West Coast hip hop.,Kendrick Lamar conscious hip hop Troppo lontano political hip hop gangsta rap West Coast hip hop,inform,"
Kendrick Lamar is a conscious hip hop, political hip hop, gangsta rap and West Coast hip hop artist.",18,1,5,(X (X) (X) (X) (X) (X)),0.04405293228,22.69996452,24.33821846,0.9017786,give_opinion,all_scores_PPL,0
557,557,55,Eddie Holland genre rhythm and blues. David A. Stewart genre rhythm and blues.,Eddie Holland rhythm and blues David A. Stewart,inform,Eddie Holland and David A. Stewart are both rhythm and blues artists.,12,1,2,(X (X) (X)),0.006139834698,162.8708344,28.65612242,0.9050406,inform,match_scores,1
566,566,56,Ryan Gosling award received Satellite Awards. Helena Bonham Carter award received Satellite Awards.,Ryan Gosling Satellite Awards Helena Bonham Carter,suggest," Have you seen any of the movies that won Satellite Awards, such as those starring Ryan Gosling and Helena Bonham Carter?",21,1,2,(X (X) (X)),0.04318329178,23.15710449,9.009113474,0.86684567,suggest,match_scores,1
576,576,57,Neha Bhasin genre dance-pop. Hailee Steinfeld genre dance-pop. Neha Bhasin genre Indian pop. You and Me performer Neha Bhasin. Neha Bhasin country of citizenship India. George Michael genre dance-pop. Fernanda Brandão genre dance-pop.,Neha Bhasin dance-pop Hailee Steinfeld Indian pop You and Me India George Michael Fernanda Brandão,inform,"
Neha Bhasin is an Indian pop and dance-pop artist who is from India and known for her song You and Me. Hailee Steinfeld, George Michael, and Fernanda Brandão are also dance-pop artists.",32,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02662146888,37.5636673,7.806367188,0.8564761,inform,match_scores,1
589,589,58,rock music rating excellent. Lenny Kravitz genre rock music.,excellent rock music Lenny Kravitz,request_explanation,What do you think makes Lenny Kravitz' rock music so excellent?,11,1,2,(X (X) (X)),0.02637136235,37.91992188,8.054496385,0.9286522,request_explanation,match_scores,1
590,590,59,Elvis Presley genre rock and roll. Eric Burdon genre rock and roll.,Elvis Presley rock and roll Eric Burdon,recommend,"
Have you heard of Elvis Presley or Eric Burdon? They are both rock and roll artists.",16,1,2,(X (X) (X)),0.0588219455,17.00045776,11.75029694,0.8065142,recommend,match,1
