,mr,da,test_pseudo_utt,domain,type,n_hops,num_triples,pseudo_mr
10,inform = yes | name = War of 1812 | genres = wargame | publication_year = 1973 | publisher = Columbia Games | min_players = 2 | domain = board game,inform,War Of 1812 Wargame 1973 Columbia Games 2,board games,board game,1,5,War of 1812 genre wargame. War of 1812 publication date 1973. War of 1812 publisher Columbia Games. War of 1812 minimum number of players 2. War of 1812 domain board game.
11,inform = yes | name = Risk | genres = board wargame | publisher = Miro Company | publication_year = 1957 | developer = Albert Lamorisse | domain = board game,inform,Risk Board Wargame Miro Company 1957 Albert Lamorisse,board games,board game,1,5,Risk genre board wargame. Risk publisher Miro Company. Risk publication date 1957. Risk developer Albert Lamorisse. Risk domain board game.
12,inform = yes | name = Barbarossa | genres = fantasy | instance_of = board game | developer = Klaus Teuber | publisher = Franckh-Kosmos | min_players = 3 | publication_year = 1988 | domain = board game,inform,Barbarossa Fantasy Board Game Klaus Teuber Franckh-Kosmos 3 1988,board games,board game,1,7,Barbarossa genre fantasy. Barbarossa instance of board game. Barbarossa developer Klaus Teuber. Barbarossa publisher Franckh-Kosmos. Barbarossa minimum number of players 3. Barbarossa publication date 1988. Barbarossa domain board game.
13,inform = yes | name = Cosmic Encounter | genres = science fiction | min_players = 3 | publication_year = 1977 | instance_of = board game | max_players = 8 | publisher = Fantasy Flight Games | domain = board game,inform,Cosmic Encounter Science Fiction 3 1977 Board Game 8 Fantasy Flight Games,board games,board game,1,7,Cosmic Encounter genre science fiction. Cosmic Encounter minimum number of players 3. Cosmic Encounter publication date 1977. Cosmic Encounter instance of board game. Cosmic Encounter maximum number of players 8. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter domain board game.
14,inform = yes | name = Betrayal at House on the Hill | genres = cooperative board game | publisher = Hasbro | developer = Bruce Glassco | instance_of = board game | domain = board game,inform,Betrayal At House On The Hill Cooperative Board Game Hasbro Bruce Glassco Board Game,board games,board game,1,5,Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill domain board game.
15,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | max_players = 8 | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game 8,board games,board game,1,3,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective maximum number of players 8. Sherlock Holmes Consulting Detective domain board game.
16,inform = yes | name = Yomi | genres = card game | min_players = 2 | instance_of = board game | max_players = 2 | domain = board game,inform,Yomi Card Game 2 Board Game 2,board games,board game,1,5,Yomi genre card game. Yomi minimum number of players 2. Yomi instance of board game. Yomi maximum number of players 2. Yomi domain board game.
17,inform = yes | name = Sherlock Holmes Consulting Detective | genres = deduction game | publication_year = 1981 | publisher = Space Cowboys | instance_of = board game | game_mechanics = deductive reasoning | min_players = 1 | domain = board game,inform,Sherlock Holmes Consulting Detective Deduction Game 1981 Space Cowboys Board Game Deductive Reasoning 1,board games,board game,1,7,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective publication date 1981. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective game mechanics deductive reasoning. Sherlock Holmes Consulting Detective minimum number of players 1. Sherlock Holmes Consulting Detective domain board game.
18,inform = yes | name = Axis and Allies | genres = board wargame | publication_year = 1981 | max_players = 5 | developer = Larry Harris | instance_of = board game | domain = board game,inform,Axis And Allies Board Wargame 1981 5 Larry Harris Board Game,board games,board game,1,6,Axis and Allies genre board wargame. Axis and Allies publication date 1981. Axis and Allies maximum number of players 5. Axis and Allies developer Larry Harris. Axis and Allies instance of board game. Axis and Allies domain board game.
19,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | instance_of = board game | max_players = 5 | min_players = 2 | publication_year = 2005 | domain = board game,inform,Descent Journeys In The Dark Fantasy Board Game 5 2 2005,board games,board game,1,6,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark publication date 2005. Descent Journeys in the Dark domain board game.
20,inform = yes | name = Axis and Allies | genres = board wargame | country_of_origin = United States of America | max_players = 5 | publication_year = 1981 | instance_of = board game | domain = board game,inform,Axis And Allies Board Wargame United States Of America 5 1981 Board Game,board games,board game,1,6,Axis and Allies genre board wargame. Axis and Allies country of origin United States of America. Axis and Allies maximum number of players 5. Axis and Allies publication date 1981. Axis and Allies instance of board game. Axis and Allies domain board game.
21,inform = yes | name = Dune | genres = science fiction | instance_of = board game | max_players = 6 | min_players = 2 | publisher = Avalon Hill | publication_year = 1979 | domain = board game,inform,Dune Science Fiction Board Game 6 2 Avalon Hill 1979,board games,board game,1,7,Dune genre science fiction. Dune instance of board game. Dune maximum number of players 6. Dune minimum number of players 2. Dune publisher Avalon Hill. Dune publication date 1979. Dune domain board game.
22,inform = yes | name = Lord of the Rings | genres = fantasy | developer = Reiner Knizia | min_players = 2 | instance_of = board game | based_on = The Lord of the Rings | domain = board game,inform,Lord Of The Rings Fantasy Reiner Knizia 2 Board Game The Lord Of The Rings,board games,board game,1,6,Lord of the Rings genre fantasy. Lord of the Rings developer Reiner Knizia. Lord of the Rings minimum number of players 2. Lord of the Rings instance of board game. Lord of the Rings based on The Lord of the Rings. Lord of the Rings domain board game.
23,inform = yes | name = Cosmic Encounter | genres = science fiction | min_players = 3 | publication_year = 1977 | domain = board game,inform,Cosmic Encounter Science Fiction 3 1977,board games,board game,1,4,Cosmic Encounter genre science fiction. Cosmic Encounter minimum number of players 3. Cosmic Encounter publication date 1977. Cosmic Encounter domain board game.
24,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | publisher = Mayfair Games | min_players = 1 | developer = Bruce Glassco | domain = board game,inform,Mystery Motive For Murder Mystery Fiction Mayfair Games 1 Bruce Glassco,board games,board game,1,5,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder minimum number of players 1. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder domain board game.
25,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | instance_of = board game | publisher = Fantasy Flight Games | max_players = 5 | domain = board game,inform,Descent Journeys In The Dark Fantasy Board Game Fantasy Flight Games 5,board games,board game,1,5,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark domain board game.
26,inform = yes | name = Punaisten ja valkoisten taistelu Suomessa 1918 | genres = wargame | country_of_origin = Finland | instance_of = board game | min_players = 2 | domain = board game,inform,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame Finland Board Game 2,board games,board game,1,5,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.
27,inform = yes | name = Scotland Yard | genres = deduction game | publication_year = 1983 | game_mechanics = cooperative gameplay | publisher = Ravensburger | instance_of = board game | domain = board game,inform,Scotland Yard Deduction Game 1983 Cooperative Gameplay Ravensburger Board Game,board games,board game,1,6,Scotland Yard genre deduction game. Scotland Yard publication date 1983. Scotland Yard game mechanics cooperative gameplay. Scotland Yard publisher Ravensburger. Scotland Yard instance of board game. Scotland Yard domain board game.
28,inform = yes | name = Monopoly | genres = roll-and-move | publisher = Hasbro | based_on = The Landlords Game | game_mechanics = resource management | domain = board game,inform,Monopoly Roll-And-Move Hasbro The Landlord'S Game Resource Management,board games,board game,1,5,Monopoly genre roll-and-move. Monopoly publisher Hasbro. Monopoly based on The Landlords Game. Monopoly game mechanics resource management. Monopoly domain board game.
29,inform = yes | name = Twilight Struggle | genres = board wargame | min_players = 2 | max_players = 2 | instance_of = board game | domain = board game,inform,Twilight Struggle Board Wargame 2 2 Board Game,board games,board game,1,5,Twilight Struggle genre board wargame. Twilight Struggle minimum number of players 2. Twilight Struggle maximum number of players 2. Twilight Struggle instance of board game. Twilight Struggle domain board game.
30,inform = yes | name = Carcassonne | genres = German-style board game | publisher = Hans im Glück | instance_of = board game | min_players = 2 | domain = board game,inform,Carcassonne German-Style Board Game Hans Im Glück Board Game 2,board games,board game,1,5,Carcassonne genre German-style board game. Carcassonne publisher Hans im Glück. Carcassonne instance of board game. Carcassonne minimum number of players 2. Carcassonne domain board game.
31,inform = yes | name = Cosmic Encounter | genres = science fiction | publisher = Fantasy Flight Games | min_players = 3 | instance_of = board game | domain = board game,inform,Cosmic Encounter Science Fiction Fantasy Flight Games 3 Board Game,board games,board game,1,5,Cosmic Encounter genre science fiction. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter minimum number of players 3. Cosmic Encounter instance of board game. Cosmic Encounter domain board game.
32,inform = yes | name = War of 1812 | genres = wargame | instance_of = board game | publication_year = 1973 | min_players = 2 | domain = board game,inform,War Of 1812 Wargame Board Game 1973 2,board games,board game,1,5,War of 1812 genre wargame. War of 1812 instance of board game. War of 1812 publication date 1973. War of 1812 minimum number of players 2. War of 1812 domain board game.
33,inform = yes | name = Battle Masters | genres = fantasy | instance_of = board game | min_players = 2 | publication_year = 1992 | based_on = Warhammer | max_players = 2 | domain = board game,inform,Battle Masters Fantasy Board Game 2 1992 Warhammer 2,board games,board game,1,7,Battle Masters genre fantasy. Battle Masters instance of board game. Battle Masters minimum number of players 2. Battle Masters publication date 1992. Battle Masters based on Warhammer. Battle Masters maximum number of players 2. Battle Masters domain board game.
34,inform = yes | name = Afrikan tähti | genres = roll-and-move | country_of_origin = Finland | publication_year = 1951 | min_players = 2 | instance_of = board game | domain = board game,inform,Afrikan Tähti Roll-And-Move Finland 1951 2 Board Game,board games,board game,1,6,Afrikan tähti genre roll-and-move. Afrikan tähti country of origin Finland. Afrikan tähti publication date 1951. Afrikan tähti minimum number of players 2. Afrikan tähti instance of board game. Afrikan tähti domain board game.
35,inform = yes | name = Betrayal at House on the Hill | genres = cooperative board game | publication_year = 2004 | developer = Bruce Glassco | max_players = 6 | instance_of = board game | publisher = Hasbro | domain = board game,inform,Betrayal At House On The Hill Cooperative Board Game 2004 Bruce Glassco 6 Board Game Hasbro,board games,board game,1,7,Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill publication date 2004. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill domain board game.
36,inform = yes | name = Risk | genres = board wargame | developer = Albert Lamorisse | domain = board game,inform,Risk Board Wargame Albert Lamorisse,board games,board game,1,3,Risk genre board wargame. Risk developer Albert Lamorisse. Risk domain board game.
37,inform = yes | name = Descent Journeys in the Dark | genres = fantasy | publication_year = 2005 | instance_of = board game | max_players = 5 | min_players = 2 | publisher = Fantasy Flight Games | domain = board game,inform,Descent Journeys In The Dark Fantasy 2005 Board Game 5 2 Fantasy Flight Games,board games,board game,1,7,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark publication date 2005. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark maximum number of players 5. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark domain board game.
38,inform = yes | name = Cosmic Encounter | genres = science fiction | publisher = Fantasy Flight Games | min_players = 3 | publication_year = 1977 | max_players = 8 | instance_of = board game | domain = board game,inform,Cosmic Encounter Science Fiction Fantasy Flight Games 3 1977 8 Board Game,board games,board game,1,7,Cosmic Encounter genre science fiction. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter minimum number of players 3. Cosmic Encounter publication date 1977. Cosmic Encounter maximum number of players 8. Cosmic Encounter instance of board game. Cosmic Encounter domain board game.
39,inform = yes | name = War of 1812 | genres = wargame | max_players = 2 | publication_year = 1973 | publisher = Columbia Games | min_players = 2 | instance_of = board game | domain = board game,inform,War Of 1812 Wargame 2 1973 Columbia Games 2 Board Game,board games,board game,1,7,War of 1812 genre wargame. War of 1812 maximum number of players 2. War of 1812 publication date 1973. War of 1812 publisher Columbia Games. War of 1812 minimum number of players 2. War of 1812 instance of board game. War of 1812 domain board game.
40,inform = yes | name = Risk | genres = board wargame | developer = Albert Lamorisse | max_players = 6 | publication_year = 1957 | min_players = 2 | instance_of = board game | domain = board game,inform,Risk Board Wargame Albert Lamorisse 6 1957 2 Board Game,board games,board game,1,7,Risk genre board wargame. Risk developer Albert Lamorisse. Risk maximum number of players 6. Risk publication date 1957. Risk minimum number of players 2. Risk instance of board game. Risk domain board game.
41,inform = yes | name = Risk | genres = board wargame | publisher = Miro Company | min_players = 2 | max_players = 6 | developer = Albert Lamorisse | domain = board game,inform,Risk Board Wargame Miro Company 2 6 Albert Lamorisse,board games,board game,1,6,Risk genre board wargame. Risk publisher Miro Company. Risk minimum number of players 2. Risk maximum number of players 6. Risk developer Albert Lamorisse. Risk domain board game.
42,inform = yes | name = War of 1812 | genres = wargame | instance_of = board game | max_players = 2 | publication_year = 1973 | domain = board game,inform,War Of 1812 Wargame Board Game 2 1973,board games,board game,1,5,War of 1812 genre wargame. War of 1812 instance of board game. War of 1812 maximum number of players 2. War of 1812 publication date 1973. War of 1812 domain board game.
43,inform = yes | name = Cosmic Encounter | genres = science fiction | publisher = Fantasy Flight Games | max_players = 8 | instance_of = board game | publication_year = 1977 | min_players = 3 | domain = board game,inform,Cosmic Encounter Science Fiction Fantasy Flight Games 8 Board Game 1977 3,board games,board game,1,7,Cosmic Encounter genre science fiction. Cosmic Encounter publisher Fantasy Flight Games. Cosmic Encounter maximum number of players 8. Cosmic Encounter instance of board game. Cosmic Encounter publication date 1977. Cosmic Encounter minimum number of players 3. Cosmic Encounter domain board game.
44,inform = yes | name = Enchanted Forest | genres = fantasy | developer = Michel Matschoss | max_players = 6 | publisher = Ravensburger | domain = board game,inform,Enchanted Forest Fantasy Michel Matschoss 6 Ravensburger,board games,board game,1,5,Enchanted Forest genre fantasy. Enchanted Forest developer Michel Matschoss. Enchanted Forest maximum number of players 6. Enchanted Forest publisher Ravensburger. Enchanted Forest domain board game.
45,inform = yes | name = Enchanted Forest | genres = fantasy | min_players = 2 | instance_of = board game | publisher = Ravensburger | domain = board game,inform,Enchanted Forest Fantasy 2 Board Game Ravensburger,board games,board game,1,5,Enchanted Forest genre fantasy. Enchanted Forest minimum number of players 2. Enchanted Forest instance of board game. Enchanted Forest publisher Ravensburger. Enchanted Forest domain board game.
46,inform = yes | name = Axis and Allies | genres = board wargame | country_of_origin = United States of America | min_players = 2 | max_players = 5 | publication_year = 1981 | instance_of = board game | domain = board game,inform,Axis And Allies Board Wargame United States Of America 2 5 1981 Board Game,board games,board game,1,7,Axis and Allies genre board wargame. Axis and Allies country of origin United States of America. Axis and Allies minimum number of players 2. Axis and Allies maximum number of players 5. Axis and Allies publication date 1981. Axis and Allies instance of board game. Axis and Allies domain board game.
47,inform = yes | name = Afrikan tähti | genres = roll-and-move | publication_year = 1951 | max_players = 6 | min_players = 2 | instance_of = board game | domain = board game,inform,Afrikan Tähti Roll-And-Move 1951 6 2 Board Game,board games,board game,1,6,Afrikan tähti genre roll-and-move. Afrikan tähti publication date 1951. Afrikan tähti maximum number of players 6. Afrikan tähti minimum number of players 2. Afrikan tähti instance of board game. Afrikan tähti domain board game.
48,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | max_players = 5 | publication_year = 2015 | min_players = 1 | publisher = Mayfair Games | developer = Bruce Glassco | domain = board game,inform,Mystery Motive For Murder Mystery Fiction 5 2015 1 Mayfair Games Bruce Glassco,board games,board game,1,7,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder publication date 2015. Mystery Motive for Murder minimum number of players 1. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder domain board game.
49,inform = yes | name = A Game of Thrones | genres = fantasy | publisher = Fantasy Flight Games | instance_of = board game | publication_year = 2003 | max_players = 5 | domain = board game,inform,A Game Of Thrones Fantasy Fantasy Flight Games Board Game 2003 5,board games,board game,1,6,A Game of Thrones genre fantasy. A Game of Thrones publisher Fantasy Flight Games. A Game of Thrones instance of board game. A Game of Thrones publication date 2003. A Game of Thrones maximum number of players 5. A Game of Thrones domain board game.
50,inform = yes | name = Lord of the Rings | genres = fantasy | instance_of = board game | developer = Reiner Knizia | min_players = 2 | publication_year = 2000 | max_players = 5 | domain = board game,inform,Lord Of The Rings Fantasy Board Game Reiner Knizia 2 2000 5,board games,board game,1,7,Lord of the Rings genre fantasy. Lord of the Rings instance of board game. Lord of the Rings developer Reiner Knizia. Lord of the Rings minimum number of players 2. Lord of the Rings publication date 2000. Lord of the Rings maximum number of players 5. Lord of the Rings domain board game.
51,inform = yes | name = Thurn and Taxis | genres = historical board game | publication_year = 2006 | instance_of = board game | developer = Andreas Seyfarth | publisher = Hans im Glück | domain = board game,inform,Thurn And Taxis Historical Board Game 2006 Board Game Andreas Seyfarth Hans Im Glück,board games,board game,1,6,Thurn and Taxis genre historical board game. Thurn and Taxis publication date 2006. Thurn and Taxis instance of board game. Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis publisher Hans im Glück. Thurn and Taxis domain board game.
52,inform = yes | name = Punaisten ja valkoisten taistelu Suomessa 1918 | genres = wargame | instance_of = board game | publication_year = 1918 | max_players = 2 | min_players = 2 | country_of_origin = Finland | domain = board game,inform,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame Board Game 1918 2 2 Finland,board games,board game,1,7,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 publication date 1918. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.
53,inform = yes | name = HeroQuest | genres = fantasy | min_players = 2 | instance_of = board game | max_players = 5 | publisher = Games Workshop | domain = board game,inform,Heroquest Fantasy 2 Board Game 5 Games Workshop,board games,board game,1,6,HeroQuest genre fantasy. HeroQuest minimum number of players 2. HeroQuest instance of board game. HeroQuest maximum number of players 5. HeroQuest publisher Games Workshop. HeroQuest domain board game.
54,inform = yes | name = A Game of Thrones | genres = fantasy | min_players = 3 | publication_year = 2003 | max_players = 5 | instance_of = board game | domain = board game,inform,A Game Of Thrones Fantasy 3 2003 5 Board Game,board games,board game,1,6,A Game of Thrones genre fantasy. A Game of Thrones minimum number of players 3. A Game of Thrones publication date 2003. A Game of Thrones maximum number of players 5. A Game of Thrones instance of board game. A Game of Thrones domain board game.
55,inform = yes | name = Lord of the Rings | genres = fantasy | publication_year = 2000 | max_players = 5 | instance_of = board game | domain = board game,inform,Lord Of The Rings Fantasy 2000 5 Board Game,board games,board game,1,5,Lord of the Rings genre fantasy. Lord of the Rings publication date 2000. Lord of the Rings maximum number of players 5. Lord of the Rings instance of board game. Lord of the Rings domain board game.
56,inform = yes | name = Punaisten ja valkoisten taistelu Suomessa 1918 | genres = wargame | max_players = 2 | country_of_origin = Finland | publication_year = 1918 | min_players = 2 | domain = board game,inform,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame 2 Finland 1918 2,board games,board game,1,6,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 maximum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 publication date 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.
57,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | developer = Bruce Glassco | publication_year = 2015 | max_players = 5 | instance_of = board game | publisher = Mayfair Games | domain = board game,inform,Mystery Motive For Murder Mystery Fiction Bruce Glassco 2015 5 Board Game Mayfair Games,board games,board game,1,7,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder publication date 2015. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder instance of board game. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.
58,inform = yes | name = Mystery Motive for Murder | genres = mystery fiction | instance_of = board game | min_players = 1 | developer = Bruce Glassco | max_players = 5 | domain = board game,inform,Mystery Motive For Murder Mystery Fiction Board Game 1 Bruce Glassco 5,board games,board game,1,6,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder instance of board game. Mystery Motive for Murder minimum number of players 1. Mystery Motive for Murder developer Bruce Glassco. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder domain board game.
59,inform = yes | name = Battle Masters | genres = fantasy | publication_year = 1992 | based_on = Warhammer | max_players = 2 | min_players = 2 | domain = board game,inform,Battle Masters Fantasy 1992 Warhammer 2 2,board games,board game,1,6,Battle Masters genre fantasy. Battle Masters publication date 1992. Battle Masters based on Warhammer. Battle Masters maximum number of players 2. Battle Masters minimum number of players 2. Battle Masters domain board game.
60,inform = yes | name = Battle Masters | genres = fantasy | min_players = 2 | based_on = Warhammer | max_players = 2 | instance_of = board game | domain = board game,inform,Battle Masters Fantasy 2 Warhammer 2 Board Game,board games,board game,1,6,Battle Masters genre fantasy. Battle Masters minimum number of players 2. Battle Masters based on Warhammer. Battle Masters maximum number of players 2. Battle Masters instance of board game. Battle Masters domain board game.
61,inform = yes | name = Risk | genres = board wargame | instance_of = board game | publisher = Miro Company | publication_year = 1957 | max_players = 6 | domain = board game,inform,Risk Board Wargame Board Game Miro Company 1957 6,board games,board game,1,6,Risk genre board wargame. Risk instance of board game. Risk publisher Miro Company. Risk publication date 1957. Risk maximum number of players 6. Risk domain board game.
62,inform = yes | name = HeroQuest | genres = fantasy | instance_of = board game | publisher = Games Workshop | max_players = 5 | min_players = 2 | domain = board game,inform,Heroquest Fantasy Board Game Games Workshop 5 2,board games,board game,1,6,HeroQuest genre fantasy. HeroQuest instance of board game. HeroQuest publisher Games Workshop. HeroQuest maximum number of players 5. HeroQuest minimum number of players 2. HeroQuest domain board game.
63,inform = yes | name = Dune | genres = science fiction | publisher = Avalon Hill | min_players = 2 | publication_year = 1979 | domain = board game,inform,Dune Science Fiction Avalon Hill 2 1979,board games,board game,1,5,Dune genre science fiction. Dune publisher Avalon Hill. Dune minimum number of players 2. Dune publication date 1979. Dune domain board game.
64,inform = yes | name = Axis and Allies | genres = board wargame | max_players = 5 | min_players = 2 | instance_of = board game | country_of_origin = United States of America | publisher = Avalon Hill | domain = board game,inform,Axis And Allies Board Wargame 5 2 Board Game United States Of America Avalon Hill,board games,board game,1,7,Axis and Allies genre board wargame. Axis and Allies maximum number of players 5. Axis and Allies minimum number of players 2. Axis and Allies instance of board game. Axis and Allies country of origin United States of America. Axis and Allies publisher Avalon Hill. Axis and Allies domain board game.
65,inform = yes | name = War of 1812 | genres = wargame | min_players = 2 | publication_year = 1973 | max_players = 2 | domain = board game,inform,War Of 1812 Wargame 2 1973 2,board games,board game,1,5,War of 1812 genre wargame. War of 1812 minimum number of players 2. War of 1812 publication date 1973. War of 1812 maximum number of players 2. War of 1812 domain board game.
66,inform = yes | name = Afrikan tähti | genres = roll-and-move | country_of_origin = Finland | publication_year = 1951 | max_players = 6 | instance_of = board game | min_players = 2 | domain = board game,inform,Afrikan Tähti Roll-And-Move Finland 1951 6 Board Game 2,board games,board game,1,7,Afrikan tähti genre roll-and-move. Afrikan tähti country of origin Finland. Afrikan tähti publication date 1951. Afrikan tähti maximum number of players 6. Afrikan tähti instance of board game. Afrikan tähti minimum number of players 2. Afrikan tähti domain board game.
