index,mr_new,pseudo_mr,da,text,num_hops,num_triples,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,shape,,
10,"Yari Verschaeren sport association football. Yari Verschaeren sports teams R.S.C. Anderlecht, Belgium national under-21 football team. Yari Verschaeren domain athletes.","Yari Verschaeren Association Football R.S.C. Anderlecht, Belgium National Under-21 Football Team",confirm," Are you talking about Yari Verschaeren, the association football player who is part of R.S.C. Anderlecht and the Belgium national under-21 football team?",1,3,0.01222432502,81.80410767,21.99732737,0.9313748,confirm,match_scores,(X (X) (X) (X)),1,23
11,Oleksandr Usyk sport boxing. Oleksandr Usyk stats leader N/A. Oleksandr Usyk domain athletes.,Oleksandr Usyk Boxing N/A,confirm," Are you talking about Oleksandr Usyk, the boxing athlete?",1,3,0.007223434897,138.4382935,7.495553473,0.79401207,confirm,match_scores_PPL,(X (X) (X) (X)),1,9
12,Liam Neeson sport association football. Liam Neeson awards Theatre World Award. Liam Neeson domain athletes.,Liam Neeson Association Football Theatre World Award,confirm," Are you talking about Liam Neeson, the association football player who has won the Theatre World Award?",1,3,0.01436957114,69.59149933,9.475814784,0.8833122,confirm,match_scores_PPL,(X (X) (X) (X)),1,17
13,Alexis Mac Allister sport association football. Alexis Mac Allister stats leader Poland v Argentina. Alexis Mac Allister domain athletes.,Alexis Mac Allister Association Football Poland V Argentina,confirm," Are you talking about Alexis Mac Allister, the association football athlete who led Poland v Argentina?",1,3,0.001638153622,610.4433594,9.083627868,0.89513224,confirm,match_scores,(X (X) (X) (X)),1,16
14,Logan Paul sport boxing. Logan Paul awards Diamond Play Button. Logan Paul domain athletes.,Logan Paul Boxing Diamond Play Button,confirm," Are you talking about Logan Paul, the boxer who has been awarded a Diamond Play Button?",1,3,0.005564150488,179.7219543,10.05268673,0.83293945,confirm,match_scores,(X (X) (X) (X)),1,16
15,Zizinho sport association football. Zizinho num awards 0. Zizinho domain athletes.,Zizinho Association Football 0,confirm," Are you talking about Zizinho, the association football player who has won no awards?",1,3,0.005879719472,170.0761414,2.445593937,0.72119576,confirm,match_scores,(X (X) (X) (X)),1,14
16,Larry Bird sport basketball. Larry Bird team positions power forward. Larry Bird domain athletes.,Larry Bird Basketball Power Forward,confirm," Are you bringing up Larry Bird, the basketball athlete known for his power forward position?",1,3,0.008328637545,120.0676575,4.573913556,0.76308143,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
17,Paul Pogba sport association football. Paul Pogba num awards 1. Paul Pogba domain athletes.,Paul Pogba Association Football 1,confirm," Are you talking about Paul Pogba, the association football athlete with one award?",1,3,0.004981722939,200.7337646,5.255923421,0.7958769,confirm,match_scores,(X (X) (X) (X)),1,13
18,Peter Lorimer sport association football. Peter Lorimer awards N/A. Peter Lorimer domain athletes.,Peter Lorimer Association Football N/A,confirm," Are you talking about Peter Lorimer, the association football athlete?",1,3,0.002904078898,344.3432617,6.772997137,0.8060417,confirm,match_scores_PPL,(X (X) (X) (X)),1,10
19,Marta Xargay sport basketball. Marta Xargay num awards 0. Marta Xargay domain athletes.,Marta Xargay Basketball 0,confirm," Are you talking about Marta Xargay, the basketball athlete who has won 0 awards?",1,3,0.003349648833,298.5387573,5.412989187,0.8142364,confirm,match_scores,(X (X) (X) (X)),1,14
20,Besart Berisha sport association football. Besart Berisha team positions forward. Besart Berisha domain athletes.,Besart Berisha Association Football Forward,confirm," Are you talking about Besart Berisha, the association football player who is a forward?",1,3,0.01051462306,95.10564423,4.891187874,0.8582419,confirm,match_scores,(X (X) (X) (X)),1,14
21,O. J. Simpson sport athletics. O. J. Simpson num awards 2. O. J. Simpson domain athletes.,O. J. Simpson Athletics 2,confirm," Are you talking about O. J. Simpson, the athletics athlete who has won two awards?",1,3,0.01308464861,76.42543793,18.95162957,0.8017615,confirm,match_scores,(X (X) (X) (X)),1,15
22,John Fleck sport association football. John Fleck num awards 0. John Fleck domain athletes.,John Fleck Association Football 0,confirm," Are you talking about John Fleck, the association football athlete who has won zero awards?",1,3,0.005526681273,180.9404144,4.573913556,0.7384371,confirm,match_scores,(X (X) (X) (X)),1,15
23,Paul Pogba sport association football. Paul Pogba stats leader match 51 of 2014 FIFA World Cup. Paul Pogba domain athletes.,Paul Pogba Association Football Match 51 Of 2014 Fifa World Cup,confirm," Are you talking about Paul Pogba, the association football athlete who was the leader in match 51 of the 2014 FIFA World Cup?",1,3,0.01183989761,84.46018982,4.714627368,0.89250505,confirm,match_scores,(X (X) (X) (X)),1,23
24,Wayne Rooney sport association football. Wayne Rooney start time 2002. Wayne Rooney domain athletes.,Wayne Rooney Association Football 2002,confirm," Are you talking about Wayne Rooney, the association football player who started in 2002?",1,3,0.01065333699,93.86730194,5.412989187,0.8655011,confirm,match_scores,(X (X) (X) (X)),1,14
25,Carlos Alcaraz sport tennis. Carlos Alcaraz stats leader N/A. Carlos Alcaraz domain athletes.,Carlos Alcaraz Tennis N/A,confirm," Are you talking about Carlos Alcaraz, the tennis player?",1,3,0.01091122806,91.64871216,7.495553473,0.82432777,confirm,match_scores_PPL,(X (X) (X) (X)),1,9
26,Maryna Zanevska sport tennis. Maryna Zanevska sports teams Belgium Billie Jean King Cup team. Maryna Zanevska domain athletes.,Maryna Zanevska Tennis Belgium Billie Jean King Cup Team,confirm," Are you talking about Maryna Zanevska, the tennis player who was part of the Belgium Billie Jean King Cup team?",1,3,0.01284554398,77.8480072,18.59723721,0.9204706,confirm,match_scores,(X (X) (X) (X)),1,20
27,Ronaldo sport association football. Ronaldo num awards 11. Ronaldo domain athletes.,Ronaldo Association Football 11,confirm," Are you talking about Ronaldo, the association football player who has won 11 awards?",1,3,0.008166362725,122.453537,2.908317711,0.7942675,confirm,match_scores_PPL,(X (X) (X) (X)),1,14
28,"Conor Washington sport association football. Conor Washington sports teams Newport County A.F.C., Peterborough United F.C.. Conor Washington domain athletes.","Conor Washington Association Football Newport County A.F.C., Peterborough United F.C.",confirm," Are you talking about Conor Washington, the association football player who has played for Newport County A.F.C. and Peterborough United F.C.?",1,3,0.01511659449,66.15246582,39.11657493,0.92742294,confirm,match_scores,(X (X) (X) (X)),1,21
29,Robert Lewandowski sport association football. Robert Lewandowski place of birth Warsaw. Robert Lewandowski domain athletes.,Robert Lewandowski Association Football Warsaw,confirm," Are you talking about Robert Lewandowski, the association football player from Warsaw?",1,3,0.005516626016,181.2702179,6.285596338,0.91494316,confirm,match_scores_PPL,(X (X) (X) (X)),1,12
30,Larry Bird sport basketball. Larry Bird awards NBA All-Rookie Team. Larry Bird domain athletes.,Larry Bird Basketball Nba All-Rookie Team,confirm," Are you talking about Larry Bird, the basketball athlete who made the NBA All-Rookie Team?",1,3,0.028493114,35.09619904,6.468490584,0.8973026,confirm,match_scores,(X (X) (X) (X)),1,15
31,"Marta Xargay sport basketball. Marta Xargay sports teams CB Avenida, Dynamo Kursk. Marta Xargay domain athletes.","Marta Xargay Basketball Cb Avenida, Dynamo Kursk",confirm," Are you talking about Marta Xargay, the basketball player who plays for CB Avenida and Dynamo Kursk?",1,3,0.002945236735,339.5312805,6.336859268,0.9158329,confirm,match_scores,(X (X) (X) (X)),1,17
32,Wayne Rooney sport association football. Wayne Rooney awards Bravo Award. Wayne Rooney domain athletes.,Wayne Rooney Association Football Bravo Award,confirm," Are you talking about Wayne Rooney, the association football player who has won the Bravo Award?",1,3,0.01030717135,97.0198288,6.074588071,0.88216424,confirm,match_scores,(X (X) (X) (X)),1,16
33,Conor Washington sport association football. Conor Washington place of birth Chatham. Conor Washington domain athletes.,Conor Washington Association Football Chatham,confirm," Are you talking about Conor Washington, the association football player from Chatham?",1,3,0.004028814235,248.2119904,6.285596338,0.8984591,confirm,match_scores_PPL,(X (X) (X) (X)),1,12
34,Ahmad Nourollahi sport association football. Ahmad Nourollahi awards N/A. Ahmad Nourollahi domain athletes.,Ahmad Nourollahi Association Football N/A,confirm," Are you talking about Ahmad Nourollahi, the association football athlete?",1,3,0.0006550958653,1526.494141,6.772997137,0.8554619,confirm,match_scores_PPL,(X (X) (X) (X)),1,10
35,Arike Ogunbowale sport basketball. Arike Ogunbowale team positions point guard. Arike Ogunbowale domain athletes.,Arike Ogunbowale Basketball Point Guard,confirm," Are you talking about Arike Ogunbowale, the point guard from the world of basketball?",1,3,0.0132797168,75.30281067,4.891187874,0.8970882,confirm,match_scores,(X (X) (X) (X)),1,14
36,"Ronaldo sport association football. Ronaldo date of birth September 22, 1976. Ronaldo domain athletes.","Ronaldo Association Football September 22, 1976",confirm," Are you talking about Ronaldo, the association football player born on September 22, 1976?",1,3,0.009882845544,101.1854324,15.1385146,0.876823,confirm,match_scores_PPL,(X (X) (X) (X)),1,14
37,"Zizinho sport association football. Zizinho sports teams Brazil national football team, Audax Italiano. Zizinho domain athletes.","Zizinho Association Football Brazil National Football Team, Audax Italiano",confirm," Are you talking about Zizinho, the association football player who has been part of the Brazil national football team and Audax Italiano?",1,3,0.007470100676,133.8670044,3.956623636,0.9260155,confirm,match_scores,(X (X) (X) (X)),1,22
38,Cristiano Ronaldo sport association football. Cristiano Ronaldo sports teams Al-Nassr. Cristiano Ronaldo domain athletes.,Cristiano Ronaldo Association Football Al-Nassr,confirm," Are you talking about Cristiano Ronaldo, the association football player who is part of Al-Nassr?",1,3,0.01233564489,81.06588745,5.061867435,0.90214264,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
39,Venus Williams sport tennis. Venus Williams awards Best Female Tennis Player ESPY Award. Venus Williams domain athletes.,Venus Williams Tennis Best Female Tennis Player Espy Award,confirm," Are you talking about Venus Williams, the tennis player who has won the Best Female Tennis Player ESPY Award?",1,3,0.02381696523,41.98687744,14.05167698,0.93479383,confirm,match_scores,(X (X) (X) (X)),1,19
40,Noah Rubin sport tennis. Noah Rubin sports teams Wake Forest Demon Deacons mens tennis. Noah Rubin domain athletes.,Noah Rubin Tennis Wake Forest Demon Deacons Mens Tennis,confirm," Are you talking about Noah Rubin, the tennis athlete who is a part of the Wake Forest Demon Deacons men's team?",1,3,0.01641069096,60.93588638,12.25914996,0.8499468,confirm,match_scores,(X (X) (X) (X)),1,21
41,Giannis Antetokounmpo sport basketball. Giannis Antetokounmpo team positions small forward. Giannis Antetokounmpo domain athletes.,Giannis Antetokounmpo Basketball Small Forward,confirm," Are you speaking of Giannis Antetokounmpo, the basketball small forward?",1,3,0.03296859121,30.33189964,6.772997137,0.93894035,confirm,match_scores,(X (X) (X) (X)),1,10
42,Billy Vunipola sport rugby union. Billy Vunipola stats leader N/A. Billy Vunipola domain athletes.,Billy Vunipola Rugby Union N/A,confirm," Are you talking about Billy Vunipola, the rugby union athlete?",1,3,0.01100056164,90.90444946,6.772997137,0.83539665,confirm,match_scores_PPL,(X (X) (X) (X)),1,10
43,Jake Paul sport boxing. Jake Paul team positions N/A. Jake Paul domain athletes.,Jake Paul Boxing N/A,confirm," Are you talking about Jake Paul, the boxing athlete?",1,3,0.004211174842,237.4634247,7.495553473,0.72362095,confirm,match_scores,(X (X) (X) (X)),1,9
44,Kendall Gill sport basketball. Kendall Gill num awards 0. Kendall Gill domain athletes.,Kendall Gill Basketball 0,confirm," Are you talking about Kendall Gill, the basketball athlete who has won 0 awards?",1,3,0.004137806849,241.6739197,5.412989187,0.78683484,confirm,match_scores,(X (X) (X) (X)),1,14
45,"Billy Vunipola sport rugby union. Billy Vunipola date of birth November 3, 1992. Billy Vunipola domain athletes.","Billy Vunipola Rugby Union November 3, 1992",confirm," Are you talking about Billy Vunipola, the rugby union player born on November 3, 1992?",1,3,0.01995530336,50.11199188,15.989215,0.8985838,confirm,match_scores,(X (X) (X) (X)),1,15
46,Joseph Yobo sport association football. Joseph Yobo stats leader N/A. Joseph Yobo domain athletes.,Joseph Yobo Association Football N/A,confirm," Are you talking about Joseph Yobo, the association football player?",1,3,0.002892925047,345.6708984,6.772997137,0.80086565,confirm,match_scores_PPL,(X (X) (X) (X)),1,10
47,Logan Paul sport boxing. Logan Paul awards Gold Play Button. Logan Paul domain athletes.,Logan Paul Boxing Gold Play Button,confirm," Are you talking about Logan Paul, the boxer who has won a Gold Play Button?",1,3,0.004855105087,205.9687653,10.70454633,0.83904916,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
48,Sammy Ameobi sport association football. Sammy Ameobi num awards 0. Sammy Ameobi domain athletes.,Sammy Ameobi Association Football 0,confirm," Are you talking about Sammy Ameobi, the association football athlete who has 0 awards?",1,3,0.003651991755,273.8231812,5.412989187,0.823454,confirm,match_scores,(X (X) (X) (X)),1,14
49,Floyd Mayweather sport boxing. Floyd Mayweather stats leader N/A. Floyd Mayweather domain athletes.,Floyd Mayweather Boxing N/A,confirm," Are you talking about Floyd Mayweather, the boxing athlete?",1,3,0.008448244768,118.3677826,7.495553473,0.77504545,confirm,match_scores,(X (X) (X) (X)),1,9
50,Leon Osman sport association football. Leon Osman stats leader N/A. Leon Osman domain athletes.,Leon Osman Association Football N/A,confirm," Are you talking about Leon Osman, the association football player?",1,3,0.00583036741,171.5157776,6.772997137,0.7961358,confirm,match_scores_PPL,(X (X) (X) (X)),1,10
51,"Leon Osman sport association football. Leon Osman date of birth May 17, 1981. Leon Osman domain athletes.","Leon Osman Association Football May 17, 1981",confirm," Are you talking about Leon Osman, the association football player born on May 17, 1981?",1,3,0.01105317799,90.47171783,15.989215,0.8755836,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
52,"David Beckham sport association football. David Beckham date of birth May 2, 1975. David Beckham domain athletes.","David Beckham Association Football May 2, 1975",confirm," Are you talking about David Beckham, the association football athlete born on May 2, 1975?",1,3,0.009126344926,109.5728912,15.989215,0.8751767,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
53,Djamel Belmadi sport association football. Djamel Belmadi num awards 0. Djamel Belmadi domain athletes.,Djamel Belmadi Association Football 0,confirm," Are you talking about Djamel Belmadi, the association football athlete who has won zero awards?",1,3,0.005402876461,185.0865936,4.573913556,0.84794986,confirm,match_scores,(X (X) (X) (X)),1,15
54,Carlos Alcaraz sport tennis. Carlos Alcaraz team positions N/A. Carlos Alcaraz domain athletes.,Carlos Alcaraz Tennis N/A,confirm," Are you bringing up Carlos Alcaraz, the tennis player?",1,3,0.007110429078,140.6384888,7.495553473,0.8211649,confirm,match_scores,(X (X) (X) (X)),1,9
55,David Beckham sport association football. David Beckham stats leader 2006 FIFA World Cup Match 19. David Beckham domain athletes.,David Beckham Association Football 2006 Fifa World Cup Match 19,confirm," Are you talking about David Beckham, the association football athlete who was the leader in 2006 FIFA World Cup Match 19?",1,3,0.00723093307,138.2947388,12.74081046,0.89375055,confirm,match_scores,(X (X) (X) (X)),1,21
56,Novak Djokovic sport tennis. Novak Djokovic awards Order of St. Sava. Novak Djokovic domain athletes.,Novak Djokovic Tennis Order Of St. Sava,confirm," Are you talking about Novak Djokovic, the tennis player who has been awarded the Order of St. Sava?",1,3,0.03255269849,30.71941948,8.896962873,0.89415234,confirm,match_scores,(X (X) (X) (X)),1,18
57,Billy Vunipola sport rugby union. Billy Vunipola start time 2011. Billy Vunipola domain athletes.,Billy Vunipola Rugby Union 2011,confirm," Are you talking about Billy Vunipola, the rugby union athlete who started in 2011?",1,3,0.0133051973,75.15859985,5.412989187,0.8618337,confirm,match_scores,(X (X) (X) (X)),1,14
58,Davie Selke sport association football. Davie Selke stats leader 2014 UEFA European Under-19 Football Championship. Davie Selke domain athletes.,Davie Selke Association Football 2014 Uefa European Under-19 Football Championship,confirm," Are you mentioning Davie Selke, the association football athlete who led the 2014 UEFA European Under-19 Football Championship?",1,3,0.006086963629,164.2855225,14.81394579,0.93315554,confirm,match_scores,(X (X) (X) (X)),1,18
59,Wilt Chamberlain sport basketball. Wilt Chamberlain place of birth Philadelphia. Wilt Chamberlain domain athletes.,Wilt Chamberlain Basketball Philadelphia,confirm," Are we discussing Wilt Chamberlain, the basketball player from Philadelphia?",1,3,0.009772822439,102.324585,7.495553473,0.8403254,confirm,match_scores,(X (X) (X) (X)),1,10
60,O. J. Simpson sport athletics. O. J. Simpson awards Pro Football Hall of Fame. O. J. Simpson domain athletes.,O. J. Simpson Athletics Pro Football Hall Of Fame,confirm," Are you talking about O. J. Simpson, the athletics athlete who was inducted into the Pro Football Hall of Fame?",1,3,0.04307876512,23.21329308,20.28736642,0.879241,confirm,match_scores,(X (X) (X) (X)),1,20
61,"Marta Xargay sport basketball. Marta Xargay sports teams Dynamo Kursk, CB Avenida. Marta Xargay domain athletes.","Marta Xargay Basketball Dynamo Kursk, Cb Avenida",confirm," Are you talking about Marta Xargay, the basketball player who has been part of teams like Dynamo Kursk and CB Avenida?",1,3,0.004607003987,217.0608063,5.154337627,0.9016663,confirm,match_scores,(X (X) (X) (X)),1,21
62,Paul Pogba sport association football. Paul Pogba start time 2011. Paul Pogba domain athletes.,Paul Pogba Association Football 2011,confirm," Are you talking about Paul Pogba, the association football athlete who started playing in 2011?",1,3,0.009367733721,106.7494049,5.061867435,0.82136023,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
63,Matt Holland sport association football. Matt Holland start time 1996. Matt Holland domain athletes.,Matt Holland Association Football 1996,confirm," Are you talking about Matt Holland, the association football athlete who started playing in 1996?",1,3,0.005351643812,186.8584747,5.061867435,0.80933386,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
64,"Fredy Montero sport association football. Fredy Montero date of birth July 26, 1987. Fredy Montero domain athletes.","Fredy Montero Association Football July 26, 1987",confirm," Are you talking about Fredy Montero, the association football player born on July 26, 1987?",1,3,0.01471236954,67.97001648,15.989215,0.89826363,confirm,match_scores,(X (X) (X) (X)),1,15
65,Zizinho sport association football. Zizinho start time 1939. Zizinho domain athletes.,Zizinho Association Football 1939,confirm," Are you talking about Zizinho, the association football athlete who started in 1939?",1,3,0.003020346042,331.0878906,3.125190764,0.8539668,confirm,match_scores,(X (X) (X) (X)),1,13
66,Ahmad Nourollahi sport association football. Ahmad Nourollahi start time 2011. Ahmad Nourollahi domain athletes.,Ahmad Nourollahi Association Football 2011,confirm," Are you talking about Ahmad Nourollahi, the association football athlete who started playing in 2011?",1,3,0.002185881148,457.4814148,5.061867435,0.85851127,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
67,Monty Brown sport American football. Monty Brown start time 2001. Monty Brown domain athletes.,Monty Brown American Football 2001,confirm," Are we talking about Monty Brown, the American football athlete who started playing in 2001?",1,3,0.01045940147,95.6077652,5.439330544,0.8020759,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
68,John Kirwan sport rugby union. John Kirwan start time 1983. John Kirwan domain athletes.,John Kirwan Rugby Union 1983,confirm," Are you talking about John Kirwan, the rugby union athlete who started playing in 1983?",1,3,0.01030257689,97.06309509,5.061867435,0.8464347,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
69,Luigi Di Biagio sport association football. Luigi Di Biagio place of birth Rome. Luigi Di Biagio domain athletes.,Luigi Di Biagio Association Football Rome,confirm," Are you talking about Luigi Di Biagio, the association football athlete from Rome?",1,3,0.004359808758,229.3678589,10.51184684,0.8934341,confirm,match_scores,(X (X) (X) (X)),1,13
70,"Kobe Bryant sport basketball. Kobe Bryant date of birth August 23, 1978. Kobe Bryant domain athletes.","Kobe Bryant Basketball August 23, 1978",confirm," Are you talking about Kobe Bryant, the basketball player born on August 23, 1978?",1,3,0.02010581045,49.736866,17.02602472,0.9178114,confirm,match_scores_PPL,(X (X) (X) (X)),1,14
71,Peter Lorimer sport association football. Peter Lorimer team positions wing half. Peter Lorimer domain athletes.,Peter Lorimer Association Football Wing Half,confirm," Are you bringing up Peter Lorimer, the association football player known for his wing-half position?",1,3,0.006182798996,161.7390442,4.573913556,0.84132934,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
72,Dwayne Johnson sport professional wrestling. Dwayne Johnson num awards 3. Dwayne Johnson domain athletes.,Dwayne Johnson Professional Wrestling 3,confirm," Are you talking about Dwayne Johnson, the professional wrestler who has won three awards?",1,3,0.01785713799,56.00001526,4.891187874,0.7973114,confirm,match_scores_PPL,(X (X) (X) (X)),1,14
73,"Tim Thomas sport basketball. Tim Thomas sports teams Chicago Bulls, Villanova Wildcats mens basketball. Tim Thomas domain athletes.","Tim Thomas Basketball Chicago Bulls, Villanova Wildcats Mens Basketball",confirm," Are you talking about Tim Thomas, the basketball player who was part of the Chicago Bulls and the Villanova Wildcats men's team?",1,3,0.02932630515,34.09907913,5.664180227,0.85540694,confirm,match_scores,(X (X) (X) (X)),1,22
74,Billy Vunipola sport rugby union. Billy Vunipola awards N/A. Billy Vunipola domain athletes.,Billy Vunipola Rugby Union N/A,confirm," Are you talking about Billy Vunipola, the rugby union player?",1,3,0.01413638083,70.73946381,6.772997137,0.8493583,confirm,match_scores,(X (X) (X) (X)),1,10
75,Zizinho sport association football. Zizinho place of birth Rio de Janeiro. Zizinho domain athletes.,Zizinho Association Football Rio De Janeiro,confirm," Are you bringing up Zizinho, the association football player from Rio de Janeiro?",1,3,0.006298513964,158.7676086,3.458592114,0.90423787,confirm,match_scores,(X (X) (X) (X)),1,13
76,Dwayne Johnson sport professional wrestling. Dwayne Johnson team positions defensive lineman. Dwayne Johnson domain athletes.,Dwayne Johnson Professional Wrestling Defensive Lineman,confirm," Are you talking about Dwayne Johnson, the professional wrestler and defensive lineman?",1,3,0.01440237379,69.43299866,5.679677445,0.90012413,confirm,match_scores,(X (X) (X) (X)),1,12
77,Noah Rubin sport tennis. Noah Rubin awards N/A. Noah Rubin domain athletes.,Noah Rubin Tennis N/A,confirm," Are you talking about Noah Rubin, the tennis athlete?",1,3,0.002386347019,419.0505371,7.495553473,0.8038087,confirm,match_scores,(X (X) (X) (X)),1,9
78,LeBron James sport basketball. LeBron James team positions point forward. LeBron James domain athletes.,Lebron James Basketball Point Forward,confirm," Are we talking about LeBron James, the basketball player known for his point forward role?",1,3,0.01439850865,69.45163727,2.286956778,0.81931436,confirm,match_scores,(X (X) (X) (X)),1,15
79,Alexis Mac Allister sport association football. Alexis Mac Allister place of birth Santa Rosa. Alexis Mac Allister domain athletes.,Alexis Mac Allister Association Football Santa Rosa,confirm," Are you bringing up Alexis Mac Allister, the association football player from Santa Rosa?",1,3,0.002253276596,443.7981567,11.44707843,0.91399926,confirm,match_scores,(X (X) (X) (X)),1,14
80,"David Campese sport rugby union. David Campese sports teams New South Wales Waratahs, Petrarca Rugby. David Campese domain athletes.","David Campese Rugby Union New South Wales Waratahs, Petrarca Rugby",confirm," Are you talking about David Campese, the rugby union player who has played for the New South Wales Waratahs and Petrarca Rugby?",1,3,0.01307873544,76.45999146,13.70614633,0.9310082,confirm,match_scores,(X (X) (X) (X)),1,22
81,Novak Djokovic sport tennis. Novak Djokovic team positions N/A. Novak Djokovic domain athletes.,Novak Djokovic Tennis N/A,confirm," Are you talking about Novak Djokovic, the tennis athlete?",1,3,0.01982554033,50.43998718,7.495553473,0.83342326,confirm,match_scores_PPL,(X (X) (X) (X)),1,9
82,Jake Paul sport boxing. Jake Paul num awards 3. Jake Paul domain athletes.,Jake Paul Boxing 3,confirm," Are you talking about Jake Paul, the boxing athlete who has won three awards?",1,3,0.007446884305,134.2843475,4.891187874,0.7335797,confirm,match_scores,(X (X) (X) (X)),1,14
83,Andy Murray sport tennis. Andy Murray awards Knight Bachelor. Andy Murray domain athletes.,Andy Murray Tennis Knight Bachelor,confirm," Are you talking about Andy Murray, the tennis player who was awarded a Knight Bachelor?",1,3,0.007928493544,126.1273651,6.468490584,0.86048096,confirm,match_scores,(X (X) (X) (X)),1,15
84,"Jude Bellingham sport association football. Jude Bellingham date of birth June 29, 2003. Jude Bellingham domain athletes.","Jude Bellingham Association Football June 29, 2003",confirm," Are you talking about Jude Bellingham, the association football athlete born on June 29, 2003?",1,3,0.004473171686,223.5550232,15.989215,0.88183916,confirm,match_scores_PPL,(X (X) (X) (X)),1,15
85,John Kirwan sport rugby union. John Kirwan awards Member of the Order of the British Empire. John Kirwan domain athletes.,John Kirwan Rugby Union Member Of The Order Of The British Empire,confirm," Are you talking about John Kirwan, the rugby union player who was awarded Member of the Order of the British Empire?",1,3,0.02547077561,39.26068115,5.154337627,0.908974,confirm,match_scores,(X (X) (X) (X)),1,21
86,Peter Lorimer sport association football. Peter Lorimer place of birth Dundee. Peter Lorimer domain athletes.,Peter Lorimer Association Football Dundee,confirm," Are you talking about Peter Lorimer, the association football athlete from Dundee?",1,3,0.004478708435,223.278656,6.285596338,0.8837264,confirm,match_scores_PPL,(X (X) (X) (X)),1,12
