mr,mr_new,pseudo_mr,da,num_triples,num_values,n_hops
"inform(name[Transfiguration], creator[Raphael], genres[religious art], inception[1518], location[Pinacoteca Vaticana])",Transfiguration  creator Raphael. Transfiguration  genres religious art. Transfiguration  inception 1518. Transfiguration  location Pinacoteca Vaticana. ,Transfiguration Raphael Religious Art 1518 Pinacoteca Vaticana,inform,4,5,1
"inform(name[Crucifixion of St. Peter], creator[Caravaggio], genres[religious art], location[Cerasi Chapel], movements[Baroque])",Crucifixion of St. Peter  creator Caravaggio. Crucifixion of St. Peter  genres religious art. Crucifixion of St. Peter  location Cerasi Chapel. Crucifixion of St. Peter  movements Baroque. ,Crucifixion Of St. Peter Caravaggio Religious Art Cerasi Chapel Baroque,inform,8,5,1
"inform(name[David and Goliath], creator[Caravaggio], movements[Baroque], inception[1600], genres[religious art], location[Museo del Prado])",David and Goliath  creator Caravaggio. David and Goliath  movements Baroque. David and Goliath  inception 1600. David and Goliath  genres religious art. David and Goliath  location Museo del Prado. ,David And Goliath Caravaggio Baroque 1600 Religious Art Museo Del Prado,inform,5,6,1
"inform(name[Madonna of the Magnificat], creator[Sandro Botticelli], inception[1483], location[Uffizi Gallery], materials[panel, tempera], genres[religious art], movements[Early Renaissance])","Madonna of the Magnificat  creator Sandro Botticelli. Madonna of the Magnificat  inception 1483. Madonna of the Magnificat  location Uffizi Gallery. Madonna of the Magnificat  materials panel, tempera. Madonna of the Magnificat  genres religious art. Madonna of the Magnificat  movements Early Renaissance. ","Madonna Of The Magnificat Sandro Botticelli 1483 Uffizi Gallery Panel, Tempera Religious Art Early Renaissance",inform,6,8,1
"inform(name[The Swing], creator[Jean-Honoré Fragonard], materials[canvas, oil paint])","The Swing  creator Jean-Honoré Fragonard. The Swing  materials canvas, oil paint. ","The Swing Jean-Honoré Fragonard Canvas, Oil Paint",inform,2,4,1
"inform(name[Nativity with St. Francis and St. Lawrence], creator[Caravaggio], materials[canvas, oil paint], inception[1600], location[Oratory of San Lorenzo], genres[religious art], movements[Baroque])","Nativity with St. Francis and St. Lawrence  creator Caravaggio. Nativity with St. Francis and St. Lawrence  materials canvas, oil paint. Nativity with St. Francis and St. Lawrence  inception 1600. Nativity with St. Francis and St. Lawrence  location Oratory of San Lorenzo. Nativity with St. Francis and St. Lawrence  genres religious art. Nativity with St. Francis and St. Lawrence  movements Baroque. ","Nativity With St. Francis And St. Lawrence Caravaggio Canvas, Oil Paint 1600 Oratory Of San Lorenzo Religious Art Baroque",inform,18,8,1
"inform(name[The Resurrection], creator[El Greco], inception[1597], materials[canvas, oil paint], location[Museo del Prado])","The Resurrection  creator El Greco. The Resurrection  inception 1597. The Resurrection  materials canvas, oil paint. The Resurrection  location Museo del Prado. ","The Resurrection El Greco 1597 Canvas, Oil Paint Museo Del Prado",inform,4,6,1
"inform(name[Vanitas], creator[Philippe de Champaigne], materials[panel, oil paint], inception[1646], location[Musée de Tessé])","Vanitas  creator Philippe de Champaigne. Vanitas  materials panel, oil paint. Vanitas  inception 1646. Vanitas  location Musée de Tessé. ","Vanitas Philippe De Champaigne Panel, Oil Paint 1646 Musée De Tessé",inform,4,6,1
"inform(name[Impression, Sunrise], creator[Claude Monet], location[Porto-Vecchio], genres[marine art])","Impression, Sunrise  creator Claude Monet. Impression, Sunrise  location Porto-Vecchio. Impression, Sunrise  genres marine art. ","Impression, Sunrise Claude Monet Porto-Vecchio Marine Art",inform,3,5,1
"inform(name[Portrait of Madeleine], creator[Marie-Guillemine Benoist], genres[portrait], materials[canvas, oil paint], location[Louvre], inception[1800])","Portrait of Madeleine  creator Marie-Guillemine Benoist. Portrait of Madeleine  genres portrait. Portrait of Madeleine  materials canvas, oil paint. Portrait of Madeleine  location Louvre. Portrait of Madeleine  inception 1800. ","Portrait Of Madeleine Marie-Guillemine Benoist Portrait Canvas, Oil Paint Louvre 1800",inform,5,7,1
"inform(name[Portrait of Lavinia Vecellio], creator[Titian], location[National Museum of Capodimonte], movements[Venetian school], inception[1540])",Portrait of Lavinia Vecellio  creator Titian. Portrait of Lavinia Vecellio  location National Museum of Capodimonte. Portrait of Lavinia Vecellio  movements Venetian school. Portrait of Lavinia Vecellio  inception 1540. ,Portrait Of Lavinia Vecellio Titian National Museum Of Capodimonte Venetian School 1540,inform,4,5,1
"inform(name[Spoliarium], creator[Juan Luna], location[Old Legislative Building], inception[1884])",Spoliarium  creator Juan Luna. Spoliarium  location Old Legislative Building. Spoliarium  inception 1884. ,Spoliarium Juan Luna Old Legislative Building 1884,inform,3,4,1
"inform(name[A Burial at Ornans], creator[Gustave Courbet], materials[canvas, oil paint], location[Musée d'Orsay], movements[literary realism], genres[genre art], inception[1841])","A Burial at Ornans  creator Gustave Courbet. A Burial at Ornans  materials canvas, oil paint. A Burial at Ornans  location Musée dOrsay. A Burial at Ornans  movements literary realism. A Burial at Ornans  genres genre art. A Burial at Ornans  inception 1841. ","A Burial At Ornans Gustave Courbet Canvas, Oil Paint Musée D'Orsay Literary Realism Genre Art 1841",inform,6,8,1
"inform(name[Christ in the House of Martha and Mary], creator[Johannes Vermeer], materials[canvas, oil paint], movements[Dutch Golden Age painting], inception[1650], genres[religious art])","Christ in the House of Martha and Mary  creator Johannes Vermeer. Christ in the House of Martha and Mary  materials canvas, oil paint. Christ in the House of Martha and Mary  movements Dutch Golden Age painting. Christ in the House of Martha and Mary  inception 1650. Christ in the House of Martha and Mary  genres religious art. ","Christ In The House Of Martha And Mary Johannes Vermeer Canvas, Oil Paint Dutch Golden Age Painting 1650 Religious Art",inform,5,7,1
"inform(name[Portrait of Lavinia Vecellio], creator[Titian], inception[1540], genres[portrait])",Portrait of Lavinia Vecellio  creator Titian. Portrait of Lavinia Vecellio  inception 1540. Portrait of Lavinia Vecellio  genres portrait. ,Portrait Of Lavinia Vecellio Titian 1540 Portrait,inform,3,4,1
"inform(name[Water Lilies], creator[Claude Monet], genres[landscape art], movements[Impressionism], materials[oil paint], location[Metropolitan Museum of Art])",Water Lilies  creator Claude Monet. Water Lilies  genres landscape art. Water Lilies  movements Impressionism. Water Lilies  materials oil paint. Water Lilies  location Metropolitan Museum of Art. ,Water Lilies Claude Monet Landscape Art Impressionism Oil Paint Metropolitan Museum Of Art,inform,5,6,1
"inform(name[The Battle of Trafalgar], creator[J. M. W. Turner], location[National Maritime Museum], materials[canvas, oil paint], inception[1823])","The Battle of Trafalgar  creator J. M. W. Turner. The Battle of Trafalgar  location National Maritime Museum. The Battle of Trafalgar  materials canvas, oil paint. The Battle of Trafalgar  inception 1823. ","The Battle Of Trafalgar J. M. W. Turner National Maritime Museum Canvas, Oil Paint 1823",inform,7,6,1
"inform(name[Portrait of Innocent X], creator[Diego Velázquez], materials[canvas, oil paint], genres[portrait], location[Doria Pamphilj Gallery])","Portrait of Innocent X  creator Diego Velázquez. Portrait of Innocent X  materials canvas, oil paint. Portrait of Innocent X  genres portrait. Portrait of Innocent X  location Doria Pamphilj Gallery. ","Portrait Of Innocent X Diego Velázquez Canvas, Oil Paint Portrait Doria Pamphilj Gallery",inform,4,6,1
"inform(name[Grande Odalisque], creator[Jean Auguste Dominique Ingres], materials[canvas, oil paint], genres[nude])","Grande Odalisque  creator Jean Auguste Dominique Ingres. Grande Odalisque  materials canvas, oil paint. Grande Odalisque  genres nude. ","Grande Odalisque Jean Auguste Dominique Ingres Canvas, Oil Paint Nude",inform,3,5,1
"inform(name[Ophelia], creator[John Everett Millais], inception[1851], genres[history painting], location[Tate Britain])",Ophelia  creator John Everett Millais. Ophelia  inception 1851. Ophelia  genres history painting. Ophelia  location Tate Britain. ,Ophelia John Everett Millais 1851 History Painting Tate Britain,inform,4,5,1
"inform(name[Guernica], creator[Pablo Picasso], inception[1937])",Guernica  creator Pablo Picasso. Guernica  inception 1937. ,Guernica Pablo Picasso 1937,inform,2,3,1
"inform(name[The Raft of the Medusa], creator[Théodore Géricault], location[Louvre], materials[canvas, oil paint])","The Raft of the Medusa  creator Théodore Géricault. The Raft of the Medusa  location Louvre. The Raft of the Medusa  materials canvas, oil paint. ","The Raft Of The Medusa Théodore Géricault Louvre Canvas, Oil Paint",inform,3,5,1
"inform(name[Madonna of the Magnificat], creator[Sandro Botticelli], materials[panel, tempera], inception[1483])","Madonna of the Magnificat  creator Sandro Botticelli. Madonna of the Magnificat  materials panel, tempera. Madonna of the Magnificat  inception 1483. ","Madonna Of The Magnificat Sandro Botticelli Panel, Tempera 1483",inform,3,5,1
"inform(name[The Bridge at Narni], creator[Jean-Baptiste Camille Corot], location[Louvre], inception[1826], genres[landscape art], materials[paper, canvas, oil paint])","The Bridge at Narni  creator Jean-Baptiste Camille Corot. The Bridge at Narni  location Louvre. The Bridge at Narni  inception 1826. The Bridge at Narni  genres landscape art. The Bridge at Narni  materials paper, canvas, oil paint. ","The Bridge At Narni Jean-Baptiste Camille Corot Louvre 1826 Landscape Art Paper, Canvas, Oil Paint",inform,5,8,1
"inform(name[Portrait of Innocent X], creator[Diego Velázquez], genres[portrait], materials[canvas, oil paint], movements[Baroque painting of Spain])","Portrait of Innocent X  creator Diego Velázquez. Portrait of Innocent X  genres portrait. Portrait of Innocent X  materials canvas, oil paint. Portrait of Innocent X  movements Baroque painting of Spain. ","Portrait Of Innocent X Diego Velázquez Portrait Canvas, Oil Paint Baroque Painting Of Spain",inform,4,6,1
"inform(name[The Birth of Venus], creator[Sandro Botticelli], genres[mythological painting, nude], materials[canvas, tempera], inception[1485], location[Uffizi Gallery])","The Birth of Venus  creator Sandro Botticelli. The Birth of Venus  genres mythological painting, nude. The Birth of Venus  materials canvas, tempera. The Birth of Venus  inception 1485. The Birth of Venus  location Uffizi Gallery. ","The Birth Of Venus Sandro Botticelli Mythological Painting, Nude Canvas, Tempera 1485 Uffizi Gallery",inform,5,8,1
"inform(name[The Wayfarer], creator[Hieronymus Bosch], genres[genre art], inception[1494], movements[Early Netherlandish painting])",The Wayfarer  creator Hieronymus Bosch. The Wayfarer  genres genre art. The Wayfarer  inception 1494. The Wayfarer  movements Early Netherlandish painting. ,The Wayfarer Hieronymus Bosch Genre Art 1494 Early Netherlandish Painting,inform,4,5,1
"inform(name[Transfiguration], creator[Raphael], genres[religious art], location[Pinacoteca Vaticana], movements[Italian Renaissance, High Renaissance])","Transfiguration  creator Raphael. Transfiguration  genres religious art. Transfiguration  location Pinacoteca Vaticana. Transfiguration  movements Italian Renaissance, High Renaissance. ","Transfiguration Raphael Religious Art Pinacoteca Vaticana Italian Renaissance, High Renaissance",inform,4,6,1
"inform(name[Rokeby Venus], creator[Diego Velázquez], genres[mythological painting, nude], location[National Gallery])","Rokeby Venus  creator Diego Velázquez. Rokeby Venus  genres mythological painting, nude. Rokeby Venus  location National Gallery. ","Rokeby Venus Diego Velázquez Mythological Painting, Nude National Gallery",inform,3,5,1
"inform(name[David and Goliath], creator[Caravaggio], movements[Baroque])",David and Goliath  creator Caravaggio. David and Goliath  movements Baroque. ,David And Goliath Caravaggio Baroque,inform,2,3,1
"inform(name[Guernica], creator[Pablo Picasso], materials[canvas, oil paint], movements[surrealism, Cubism], inception[1937], location[Museo Nacional Centro de Arte Reina Sofía], genres[history painting])","Guernica  creator Pablo Picasso. Guernica  materials canvas, oil paint. Guernica  movements surrealism, Cubism. Guernica  inception 1937. Guernica  location Museo Nacional Centro de Arte Reina Sofía. Guernica  genres history painting. ","Guernica Pablo Picasso Canvas, Oil Paint Surrealism, Cubism 1937 Museo Nacional Centro De Arte Reina Sofía History Painting",inform,6,9,1
"inform(name[Cupid and Psyche], creator[François Gérard], inception[1798], movements[neoclassicism], genres[mythological painting, nude], location[Louvre], materials[canvas, oil paint])","Cupid and Psyche  creator François Gérard. Cupid and Psyche  inception 1798. Cupid and Psyche  movements neoclassicism. Cupid and Psyche  genres mythological painting, nude. Cupid and Psyche  location Louvre. Cupid and Psyche  materials canvas, oil paint. ","Cupid And Psyche François Gérard 1798 Neoclassicism Mythological Painting, Nude Louvre Canvas, Oil Paint",inform,6,9,1
"inform(name[The Tiger Hunt], creator[Peter Paul Rubens], materials[canvas, oil paint], genres[genre art], inception[1617], location[Museum of Fine Arts of Rennes])","The Tiger Hunt  creator Peter Paul Rubens. The Tiger Hunt  materials canvas, oil paint. The Tiger Hunt  genres genre art. The Tiger Hunt  inception 1617. The Tiger Hunt  location Museum of Fine Arts of Rennes. ","The Tiger Hunt Peter Paul Rubens Canvas, Oil Paint Genre Art 1617 Museum Of Fine Arts Of Rennes",inform,5,7,1
"inform(name[Café Terrace at Night], creator[Vincent van Gogh], movements[post-impressionism], inception[1888], genres[cityscape], materials[canvas, oil paint])","Café Terrace at Night  creator Vincent van Gogh. Café Terrace at Night  movements post-impressionism. Café Terrace at Night  inception 1888. Café Terrace at Night  genres cityscape. Café Terrace at Night  materials canvas, oil paint. ","Café Terrace At Night Vincent Van Gogh Post-Impressionism 1888 Cityscape Canvas, Oil Paint",inform,5,7,1
"inform(name[Christ in the House of Martha and Mary], creator[Johannes Vermeer], location[Scottish National Gallery], genres[religious art], materials[canvas, oil paint], inception[1650])","Christ in the House of Martha and Mary  creator Johannes Vermeer. Christ in the House of Martha and Mary  location Scottish National Gallery. Christ in the House of Martha and Mary  genres religious art. Christ in the House of Martha and Mary  materials canvas, oil paint. Christ in the House of Martha and Mary  inception 1650. ","Christ In The House Of Martha And Mary Johannes Vermeer Scottish National Gallery Religious Art Canvas, Oil Paint 1650",inform,5,7,1
"inform(name[The Swing], creator[Jean-Honoré Fragonard], inception[1767], movements[Rococo], materials[canvas, oil paint])","The Swing  creator Jean-Honoré Fragonard. The Swing  inception 1767. The Swing  movements Rococo. The Swing  materials canvas, oil paint. ","The Swing Jean-Honoré Fragonard 1767 Rococo Canvas, Oil Paint",inform,4,6,1
"inform(name[Van Gogh's Chair], creator[Vincent van Gogh], location[National Gallery], materials[canvas, oil paint])","Van Gogh's Chair  creator Vincent van Gogh. Van Gogh's Chair  location National Gallery. Van Gogh's Chair  materials canvas, oil paint. ","Van Gogh'S Chair Vincent Van Gogh National Gallery Canvas, Oil Paint",inform,3,5,1
"inform(name[The Bridge at Narni], creator[Jean-Baptiste Camille Corot], materials[paper, canvas, oil paint], location[Louvre], inception[1826], genres[landscape art])","The Bridge at Narni  creator Jean-Baptiste Camille Corot. The Bridge at Narni  materials paper, canvas, oil paint. The Bridge at Narni  location Louvre. The Bridge at Narni  inception 1826. The Bridge at Narni  genres landscape art. ","The Bridge At Narni Jean-Baptiste Camille Corot Paper, Canvas, Oil Paint Louvre 1826 Landscape Art",inform,5,8,1
"inform(name[Crucifixion of St. Peter], creator[Caravaggio], materials[canvas, oil paint], inception[1600], movements[Baroque])","Crucifixion of St. Peter  creator Caravaggio. Crucifixion of St. Peter  materials canvas, oil paint. Crucifixion of St. Peter  inception 1600. Crucifixion of St. Peter  movements Baroque. ","Crucifixion Of St. Peter Caravaggio Canvas, Oil Paint 1600 Baroque",inform,8,6,1
"inform(name[Sacred and Profane Love], creator[Titian], movements[Venetian school, High Renaissance], inception[1514], genres[allegory])","Sacred and Profane Love  creator Titian. Sacred and Profane Love  movements Venetian school, High Renaissance. Sacred and Profane Love  inception 1514. Sacred and Profane Love  genres allegory. ","Sacred And Profane Love Titian Venetian School, High Renaissance 1514 Allegory",inform,4,6,1
"inform(name[Crucifixion of St. Peter], creator[Caravaggio], genres[religious art], movements[Baroque], inception[1600], location[Cerasi Chapel], materials[canvas, oil paint])","Crucifixion of St. Peter  creator Caravaggio. Crucifixion of St. Peter  genres religious art. Crucifixion of St. Peter  movements Baroque. Crucifixion of St. Peter  inception 1600. Crucifixion of St. Peter  location Cerasi Chapel. Crucifixion of St. Peter  materials canvas, oil paint. ","Crucifixion Of St. Peter Caravaggio Religious Art Baroque 1600 Cerasi Chapel Canvas, Oil Paint",inform,12,8,1
"inform(name[Ophelia], creator[John Everett Millais], materials[canvas, oil paint], location[Tate Britain], genres[history painting], movements[Pre-Raphaelite Brotherhood])","Ophelia  creator John Everett Millais. Ophelia  materials canvas, oil paint. Ophelia  location Tate Britain. Ophelia  genres history painting. Ophelia  movements Pre-Raphaelite Brotherhood. ","Ophelia John Everett Millais Canvas, Oil Paint Tate Britain History Painting Pre-Raphaelite Brotherhood",inform,5,7,1
"inform(name[Judith Beheading Holofernes], creator[Caravaggio], inception[1599], genres[religious art], location[Palazzo Barberini])",Judith Beheading Holofernes  creator Caravaggio. Judith Beheading Holofernes  inception 1599. Judith Beheading Holofernes  genres religious art. Judith Beheading Holofernes  location Palazzo Barberini. ,Judith Beheading Holofernes Caravaggio 1599 Religious Art Palazzo Barberini,inform,4,5,1
"inform(name[The Coronation of Napoleon], creator[Jacques-Louis David], genres[history painting], inception[1808], movements[Romanticism], location[Louvre])",The Coronation of Napoleon  creator Jacques-Louis David. The Coronation of Napoleon  genres history painting. The Coronation of Napoleon  inception 1808. The Coronation of Napoleon  movements Romanticism. The Coronation of Napoleon  location Louvre. ,The Coronation Of Napoleon Jacques-Louis David History Painting 1808 Romanticism Louvre,inform,5,6,1
"inform(name[Water Lilies], creator[Claude Monet], location[Metropolitan Museum of Art], genres[landscape art])",Water Lilies  creator Claude Monet. Water Lilies  location Metropolitan Museum of Art. Water Lilies  genres landscape art. ,Water Lilies Claude Monet Metropolitan Museum Of Art Landscape Art,inform,3,4,1
"inform(name[The Night Watch], creator[Rembrandt], movements[Dutch Golden Age painting], location[Rijksmuseum], inception[1642], genres[schutterstuk])",The Night Watch  creator Rembrandt. The Night Watch  movements Dutch Golden Age painting. The Night Watch  location Rijksmuseum. The Night Watch  inception 1642. The Night Watch  genres schutterstuk. ,The Night Watch Rembrandt Dutch Golden Age Painting Rijksmuseum 1642 Schutterstuk,inform,5,6,1
"inform(name[The Raft of the Medusa], creator[Théodore Géricault], location[Louvre], genres[history painting], materials[canvas, oil paint], inception[1819])","The Raft of the Medusa  creator Théodore Géricault. The Raft of the Medusa  location Louvre. The Raft of the Medusa  genres history painting. The Raft of the Medusa  materials canvas, oil paint. The Raft of the Medusa  inception 1819. ","The Raft Of The Medusa Théodore Géricault Louvre History Painting Canvas, Oil Paint 1819",inform,5,7,1
"inform(name[Supper at Emmaus], creator[Caravaggio], movements[Baroque], genres[religious art])",Supper at Emmaus  creator Caravaggio. Supper at Emmaus  movements Baroque. Supper at Emmaus  genres religious art. ,Supper At Emmaus Caravaggio Baroque Religious Art,inform,3,4,1
"inform(name[The Wayfarer], creator[Hieronymus Bosch], movements[Early Netherlandish painting])",The Wayfarer  creator Hieronymus Bosch. The Wayfarer  movements Early Netherlandish painting. ,The Wayfarer Hieronymus Bosch Early Netherlandish Painting,inform,2,3,1
"inform(name[Crucifixion of St. Peter], creator[Caravaggio], location[Cerasi Chapel], genres[religious art], inception[1600])",Crucifixion of St. Peter  creator Caravaggio. Crucifixion of St. Peter  location Cerasi Chapel. Crucifixion of St. Peter  genres religious art. Crucifixion of St. Peter  inception 1600. ,Crucifixion Of St. Peter Caravaggio Cerasi Chapel Religious Art 1600,inform,8,5,1
"inform(name[The Cradle], creator[Berthe Morisot], inception[1872], materials[canvas, oil paint])","The Cradle  creator Berthe Morisot. The Cradle  inception 1872. The Cradle  materials canvas, oil paint. ","The Cradle Berthe Morisot 1872 Canvas, Oil Paint",inform,3,5,1
"inform(name[Saturn Devouring His Son], creator[Francisco Goya], movements[Romanticism], inception[1820])",Saturn Devouring His Son  creator Francisco Goya. Saturn Devouring His Son  movements Romanticism. Saturn Devouring His Son  inception 1820. ,Saturn Devouring His Son Francisco Goya Romanticism 1820,inform,3,4,1
"inform(name[Salvator Mundi], creator[Leonardo da Vinci], genres[religious art], materials[walnut panel, oil paint], inception[1490], movements[Italian Renaissance], location[Doughty House])","Salvator Mundi  creator Leonardo da Vinci. Salvator Mundi  genres religious art. Salvator Mundi  materials walnut panel, oil paint. Salvator Mundi  inception 1490. Salvator Mundi  movements Italian Renaissance. Salvator Mundi  location Doughty House. ","Salvator Mundi Leonardo Da Vinci Religious Art Walnut Panel, Oil Paint 1490 Italian Renaissance Doughty House",inform,6,8,1
"inform(name[The Coronation of Napoleon], creator[Jacques-Louis David], location[Louvre], materials[canvas, oil paint])","The Coronation of Napoleon  creator Jacques-Louis David. The Coronation of Napoleon  location Louvre. The Coronation of Napoleon  materials canvas, oil paint. ","The Coronation Of Napoleon Jacques-Louis David Louvre Canvas, Oil Paint",inform,3,5,1
"inform(name[A Burial at Ornans], creator[Gustave Courbet], movements[literary realism], materials[canvas, oil paint], inception[1841], location[Musée d'Orsay])","A Burial at Ornans  creator Gustave Courbet. A Burial at Ornans  movements literary realism. A Burial at Ornans  materials canvas, oil paint. A Burial at Ornans  inception 1841. A Burial at Ornans  location Musée dOrsay. ","A Burial At Ornans Gustave Courbet Literary Realism Canvas, Oil Paint 1841 Musée D'Orsay",inform,5,7,1
"inform(name[Andromeda Chained to the Rocks], creator[Rembrandt], movements[Dutch Golden Age painting], location[Mauritshuis], genres[mythological painting, nude], inception[1630], materials[panel, oil paint])","Andromeda Chained to the Rocks  creator Rembrandt. Andromeda Chained to the Rocks  movements Dutch Golden Age painting. Andromeda Chained to the Rocks  location Mauritshuis. Andromeda Chained to the Rocks  genres mythological painting, nude. Andromeda Chained to the Rocks  inception 1630. Andromeda Chained to the Rocks  materials panel, oil paint. ","Andromeda Chained To The Rocks Rembrandt Dutch Golden Age Painting Mauritshuis Mythological Painting, Nude 1630 Panel, Oil Paint",inform,6,9,1
"inform(name[The Swing], creator[Jean-Honoré Fragonard], movements[Rococo], materials[canvas, oil paint], inception[1767])","The Swing  creator Jean-Honoré Fragonard. The Swing  movements Rococo. The Swing  materials canvas, oil paint. The Swing  inception 1767. ","The Swing Jean-Honoré Fragonard Rococo Canvas, Oil Paint 1767",inform,4,6,1
"inform(name[Sacred and Profane Love], creator[Titian], inception[1514], movements[Venetian school, High Renaissance])","Sacred and Profane Love  creator Titian. Sacred and Profane Love  inception 1514. Sacred and Profane Love  movements Venetian school, High Renaissance. ","Sacred And Profane Love Titian 1514 Venetian School, High Renaissance",inform,3,5,1
"inform(name[Virgin of the Consellers], creator[Lluís Dalmau], inception[1445], genres[religious art], location[Museu Nacional d'Art de Catalunya], movements[Gothic painting])",Virgin of the Consellers  creator Lluís Dalmau. Virgin of the Consellers  inception 1445. Virgin of the Consellers  genres religious art. Virgin of the Consellers  location Museu Nacional dArt de Catalunya. Virgin of the Consellers  movements Gothic painting. ,Virgin Of The Consellers Lluís Dalmau 1445 Religious Art Museu Nacional D'Art De Catalunya Gothic Painting,inform,5,6,1
"inform(name[Andromeda Chained to the Rocks], creator[Rembrandt], materials[panel, oil paint], movements[Dutch Golden Age painting], location[Mauritshuis])","Andromeda Chained to the Rocks  creator Rembrandt. Andromeda Chained to the Rocks  materials panel, oil paint. Andromeda Chained to the Rocks  movements Dutch Golden Age painting. Andromeda Chained to the Rocks  location Mauritshuis. ","Andromeda Chained To The Rocks Rembrandt Panel, Oil Paint Dutch Golden Age Painting Mauritshuis",inform,4,6,1
"inform(name[The Haywain Triptych], creator[Hieronymus Bosch], movements[Early Netherlandish painting], location[Museo del Prado])",The Haywain Triptych  creator Hieronymus Bosch. The Haywain Triptych  movements Early Netherlandish painting. The Haywain Triptych  location Museo del Prado. ,The Haywain Triptych Hieronymus Bosch Early Netherlandish Painting Museo Del Prado,inform,3,4,1
"inform(name[The Haywain Triptych], creator[Hieronymus Bosch], movements[Early Netherlandish painting], genres[religious art], materials[panel, oil paint])","The Haywain Triptych  creator Hieronymus Bosch. The Haywain Triptych  movements Early Netherlandish painting. The Haywain Triptych  genres religious art. The Haywain Triptych  materials panel, oil paint. ","The Haywain Triptych Hieronymus Bosch Early Netherlandish Painting Religious Art Panel, Oil Paint",inform,4,6,1
"inform(name[Vanitas], creator[Philippe de Champaigne], materials[panel, oil paint], inception[1646])","Vanitas  creator Philippe de Champaigne. Vanitas  materials panel, oil paint. Vanitas  inception 1646. ","Vanitas Philippe De Champaigne Panel, Oil Paint 1646",inform,3,5,1
