mr,mr_new,pseudo_mr,text,da,entity,num_triples,num_hops
American Water Spaniel protectiveness alert. American Water Spaniel grooming average amount of grooming. American Water Spaniel playfulness playful. American Water Spaniel max height male 18.0. American Water Spaniel domain animals.,American Water Spaniel protectiveness alert. American Water Spaniel grooming average amount of grooming. American Water Spaniel playfulness playful. American Water Spaniel max height male 18.0. American Water Spaniel domain animals.,American Water Spaniel Alert Average Amount Of Grooming Playful 18.0,The American Water Spaniel is an alert and playful breed with an average amount of grooming. Male American Water Spaniels typically reach a maximum height of 18.0 inches.,inform,dogs,5,1
Golden Retriever max life expectancy 12. Golden Retriever barking silient. Golden Retriever trainability very easy to train. Golden Retriever shedding more than average shedding. Golden Retriever ratings excellent. Golden Retriever domain animals.,Golden Retriever max life expectancy 12. Golden Retriever barking silient. Golden Retriever trainability very easy to train. Golden Retriever shedding more than average shedding. Golden Retriever ratings excellent. Golden Retriever domain animals.,Golden Retriever 12 Silient Very Easy To Train More Than Average Shedding Excellent," The Golden Retriever has a maximum life expectancy of 12 years and is rated excellent. It is easy to train and sheds more than the average dog, but it is known for being relatively silent in terms of barking.",inform,dogs,6,1
Siberian Husky good with children most kid-friendly. Siberian Husky domain animals.,Siberian Husky good with children most kid-friendly. Siberian Husky domain animals.,Siberian Husky Most Kid-Friendly,The Siberian Husky is considered one of the most kid-friendly dog breeds.,inform,dogs,2,1
Icelandic Sheepdog max weight female 25.0. Icelandic Sheepdog grooming lots of grooming. Icelandic Sheepdog shedding average shedding. Icelandic Sheepdog barking often barks. Icelandic Sheepdog domain animals.,Icelandic Sheepdog max weight female 25.0. Icelandic Sheepdog grooming lots of grooming. Icelandic Sheepdog shedding average shedding. Icelandic Sheepdog barking often barks. Icelandic Sheepdog domain animals.,Icelandic Sheepdog 25.0 Lots Of Grooming Average Shedding Often Barks," The Icelandic Sheepdog is a small dog with a female maximum weight of 25.0, and it requires lots of grooming. It sheds an average amount and often barks.",inform,dogs,5,1
Norwegian Elkhound max life expectancy 15. Norwegian Elkhound drooling sometimes drool. Norwegian Elkhound domain animals.,Norwegian Elkhound max life expectancy 15. Norwegian Elkhound drooling sometimes drool. Norwegian Elkhound domain animals.,Norwegian Elkhound 15 Sometimes Drool,The Norwegian Elkhound has a maximum life expectancy of 15 years and can sometimes drool.,inform,dogs,3,1
Berger Picard trainability easy trainable. Berger Picard domain animals.,Berger Picard trainability easy trainable. Berger Picard domain animals.,Berger Picard Easy Trainable,The Berger Picard is a breed of dog that is easy to train.,inform,dogs,2,1
Petit Basset Griffon Vendéen trainability trainable. Petit Basset Griffon Vendéen good with children most kid-friendly. Petit Basset Griffon Vendéen max weight female 40.0. Petit Basset Griffon Vendéen drooling sometimes drool. Petit Basset Griffon Vendéen max weight male 40.0. Petit Basset Griffon Vendéen domain animals.,Petit Basset Griffon Vendéen trainability trainable. Petit Basset Griffon Vendéen good with children most kid-friendly. Petit Basset Griffon Vendéen max weight female 40.0. Petit Basset Griffon Vendéen drooling sometimes drool. Petit Basset Griffon Vendéen max weight male 40.0. Petit Basset Griffon Vendéen domain animals.,Petit Basset Griffon Vendéen Trainable Most Kid-Friendly 40.0 Sometimes Drool 40.0,The Petit Basset Griffon Vendéen is a trainable dog that is most kid-friendly and sometimes drool. It has a maximum weight of 40 pounds for both males and females.,inform,dogs,6,1
Portuguese Podengo Pequeno good with children most kid-friendly. Portuguese Podengo Pequeno max weight female 13.0. Portuguese Podengo Pequeno protectiveness alert. Portuguese Podengo Pequeno barking sometimes barks. Portuguese Podengo Pequeno good with strangers friendly to strangers. Portuguese Podengo Pequeno domain animals.,Portuguese Podengo Pequeno good with children most kid-friendly. Portuguese Podengo Pequeno max weight female 13.0. Portuguese Podengo Pequeno protectiveness alert. Portuguese Podengo Pequeno barking sometimes barks. Portuguese Podengo Pequeno good with strangers friendly to strangers. Portuguese Podengo Pequeno domain animals.,Portuguese Podengo Pequeno Most Kid-Friendly 13.0 Alert Sometimes Barks Friendly To Strangers," The Portuguese Podengo Pequeno is a kid-friendly, alert, and sometimes barking dog that is friendly to strangers and weighs up to 13.0kg for females.",inform,dogs,6,1
Xoloitzcuintli good with children kid-friendly. Xoloitzcuintli ratings good. Xoloitzcuintli max height female 25.0. Xoloitzcuintli barking sometimes barks. Xoloitzcuintli domain animals.,Xoloitzcuintli good with children kid-friendly. Xoloitzcuintli ratings good. Xoloitzcuintli max height female 25.0. Xoloitzcuintli barking sometimes barks. Xoloitzcuintli domain animals.,Xoloitzcuintli Kid-Friendly Good 25.0 Sometimes Barks," The Xoloitzcuintli is a kid-friendly breed, rated as being good with children, and it sometimes barks. Female Xoloitzcuintlis typically grow up to 25 inches in height.",inform,dogs,5,1
American Eskimo Dog max height male 26.0. American Eskimo Dog good with other dogs friendly to other dogs. American Eskimo Dog barking sometimes barks. American Eskimo Dog domain animals.,American Eskimo Dog max height male 26.0. American Eskimo Dog good with other dogs friendly to other dogs. American Eskimo Dog barking sometimes barks. American Eskimo Dog domain animals.,American Eskimo Dog 26.0 Friendly To Other Dogs Sometimes Barks,The American Eskimo Dog  is a breed of canine that can reach a maximum height of 26.0 inches. It is known for being friendly to other dogs and sometimes barking.,inform,dogs,4,1
Chihuahua max weight male 6.0. Chihuahua max life expectancy 16. Chihuahua domain animals.,Chihuahua max weight male 6.0. Chihuahua max life expectancy 16. Chihuahua domain animals.,Chihuahua 6.0 16," The Chihuahua can reach a maximum weight of 6.0 kilograms for males, and the average lifespan is 16 years.",inform,dogs,3,1
Harrier max height female 21.0. Harrier max weight female 60.0. Harrier good with strangers very friendly to strangers. Harrier coat length short coat. Harrier drooling sometimes drool. Harrier domain animals.,Harrier max height female 21.0. Harrier max weight female 60.0. Harrier good with strangers very friendly to strangers. Harrier coat length short coat. Harrier drooling sometimes drool. Harrier domain animals.,Harrier 21.0 60.0 Very Friendly To Strangers Short Coat Sometimes Drool,The Harrier is a friendly dog that is very welcoming to strangers. It has a short coat and sometimes drools. The female's maximum height is 21.0 and its maximum weight is 60.0.,inform,dogs,6,1
Pembroke Welsh Corgi playfulness very playful. Pembroke Welsh Corgi max weight male 31.0. Pembroke Welsh Corgi protectiveness very alert. Pembroke Welsh Corgi domain animals.,Pembroke Welsh Corgi playfulness very playful. Pembroke Welsh Corgi max weight male 31.0. Pembroke Welsh Corgi protectiveness very alert. Pembroke Welsh Corgi domain animals.,Pembroke Welsh Corgi Very Playful 31.0 Very Alert," The Pembroke Welsh Corgi is a very playful and alert animal, with a max weight of 31.0 for males.",inform,dogs,4,1
Chinese Crested protectiveness alert. Chinese Crested drooling never drools. Chinese Crested max height female 13.0. Chinese Crested shedding no shedding. Chinese Crested coat length long coat. Chinese Crested grooming lots of grooming. Chinese Crested domain animals.,Chinese Crested protectiveness alert. Chinese Crested drooling never drools. Chinese Crested max height female 13.0. Chinese Crested shedding no shedding. Chinese Crested coat length long coat. Chinese Crested grooming lots of grooming. Chinese Crested domain animals.,Chinese Crested Alert Never Drools 13.0 No Shedding Long Coat Lots Of Grooming," The Chinese Crested is alert and protective, and never drools. It has a long coat, and its maximum height for females is 13 inches. It does not shed, but requires lots of grooming to keep its coat healthy.",inform,dogs,7,1
Neapolitan Mastiff playfulness semi playful. Neapolitan Mastiff grooming lots of grooming. Neapolitan Mastiff good with other dogs friendly to other dogs. Neapolitan Mastiff good with strangers friendly to strangers. Neapolitan Mastiff domain animals.,Neapolitan Mastiff playfulness semi playful. Neapolitan Mastiff grooming lots of grooming. Neapolitan Mastiff good with other dogs friendly to other dogs. Neapolitan Mastiff good with strangers friendly to strangers. Neapolitan Mastiff domain animals.,Neapolitan Mastiff Semi Playful Lots Of Grooming Friendly To Other Dogs Friendly To Strangers,The Neapolitan Mastiff is a semi playful dog that requires lots of grooming. It is very friendly to both other dogs and strangers.,inform,dogs,5,1
Flat-Coated Retriever protectiveness alert. Flat-Coated Retriever drooling sometimes drool. Flat-Coated Retriever barking sometimes barks. Flat-Coated Retriever max weight female 70.0. Flat-Coated Retriever domain animals.,Flat-Coated Retriever protectiveness alert. Flat-Coated Retriever drooling sometimes drool. Flat-Coated Retriever barking sometimes barks. Flat-Coated Retriever max weight female 70.0. Flat-Coated Retriever domain animals.,Flat-Coated Retriever Alert Sometimes Drool Sometimes Barks 70.0,The Flat-Coated Retriever is an alert protector and may sometimes drool or bark. The maximum weight for a female Flat-Coated Retriever is 70.0 pounds.,inform,dogs,5,1
Kuvasz domain animals.,Kuvasz domain animals.,Kuvasz,The Kuvasz is an animal.,inform,dogs,1,1
German Shepherd Dog max height male 26.0. German Shepherd Dog max weight male 90.0. German Shepherd Dog ratings excellent. German Shepherd Dog domain animals.,German Shepherd Dog max height male 26.0. German Shepherd Dog max weight male 90.0. German Shepherd Dog ratings excellent. German Shepherd Dog domain animals.,German Shepherd Dog 26.0 90.0 Excellent,The German Shepherd Dog is rated excellent and it has a maximum height of 26.0 inches for males and a maximum weight of 90.0 pounds for males.,inform,dogs,4,1
Portuguese Podengo Pequeno playfulness very playful. Portuguese Podengo Pequeno energy more energy. Portuguese Podengo Pequeno coat length short coat. Portuguese Podengo Pequeno max height male 12.0. Portuguese Podengo Pequeno barking sometimes barks. Portuguese Podengo Pequeno max weight male 13.0. Portuguese Podengo Pequeno domain animals.,Portuguese Podengo Pequeno playfulness very playful. Portuguese Podengo Pequeno energy more energy. Portuguese Podengo Pequeno coat length short coat. Portuguese Podengo Pequeno max height male 12.0. Portuguese Podengo Pequeno barking sometimes barks. Portuguese Podengo Pequeno max weight male 13.0. Portuguese Podengo Pequeno domain animals.,Portuguese Podengo Pequeno Very Playful More Energy Short Coat 12.0 Sometimes Barks 13.0,The Portuguese Podengo Pequeno is a very playful and energetic breed with a short coat and a maximum height of 12.0 for males and a maximum weight of 13.0 for males. It sometimes barks.,inform,dogs,7,1
Russian Tsvetnaya Bolonka playfulness most playful. Russian Tsvetnaya Bolonka max weight female 11.0. Russian Tsvetnaya Bolonka domain animals.,Russian Tsvetnaya Bolonka playfulness most playful. Russian Tsvetnaya Bolonka max weight female 11.0. Russian Tsvetnaya Bolonka domain animals.,Russian Tsvetnaya Bolonka Most Playful 11.0," The Russian Tsvetnaya Bolonka is a playful breed of dog, with the female reaching a maximum weight of 11.0.",inform,dogs,3,1
Havanese ratings excellent. Havanese max height male 11.5. Havanese energy energetic. Havanese max life expectancy 16. Havanese good with children most kid-friendly. Havanese domain animals.,Havanese ratings excellent. Havanese max height male 11.5. Havanese energy energetic. Havanese max life expectancy 16. Havanese good with children most kid-friendly. Havanese domain animals.,Havanese Excellent 11.5 Energetic 16 Most Kid-Friendly," The Havanese is an excellent-rated, energetic dog with a maximum height of 11.5 inches for males. It has a maximum life expectancy of 16 years and is one of the most kid-friendly breeds.",inform,dogs,6,1
Biewer Terrier playfulness very playful. Biewer Terrier barking sometimes barks. Biewer Terrier good with other dogs most friendly to other dogs. Biewer Terrier domain animals.,Biewer Terrier playfulness very playful. Biewer Terrier barking sometimes barks. Biewer Terrier good with other dogs most friendly to other dogs. Biewer Terrier domain animals.,Biewer Terrier Very Playful Sometimes Barks Most Friendly To Other Dogs,The Biewer Terrier is a very playful breed of dog that sometimes barks. It is usually very friendly to other dogs.,inform,dogs,4,1
Great Dane max height male 32.0. Great Dane shedding average shedding. Great Dane max weight male 175.0. Great Dane ratings okay. Great Dane trainability trainable. Great Dane protectiveness very alert. Great Dane coat length short coat. Great Dane domain animals.,Great Dane max height male 32.0. Great Dane shedding average shedding. Great Dane max weight male 175.0. Great Dane ratings okay. Great Dane trainability trainable. Great Dane protectiveness very alert. Great Dane coat length short coat. Great Dane domain animals.,Great Dane 32.0 Average Shedding 175.0 Okay Trainable Very Alert Short Coat," The Great Dane is a very alert, trainable dog with an average shedding, short-coat. Its maximum height and weight for males is 32.0 inches and 175.0 pounds respectively.",inform,dogs,8,1
Norwegian Elkhound good with other dogs friendly to other dogs. Norwegian Elkhound barking often barks. Norwegian Elkhound trainability easy trainable. Norwegian Elkhound domain animals.,Norwegian Elkhound good with other dogs friendly to other dogs. Norwegian Elkhound barking often barks. Norwegian Elkhound trainability easy trainable. Norwegian Elkhound domain animals.,Norwegian Elkhound Friendly To Other Dogs Often Barks Easy Trainable," The Norwegian Elkhound is friendly to other dogs and easy to train, and it often barks.",inform,dogs,4,1
Broholmer ratings alright. Broholmer trainability trainable. Broholmer good with children kid-friendly. Broholmer drooling average drool. Broholmer playfulness playful. Broholmer domain animals.,Broholmer ratings alright. Broholmer trainability trainable. Broholmer good with children kid-friendly. Broholmer drooling average drool. Broholmer playfulness playful. Broholmer domain animals.,Broholmer Alright Trainable Kid-Friendly Average Drool Playful," The Broholmer is an alright rated dog that is trainable, kid-friendly, and has an average drool. It is also playful.",inform,dogs,6,1
Plott Hound playfulness serious and stern. Plott Hound protectiveness minimal alerting. Plott Hound drooling never drools. Plott Hound coat length short coat. Plott Hound shedding no shedding. Plott Hound domain animals.,Plott Hound playfulness serious and stern. Plott Hound protectiveness minimal alerting. Plott Hound drooling never drools. Plott Hound coat length short coat. Plott Hound shedding no shedding. Plott Hound domain animals.,Plott Hound Serious And Stern Minimal Alerting Never Drools Short Coat No Shedding," The Plott Hound is known for its serious and stern demeanor, and its minimal alerting protectiveness. It has a short coat and no shedding, and does not drool.",inform,dogs,6,1
Chinook max height male 26.0. Chinook energy energetic. Chinook protectiveness mainly alert. Chinook shedding average shedding. Chinook domain animals.,Chinook max height male 26.0. Chinook energy energetic. Chinook protectiveness mainly alert. Chinook shedding average shedding. Chinook domain animals.,Chinook 26.0 Energetic Mainly Alert Average Shedding," The Chinook is an energetic, alert breed with an average amount of shedding and a max male height of 26.0.",inform,dogs,5,1
Dachshund good with children kid-friendly. Dachshund good with strangers very friendly to strangers. Dachshund energy energetic. Dachshund good with other dogs very friendly to other dogs. Dachshund protectiveness mainly alert. Dachshund max height female 9.0. Dachshund grooming lots of grooming. Dachshund domain animals.,Dachshund good with children kid-friendly. Dachshund good with strangers very friendly to strangers. Dachshund energy energetic. Dachshund good with other dogs very friendly to other dogs. Dachshund protectiveness mainly alert. Dachshund max height female 9.0. Dachshund grooming lots of grooming. Dachshund domain animals.,Dachshund Kid-Friendly Very Friendly To Strangers Energetic Very Friendly To Other Dogs Mainly Alert 9.0 Lots Of Grooming," The Dachshund is a kid friendly, friendly to strangers, and energetic dog that is also friendly to other dogs. It is mainly alert when it comes to protectiveness and it has a maximum height of 9.0 for females. It requires lots of grooming.",inform,dogs,8,1
Braque du Bourbonnais max weight male 53.0. Braque du Bourbonnais max height female 22.5. Braque du Bourbonnais protectiveness alert. Braque du Bourbonnais playfulness playful. Braque du Bourbonnais grooming most grooming. Braque du Bourbonnais domain animals.,Braque du Bourbonnais max weight male 53.0. Braque du Bourbonnais max height female 22.5. Braque du Bourbonnais protectiveness alert. Braque du Bourbonnais playfulness playful. Braque du Bourbonnais grooming most grooming. Braque du Bourbonnais domain animals.,Braque Du Bourbonnais 53.0 22.5 Alert Playful Most Grooming," The Braque du Bourbonnais has a maximum weight of 53.0 for males and 22.5 for females. It is an alert and playful breed, requiring a moderate amount of grooming.",inform,dogs,6,1
Japanese Chin max life expectancy 12. Japanese Chin domain animals.,Japanese Chin max life expectancy 12. Japanese Chin domain animals.,Japanese Chin 12,The Japanese Chin has a maximum life expectancy of 12 years.,inform,dogs,2,1
Pumi barking sometimes barks. Pumi playfulness very playful. Pumi good with children kid-friendly. Pumi domain animals.,Pumi barking sometimes barks. Pumi playfulness very playful. Pumi good with children kid-friendly. Pumi domain animals.,Pumi Sometimes Barks Very Playful Kid-Friendly,The Pumi is a very playful and kid-friendly dog that sometimes barks.,inform,dogs,4,1
Broholmer barking silient. Broholmer max height female 29.5. Broholmer max life expectancy 10. Broholmer max weight female 150.0. Broholmer drooling average drool. Broholmer protectiveness mainly alert. Broholmer domain animals.,Broholmer barking silient. Broholmer max height female 29.5. Broholmer max life expectancy 10. Broholmer max weight female 150.0. Broholmer drooling average drool. Broholmer protectiveness mainly alert. Broholmer domain animals.,Broholmer Silient 29.5 10 150.0 Average Drool Mainly Alert," The Broholmer is a silent barker, with the females typically standing at 29.5 inches and weighing 150 pounds. They have an average life expectancy of 10 years and their drooling is average. They are mainly alert and protective.",inform,dogs,7,1
Dutch Shepherd grooming lots of grooming. Dutch Shepherd max life expectancy 14. Dutch Shepherd domain animals.,Dutch Shepherd grooming lots of grooming. Dutch Shepherd max life expectancy 14. Dutch Shepherd domain animals.,Dutch Shepherd Lots Of Grooming 14,The Dutch Shepherd is a breed that requires lots of grooming and has a maximum life expectancy of 14 years.,inform,dogs,3,1
Bernese Mountain Dog coat length short coat. Bernese Mountain Dog domain animals.,Bernese Mountain Dog coat length short coat. Bernese Mountain Dog domain animals.,Bernese Mountain Dog Short Coat,The Bernese Mountain Dog has a short coat.,inform,dogs,2,1
Newfoundland grooming lots of grooming. Newfoundland good with strangers most friendly to strangers. Newfoundland energy energetic. Newfoundland coat length short coat. Newfoundland good with other dogs most friendly to other dogs. Newfoundland good with children most kid-friendly. Newfoundland drooling always drools. Newfoundland domain animals.,Newfoundland grooming lots of grooming. Newfoundland good with strangers most friendly to strangers. Newfoundland energy energetic. Newfoundland coat length short coat. Newfoundland good with other dogs most friendly to other dogs. Newfoundland good with children most kid-friendly. Newfoundland drooling always drools. Newfoundland domain animals.,Newfoundland Lots Of Grooming Most Friendly To Strangers Energetic Short Coat Most Friendly To Other Dogs Most Kid-Friendly Always Drools," The Newfoundland is an energetic dog that loves lots of grooming and is most friendly to strangers, other dogs, and children. It has a short coat and always drools.",inform,dogs,8,1
Finnish Spitz good with other dogs very friendly to other dogs. Finnish Spitz coat length short coat. Finnish Spitz domain animals.,Finnish Spitz good with other dogs very friendly to other dogs. Finnish Spitz coat length short coat. Finnish Spitz domain animals.,Finnish Spitz Very Friendly To Other Dogs Short Coat,The Finnish Spitz is a friendly breed of dog that gets along well with other dogs. It has a short coat.,inform,dogs,3,1
Estrela Mountain Dog good with children most kid-friendly. Estrela Mountain Dog playfulness playful. Estrela Mountain Dog coat length short coat. Estrela Mountain Dog domain animals.,Estrela Mountain Dog good with children most kid-friendly. Estrela Mountain Dog playfulness playful. Estrela Mountain Dog coat length short coat. Estrela Mountain Dog domain animals.,Estrela Mountain Dog Most Kid-Friendly Playful Short Coat," The Estrela Mountain Dog is known for being very kid-friendly, playful, and having a short coat.",inform,dogs,4,1
Great Pyrenees max weight male 120.0. Great Pyrenees playfulness playful. Great Pyrenees good with strangers friendly to strangers. Great Pyrenees max life expectancy 12. Great Pyrenees domain animals.,Great Pyrenees max weight male 120.0. Great Pyrenees playfulness playful. Great Pyrenees good with strangers friendly to strangers. Great Pyrenees max life expectancy 12. Great Pyrenees domain animals.,Great Pyrenees 120.0 Playful Friendly To Strangers 12," The Great Pyrenees is a playful and friendly dog that typically lives 12 years, and can weigh up to 120 pounds.",inform,dogs,5,1
Great Pyrenees grooming lots of grooming. Great Pyrenees max height female 32.0. Great Pyrenees max weight female 90.0. Great Pyrenees domain animals.,Great Pyrenees grooming lots of grooming. Great Pyrenees max height female 32.0. Great Pyrenees max weight female 90.0. Great Pyrenees domain animals.,Great Pyrenees Lots Of Grooming 32.0 90.0,The Great Pyrenees requires lots of grooming and can reach a maximum height of 32.0 inches for females and a maximum weight of 90.0lbs.,inform,dogs,4,1
Akita ratings alright. Akita domain animals.,Akita ratings alright. Akita domain animals.,Akita Alright,The Akita is rated alright.,inform,dogs,2,1
Barbet barking sometimes barks. Barbet ratings okay. Barbet max weight female 65.0. Barbet protectiveness alert. Barbet domain animals.,Barbet barking sometimes barks. Barbet ratings okay. Barbet max weight female 65.0. Barbet protectiveness alert. Barbet domain animals.,Barbet Sometimes Barks Okay 65.0 Alert," The Barbet is an okay rated dog, which is alert and sometimes barks. The maximum weight for a female is 65.0.",inform,dogs,5,1
Drever max height female 15.0. Drever good with children most kid-friendly. Drever coat length short coat. Drever max life expectancy 15. Drever max weight female 40.0. Drever domain animals.,Drever max height female 15.0. Drever good with children most kid-friendly. Drever coat length short coat. Drever max life expectancy 15. Drever max weight female 40.0. Drever domain animals.,Drever 15.0 Most Kid-Friendly Short Coat 15 40.0,The Drever is a small breed with a maximum height of 15.0 for females and 40.0 for males. It has a short coat and is known to be one of the most kid-friendly breeds. The average life expectancy is 15 years.,inform,dogs,6,1
Basenji ratings alright. Basenji shedding minimal shedding. Basenji domain animals.,Basenji ratings alright. Basenji shedding minimal shedding. Basenji domain animals.,Basenji Alright Minimal Shedding,The Basenji is rated as alright and has minimal shedding.,inform,dogs,3,1
Cavalier King Charles Spaniel shedding minimal shedding. Cavalier King Charles Spaniel barking sometimes barks. Cavalier King Charles Spaniel max weight male 18.0. Cavalier King Charles Spaniel max weight female 18.0. Cavalier King Charles Spaniel grooming lots of grooming. Cavalier King Charles Spaniel coat length short coat. Cavalier King Charles Spaniel max height male 13.0. Cavalier King Charles Spaniel domain animals.,Cavalier King Charles Spaniel shedding minimal shedding. Cavalier King Charles Spaniel barking sometimes barks. Cavalier King Charles Spaniel max weight male 18.0. Cavalier King Charles Spaniel max weight female 18.0. Cavalier King Charles Spaniel grooming lots of grooming. Cavalier King Charles Spaniel coat length short coat. Cavalier King Charles Spaniel max height male 13.0. Cavalier King Charles Spaniel domain animals.,Cavalier King Charles Spaniel Minimal Shedding Sometimes Barks 18.0 18.0 Lots Of Grooming Short Coat 13.0," The Cavalier King Charles Spaniel is a small dog breed that has a short coat and minimal shedding, and requires lots of grooming. It sometimes barks and has a max weight of 18.0 for both males and females, with a max height of 13.0 for males.",inform,dogs,8,1
Cardigan Welsh Corgi barking always barks. Cardigan Welsh Corgi max weight male 38.0. Cardigan Welsh Corgi domain animals.,Cardigan Welsh Corgi barking always barks. Cardigan Welsh Corgi max weight male 38.0. Cardigan Welsh Corgi domain animals.,Cardigan Welsh Corgi Always Barks 38.0,The Cardigan Welsh Corgi  is an animal that always barks and can weigh up to 38.0 pounds for males.,inform,dogs,3,1
