,Unnamed: 0,index,mr_new,pseudo_mr,da,text,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria
385,385,38,For a Friend genres pop music. For a Friend domain songs.,For A Friend Pop Music,confirm,Are you referring to the pop music song For a Friend?,1,2,(X (X) (X)),0.005090982197,196.4257507,4.027248192,0.78713137,confirm,match
391,391,39,Cold Heart record label Mercury Records. Cold Heart domain songs.,Cold Heart Mercury Records,confirm," Are you referring to Cold Heart, released by Mercury Records?",1,2,(X (X) (X)),0.004661947952,214.5026093,9.578464409,0.8553593,confirm,match
404,404,40,Macarena record label Inc.. Macarena domain songs.,Macarena Inc.,confirm," Are you referring to Macarena, released on Inc.?",1,2,(X (X) (X)),0.002312712984,432.3926086,8.295193507,0.7724028,confirm,match
414,414,41,Blinding Lights record label Republic Records. Blinding Lights domain songs.,Blinding Lights Republic Records,confirm," Are you referring to Blinding Lights, from Republic Records?",1,2,(X (X) (X)),0.00389001357,257.068512,10.60031338,0.86885285,confirm,match
421,421,42,"Blurred Lines performer Robin Thicke, T.I.. Blurred Lines domain songs.","Blurred Lines Robin Thicke, T.I.",confirm," Are you referring to Blurred Lines, performed by Robin Thicke and T.I.?",1,2,(X (X) (X)),0.02810759252,35.57757568,19.92340566,0.8545016,confirm,match
433,433,43,"Somebody That I Used to Know performer Gotye, Kimbra. Somebody That I Used to Know domain songs.","Somebody That I Used To Know Gotye, Kimbra",confirm," Are you referring to Somebody That I Used to Know, performed by Gotye and Kimbra?",1,2,(X (X) (X)),0.008938663916,111.8735428,17.02602472,0.85461354,confirm,match
447,447,44,We Are the World genres pop music. We Are the World domain songs.,We Are The World Pop Music,confirm,Are you referring to the pop music song We Are the World?,1,2,(X (X) (X)),0.01289617093,77.54239655,6.837203339,0.8159727,confirm,match
458,458,45,Stairway to Heaven record label Atlantic Records. Stairway to Heaven domain songs.,Stairway To Heaven Atlantic Records,confirm," Are you referring to Stairway to Heaven, from Atlantic Records?",1,2,(X (X) (X)),0.01330611714,75.15340424,8.054496385,0.8799421,confirm,match
461,461,46,Money for Nothing genres rock music. Money for Nothing domain songs.,Money For Nothing Rock Music,confirm,Are you referring to the rock music song Money for Nothing?,1,2,(X (X) (X)),0.006556412045,152.5224457,4.027248192,0.8300534,confirm,match
473,473,47,Old Town Road publication year 2018. Old Town Road domain songs.,Old Town Road 2018,confirm,Are you referring to Old Town Road from 2018?,1,2,(X (X) (X)),0.003324131646,300.8304443,16.78445963,0.87696105,confirm,match
481,481,48,"Dragostea Din Tei from album DiscO-Zone"". Dragostea Din Tei domain songs.","Dragostea Din Tei Disco-Zone""",confirm,Are you referring to Dragostea Din Tei from the DiscO-Zone album?,1,2,(X (X) (X)),0.001363691449,733.3037109,12.60596809,0.88118297,confirm,match
492,492,49,Stereotypes record label Food Records. Stereotypes domain songs.,Stereotypes Food Records,confirm,Are you referring to the Food Records song Stereotypes?,1,2,(X (X) (X)),0.003562525209,280.6997681,9.287529,0.8244912,confirm,match
506,506,50,I Still... genres pop rock. I Still... domain songs.,I Still... Pop Rock,confirm,Are you referring to the pop rock song I Still...?,1,2,(X (X) (X)),0.001423139233,702.671936,26.58483577,0.7278706,confirm,match
518,518,51,Paint It Black publication year 1966. Paint It Black domain songs.,Paint It Black 1966,confirm,Are you referring to Paint It Black from 1966?,1,2,(X (X) (X)),0.00283962497,352.1591797,16.78445963,0.8840246,confirm,match
523,523,52,Kings of the Wild Frontier genres post-punk. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Post-Punk,confirm,Are you referring to the post-punk song Kings of the Wild Frontier?,1,2,(X (X) (X)),0.006509703119,153.6168365,6.837203339,0.86448187,confirm,match
531,531,53,I publication year 2014. I domain songs.,I 2014,confirm,Are you referring to the song I from 2014?,1,2,(X (X) (X)),0.004926443129,202.9862061,4.990049702,0.699314,confirm,match
543,543,54,Anti-Hero publication year 2022. Anti-Hero domain songs.,Anti-Hero 2022,confirm," Are you referring to Anti-Hero, released in 2022?",1,2,(X (X) (X)),0.004064738099,246.0183105,4.990049702,0.850453,confirm,match
556,556,55,Evolution producer Atticus Ross. Evolution domain songs.,Evolution Atticus Ross,confirm,Are you referring to the song Evolution by Atticus Ross?,1,2,(X (X) (X)),0.007086588715,141.111618,8.295193507,0.85784733,confirm,match
568,568,56,We Are the World publication year 1985. We Are the World domain songs.,We Are The World 1985,confirm,Are you referring to We Are the World from 1985?,1,2,(X (X) (X)),0.006613744733,151.2002716,8.913765521,0.8640218,confirm,match
571,571,57,Sweet Home Alabama performer Lynyrd Skynyrd. Sweet Home Alabama domain songs.,Sweet Home Alabama Lynyrd Skynyrd,confirm,Are you referring to Sweet Home Alabama by Lynyrd Skynyrd?,1,2,(X (X) (X)),0.02767998606,36.12718582,17.54219848,0.9407045,confirm,match
586,586,58,Space Oddity genres folk rock. Space Oddity domain songs.,Space Oddity Folk Rock,confirm,Are you referring to the folk rock track Space Oddity?,1,2,(X (X) (X)),0.006168119661,162.1239624,7.495553473,0.7984842,confirm,match
596,596,59,Seven Nation Army publication year 2003. Seven Nation Army domain songs.,Seven Nation Army 2003,confirm,Are you referring to Seven Nation Army from 2003?,1,2,(X (X) (X)),0.004498262154,222.308075,16.78445963,0.89270204,confirm,match
602,602,60,Habibi publication year 2014. Habibi domain songs.,Habibi 2014,confirm,Are you referring to Habibi from 2014?,1,2,(X (X) (X)),0.00228156685,438.2952881,6.567274736,0.8823728,confirm,match
618,618,61,Over It producer Josh Alexander. Over It domain songs.,Over It Josh Alexander,confirm,Are you referring to the song Over It produced by Josh Alexander?,1,2,(X (X) (X)),0.002815235883,355.210022,8.737167852,0.77071136,confirm,match
622,622,62,Money for Nothing producer Mark Knopfler. Money for Nothing domain songs.,Money For Nothing Mark Knopfler,confirm," Are you referring to Money for Nothing, produced by Mark Knopfler?",1,2,(X (X) (X)),0.01246185179,80.24489594,7.347053126,0.88450533,confirm,match
638,638,63,Littlest Things producer Mark Ronson. Littlest Things domain songs.,Littlest Things Mark Ronson,confirm,Are you referring to Mark Ronson's song Littlest Things?,1,2,(X (X) (X)),0.01320302092,75.740242,9.287529,0.85853153,confirm,match
644,644,64,Over It performer Katharine McPhee. Over It domain songs.,Over It Katharine Mcphee,confirm,Is Over It performed by Katharine McPhee?,1,2,(X (X) (X)),0.00243950703,409.9188843,12.22307556,0.91617703,confirm,match
656,656,65,Blinding Lights genres synthwave. Blinding Lights domain songs.,Blinding Lights Synthwave,confirm,Are you referring to the synthwave song Blinding Lights?,1,2,(X (X) (X)),0.005952242554,168.0039063,8.392229813,0.8604476,confirm,match
665,665,66,King of Sorrow producer Sade Adu. King of Sorrow domain songs.,King Of Sorrow Sade Adu,confirm,Are you referring to Sade Adu's song King of Sorrow?,1,2,(X (X) (X)),0.005512177196,181.4165192,4.932351569,0.85245734,confirm,match
678,678,67,Apple Shampoo from album Dude Ranch. Apple Shampoo domain songs.,Apple Shampoo Dude Ranch,confirm,Are you referring to Apple Shampoo from the album Dude Ranch?,1,2,(X (X) (X)),0.002134303636,468.5368958,9.578464409,0.8100672,confirm,match
680,680,68,"Que Calor performer J Balvin, El Alfa. Que Calor domain songs.","Que Calor J Balvin, El Alfa",confirm," Are you referring to Que Calor, by J Balvin and El Alfa?",1,2,(X (X) (X)),0.002328579907,429.4462891,10.22400368,0.9284852,confirm,match
698,698,69,All or Nothing from album Girl You Know Its yes. All or Nothing domain songs.,All Or Nothing Girl You Know Its True,confirm,Is All or Nothing from the album Girl You Know It's True?,1,2,(X (X) (X)),0.004940897112,202.392395,13.67440668,0.71972907,confirm,match
706,706,70,Every Breath You Take publication year 1983. Every Breath You Take domain songs.,Every Breath You Take 1983,confirm,Are you referring to Every Breath You Take from 1983?,1,2,(X (X) (X)),0.006232548346,160.4480133,24.808415,0.868801,confirm,match
714,714,71,About Damn Time record label Atlantic Records. About Damn Time domain songs.,About Damn Time Atlantic Records,confirm," Are you referring to About Damn Time, released by Atlantic Records?",1,2,(X (X) (X)),0.0037759078,264.8369751,14.45892467,0.83340234,confirm,match
723,723,72,Poison from album Killer Love. Poison domain songs.,Poison Killer Love,confirm,Are you referring to Poison from the album Killer Love?,1,2,(X (X) (X)),0.002348486667,425.8061218,8.295193507,0.7009974,confirm,match
733,733,73,Dragostea Din Tei publication year 2003. Dragostea Din Tei domain songs.,Dragostea Din Tei 2003,confirm,Are you referring to Dragostea Din Tei from 2003?,1,2,(X (X) (X)),0.00109883241,910.0568848,16.78445963,0.9258445,confirm,match
741,741,74,Wild genres synth-pop. Wild domain songs.,Wild Synth-Pop,confirm,Are you referring to the synth-pop song Wild?,1,2,(X (X) (X)),0.004320522714,231.453476,4.76770702,0.7967929,confirm,match
757,757,75,All or Nothing performer Milli Vanilli. All or Nothing domain songs.,All Or Nothing Milli Vanilli,confirm,Are you referring to the Milli Vanilli song All or Nothing?,1,2,(X (X) (X)),0.009044228618,110.567749,8.054496385,0.8676901,confirm,match
762,762,76,"Habibi performer Shaggy, Mohombi. Habibi domain songs.","Habibi Shaggy, Mohombi",confirm," Are you referring to Habibi, performed by Shaggy and Mohombi?",1,2,(X (X) (X)),0.004544151617,220.0630798,4.789232204,0.9130744,confirm,match
773,773,77,Sweet Home Alabama genres rock music. Sweet Home Alabama domain songs.,Sweet Home Alabama Rock Music,confirm,Are you referring to the rock music song Sweet Home Alabama?,1,2,(X (X) (X)),0.007776967545,128.5848236,12.60596809,0.8824855,confirm,match
782,782,78,Mr. Brightside record label Island Records. Mr. Brightside domain songs.,Mr. Brightside Island Records,confirm," Are you referring to Mr. Brightside, from Island Records?",1,2,(X (X) (X)),0.006421860037,155.7181244,15.85116569,0.8520337,confirm,match
798,798,79,Dragostea Din Tei producer Dan Balan. Dragostea Din Tei domain songs.,Dragostea Din Tei Dan Balan,confirm,Are you referring to Dan Balan's Dragostea Din Tei?,1,2,(X (X) (X)),0.001393509871,717.6124268,16.78445963,0.94675887,confirm,match
809,809,80,Mr. Brightside genres indie rock. Mr. Brightside domain songs.,Mr. Brightside Indie Rock,confirm,Are you referring to the indie rock song Mr. Brightside?,1,2,(X (X) (X)),0.01209755835,82.66130829,12.60596809,0.8112743,confirm,match
811,811,81,Old Town Road performer Lil Nas X. Old Town Road domain songs.,Old Town Road Lil Nas X,confirm," Are you referring to Old Town Road, performed by Lil Nas X?",1,2,(X (X) (X)),0.001916790649,521.7053833,17.77835118,0.9012939,confirm,match
827,827,82,Stairway to Heaven publication year 1971. Stairway to Heaven domain songs.,Stairway To Heaven 1971,confirm,Are you referring to the 1971 song Stairway to Heaven?,1,2,(X (X) (X)),0.01841975863,54.28952789,4.932351569,0.8491577,confirm,match
837,837,83,"Right Here, Right Now producer Giorgio Moroder. Right Here, Right Now domain songs.","Right Here, Right Now Giorgio Moroder",confirm," Are you referring to Right Here, Right Now produced by Giorgio Moroder?",1,2,(X (X) (X)),0.01463998931,68.30606079,30.57690288,0.8910374,confirm,match
841,841,84,Apple Shampoo genres pop punk. Apple Shampoo domain songs.,Apple Shampoo Pop Punk,confirm,Are you referring to the pop punk song Apple Shampoo?,1,2,(X (X) (X)),0.003107983062,321.7520752,7.495553473,0.84778214,confirm,match
851,851,85,Waka Waka producer John Hill. Waka Waka domain songs.,Waka Waka John Hill,confirm,Are you referring to John Hill's song Waka Waka?,1,2,(X (X) (X)),0.007440665754,134.3965759,9.287529,0.9122871,confirm,match
865,865,86,Evolution genres nu metal. Evolution domain songs.,Evolution Nu Metal,confirm,Are you referring to the nu metal track Evolution?,1,2,(X (X) (X)),0.0023313375,428.938324,4.196114906,0.8327601,confirm,match
874,874,87,Stargazing from album Stargazing. Stargazing domain songs.,Stargazing Stargazing,confirm,Are you referring to Stargazing from the album Stargazing?,1,2,(X (X) (X)),0.006675544168,149.8005219,4.990049702,0.87800324,confirm,match
885,885,88,Seven Nation Army genres alternative rock. Seven Nation Army domain songs.,Seven Nation Army Alternative Rock,confirm,Are you referring to the alternative rock song Seven Nation Army?,1,2,(X (X) (X)),0.005901724969,169.4419861,12.60596809,0.8678119,confirm,match
899,899,89,Stairway to Heaven producer Jimmy Page. Stairway to Heaven domain songs.,Stairway To Heaven Jimmy Page,confirm,Are you referring to the song Stairway to Heaven produced by Jimmy Page?,1,2,(X (X) (X)),0.02072867282,48.24235535,6.754312829,0.8026021,confirm,match
903,903,90,Poison genres dance-pop. Poison domain songs.,Poison Dance-Pop,confirm,Are you referring to the dance-pop song Poison?,1,2,(X (X) (X)),0.004057660183,246.4474487,4.76770702,0.750024,confirm,match
912,912,91,Dragostea Din Tei record label Ultra Records. Dragostea Din Tei domain songs.,Dragostea Din Tei Ultra Records,confirm,Is Dragostea Din Tei from Ultra Records?,1,2,(X (X) (X)),0.0002078834943,4810.386719,25.8486577,0.9536155,confirm,match
928,928,92,Dog Eat Dog genres new wave. Dog Eat Dog domain songs.,Dog Eat Dog New Wave,confirm,Are you referring to the new wave song Dog Eat Dog?,1,2,(X (X) (X)),0.005141224824,194.5061798,12.60596809,0.8664679,confirm,match
937,937,93,"Wanna Get to Know You performer Joe, G-Unit. Wanna Get to Know You domain songs.","Wanna Get To Know You Joe, G-Unit",confirm,Are you referring to Wanna Get to Know You by Joe and G-Unit?,1,2,(X (X) (X)),0.008766840645,114.0661774,8.889175589,0.82934695,confirm,match
947,947,94,Sweet Home Alabama record label MCA Records. Sweet Home Alabama domain songs.,Sweet Home Alabama Mca Records,confirm,Are you referring to Sweet Home Alabama released by MCA Records?,1,2,(X (X) (X)),0.008525035854,117.3015594,13.54599427,0.8914469,confirm,match
955,955,95,As It Was record label Columbia Records. As It Was domain songs.,As It Was Columbia Records,confirm," Are you referring to As It Was, on Columbia Records?",1,2,(X (X) (X)),0.003878322829,257.8434143,15.85116569,0.83545977,confirm,match
967,967,96,Y.M.C.A. genres disco. Y.M.C.A. domain songs.,Y.M.C.A. Disco,confirm,Are you referring to the disco song Y.M.C.A.?,1,2,(X (X) (X)),0.01558706271,64.15576935,44.28500143,0.83849144,confirm,match
979,979,97,Pumped Up Kicks genres pop rock. Pumped Up Kicks domain songs.,Pumped Up Kicks Pop Rock,confirm,Are you referring to the pop rock song Pumped Up Kicks?,1,2,(X (X) (X)),0.008805015645,113.5716324,12.60596809,0.8142398,confirm,match
986,986,98,Matador from album Vasos vacíos. Matador domain songs.,Matador Vasos Vacíos,confirm,Are you referring to Matador from the album Vasos vacíos?,1,2,(X (X) (X)),0.002013506371,496.6460571,4.456882761,0.8477139,confirm,match
994,994,99,About Damn Time publication year 2022. About Damn Time domain songs.,About Damn Time 2022,confirm," Are you referring to About Damn Time, released in 2022?",1,2,(X (X) (X)),0.002303662477,434.0913696,13.54599427,0.8190356,confirm,match
1009,1009,100,Break My Soul performer Beyoncé. Break My Soul producer The-Dream. Break My Soul domain songs.,Break My Soul Beyoncé The-Dream,confirm,Are you referring to the Beyoncé song Break My Soul produced by The-Dream?,1,3,(X (X) (X) (X)),0.007208700775,138.7212524,12.01105543,0.83956176,confirm,match
1012,1012,101,Paint It Black record label Elektra. Paint It Black performer The Rolling Stones. Paint It Black domain songs.,Paint It Black Elektra The Rolling Stones,confirm,Are you referring to The Rolling Stones' Paint It Black released by Elektra?,1,3,(X (X) (X) (X)),0.0111085036,90.02112579,13.91231164,0.8834787,confirm,match
1021,1021,102,Mr. Brightside genres indie rock. Mr. Brightside from album Hot Fuss. Mr. Brightside domain songs.,Mr. Brightside Indie Rock Hot Fuss,confirm,Are you referring to the indie rock track Mr. Brightside from the album Hot Fuss?,1,3,(X (X) (X) (X)),0.01250269471,79.98275757,10.70454633,0.8019623,confirm,match
1039,1039,103,Break My Soul performer Beyoncé. Break My Soul genres disco. Break My Soul domain songs.,Break My Soul Beyoncé Disco,confirm,Are you referring to Beyoncé's disco song Break My Soul?,1,3,(X (X) (X) (X)),0.00493218546,202.7498779,13.95079697,0.88219005,confirm,match
1043,1043,104,Stargazing producer Kygo. Stargazing from album Stargazing. Stargazing domain songs.,Stargazing Kygo Stargazing,confirm,Are you referring to Kygo's song Stargazing from the album Stargazing?,1,3,(X (X) (X) (X)),0.006298138678,158.7770691,4.027248192,0.8747409,confirm,match
1058,1058,105,The Way I Are genres pop music. The Way I Are from album All Your Fault: Pt. 2. The Way I Are domain songs.,The Way I Are Pop Music All Your Fault: Pt. 2,confirm," Are you referring to The Way I Are, the pop music song from All Your Fault: Pt. 2?",1,3,(X (X) (X) (X)),0.01130334642,88.46937561,37.48171177,0.85695976,confirm,match
1065,1065,106,Sweet Home Alabama from album Second Helping. Sweet Home Alabama performer Lynyrd Skynyrd. Sweet Home Alabama domain songs.,Sweet Home Alabama Second Helping Lynyrd Skynyrd,confirm," Are you referring to Sweet Home Alabama, performed by Lynyrd Skynyrd on the album Second Helping?",1,3,(X (X) (X) (X)),0.01582167875,63.20441818,11.75029694,0.8969552,confirm,match
1070,1070,107,Marilyn Monroe genres funk. Marilyn Monroe publication year 2014. Marilyn Monroe domain songs.,Marilyn Monroe Funk 2014,confirm,Are you referring to the 2014 funk song Marilyn Monroe?,1,3,(X (X) (X) (X)),0.002929586833,341.3450623,8.295193507,0.8731287,confirm,match
1085,1085,108,Cold Heart producer Pnau. Cold Heart genres disco. Cold Heart domain songs.,Cold Heart Pnau Disco,confirm,Are you referring to Pnau's disco song Cold Heart?,1,3,(X (X) (X) (X)),0.002236904945,447.0462646,8.392229813,0.86772597,confirm,match
1097,1097,109,As It Was producer Kid Harpoon. As It Was publication year 2022. As It Was domain songs.,As It Was Kid Harpoon 2022,confirm," Are you referring to Kid Harpoon's As It Was, released in 2022?",1,3,(X (X) (X) (X)),0.003368435249,296.8737488,12.01105543,0.861656,confirm,match
1103,1103,110,Afterlife producer James Murphy. Afterlife performer Arcade Fire. Afterlife domain songs.,Afterlife James Murphy Arcade Fire,confirm,Are you referring to James Murphy and Arcade Fire's track Afterlife?,1,3,(X (X) (X) (X)),0.005847894772,171.001709,8.054496385,0.88122016,confirm,match
1113,1113,111,Viva la Vida record label Parlophone. Viva la Vida publication year 2008. Viva la Vida domain songs.,Viva La Vida Parlophone 2008,confirm," Are you referring to Viva la Vida, released by Parlophone in 2008?",1,3,(X (X) (X) (X)),0.01752727103,57.05394745,4.016138436,0.9038801,confirm,match
1124,1124,112,Kings of the Wild Frontier producer Chris Hughes. Kings of the Wild Frontier performer Adam and the Ants. Kings of the Wild Frontier domain songs.,Kings Of The Wild Frontier Chris Hughes Adam And The Ants,confirm,Are you referring to Adam and the Ants' Kings of the Wild Frontier produced by Chris Hughes?,1,3,(X (X) (X) (X)),0.004514069721,221.5295868,6.722636788,0.92495733,confirm,match
