,Unnamed: 0,index,mr_new,da,text,num_hops,num_triples,shape,pseudo_mr,pred,probs,LM_prob,PPL,pseudo_bleu,scores,criteria,
59927,59927,20,Obi-Wan Kenobi cast member Ewan McGregor. Ewan McGregor award received Donostia Award. Obi-Wan Kenobi domain tv.,suggest," Did you watch the tv show Obi-Wan Kenobi starring Ewan McGregor, who won the Donostia Award?",2,3,(X (X (X))),Obi-Wan Kenobi Ewan McGregor Donostia Award,suggest,0.985103,0.01062375321,94.12869263,7.439820586,0.8878868,match_scores,
59936,59936,21,Obi-Wan Kenobi cast member Ewan McGregor. Long Way Round cast member Ewan McGregor. Obi-Wan Kenobi domain tv.,suggest," Have you seen Ewan McGregor in any tv series, like Obi-Wan Kenobi or Long Way Round?",2,3,(X (X (X))),Obi-Wan Kenobi Ewan McGregor Long Way Round,suggest,0.9842366,0.01377338126,72.60381317,11.75029694,0.88041407,match_scores,
50649,50649,22,Obi-Wan Kenobi screenwriter Hossein Amini. McMafia screenwriter Hossein Amini. Obi-Wan Kenobi domain tv.,recommend," Have you watched Obi-Wan Kenobi, written by Hossein Amini? He also wrote the McMafia series.",2,3,(X (X (X))),Obi-Wan Kenobi Hossein Amini McMafia,recommend,0.930694,0.01001314975,99.86867523,6.423094863,0.8437708,match_scores,
50658,50658,23,Obi-Wan Kenobi screenwriter Hossein Amini. McMafia creator Hossein Amini. Obi-Wan Kenobi domain tv.,recommend," Have you seen Obi-Wan Kenobi, written by Hossein Amini who also created McMafia?",2,3,(X (X (X))),Obi-Wan Kenobi Hossein Amini McMafia,recommend,0.95745784,0.007262004147,137.7030334,7.859438682,0.88789296,match_scores,
59959,59959,24,Obi-Wan Kenobi screenwriter Hossein Amini. McMafia screenwriter Hossein Amini. Obi-Wan Kenobi domain tv.,suggest," Are you familiar with Hossein Amini's works, such as Obi-Wan Kenobi and McMafia?",2,3,(X (X (X))),Obi-Wan Kenobi Hossein Amini McMafia,suggest,0.9734255,0.01384905071,72.20711517,6.250381528,0.9178883,match_scores,
59972,59972,25,Obi-Wan Kenobi screenwriter Hossein Amini. McMafia creator Hossein Amini. Obi-Wan Kenobi domain tv.,suggest," Are you familiar with Hossein Amini's work, like Obi-Wan Kenobi or McMafia?",2,3,(X (X (X))),Obi-Wan Kenobi Hossein Amini McMafia,suggest,0.9830085,0.01311270471,76.26191711,6.754312829,0.91822076,match_scores,
50695,50695,26,Yellowstone genre television western. Breaking Bad genre television western. Yellowstone domain tv.,recommend,Have you seen the television western Yellowstone? It's similar to Breaking Bad.,2,3,(X (X (X))),Yellowstone television western Breaking Bad,recommend,0.9887792,0.007144827316,139.9613953,8.493098745,0.86246014,match_scores,
59989,59989,27,Yellowstone cast member Kevin Costner. Kevin Costner award received Academy Award for Best Picture. Yellowstone domain tv.,suggest," Did you watch Yellowstone, featuring Kevin Costner who won an Academy Award for Best Picture?",2,3,(X (X (X))),Yellowstone Kevin Costner Academy Award for Best Picture,suggest,0.98039746,0.01303507173,76.71611023,25.45984532,0.91169405,match_scores,
282,282,28,Breaking Bad rating excellent. Breaking Bad award received Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series. Breaking Bad domain tv.,give_opinion,Breaking Bad is an excellent show that is deserving of its Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series.,2,3,(X (X (X))),Breaking Bad excellent Breaking Bad Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series,give_opinion,0.9248751,0.04527884479,22.08536911,50.20344159,0.9181533,match_scores,
13813,13813,29,Twin Peaks screenwriter Tricia Brock. Tricia Brock genre contemporary Christian music. Twin Peaks domain tv.,inform," Twin Peaks was written by Tricia Brock, who is known for her contemporary Christian music.",2,3,(X (X (X))),Twin Peaks Tricia Brock contemporary Christian music,inform,0.54531634,0.01251456286,79.90690613,12.51223692,0.9079401,match_scores,
50734,50734,30,Yellowstone screenwriter Taylor Sheridan. Those Who Wish Me Dead producer Taylor Sheridan. Yellowstone domain tv.,recommend," Have you seen Yellowstone, written by Taylor Sheridan who also produced Those Who Wish Me Dead?",2,3,(X (X (X))),Yellowstone Taylor Sheridan Those Who Wish Me Dead,recommend,0.9706625,0.004062068274,246.1800079,23.90945316,0.86880785,match_scores,
60035,60035,31,Yellowstone genre drama television series. Will It Snow For Christmas? genre drama television series. Yellowstone domain tv.,suggest,Did you follow the drama television series Yellowstone or Will It Snow For Christmas?,2,3,(X (X (X))),Yellowstone drama television series Will It Snow For Christmas?,suggest,0.9660727,0.003131842363,319.3008728,42.31178542,0.9281869,match_scores,
13844,13844,32,Twin Peaks producer David Lynch. David Lynch genre magic realism. Twin Peaks domain tv.,inform,Twin Peaks is a magic realism TV series produced by David Lynch.,2,3,(X (X (X))),Twin Peaks David Lynch magic realism,inform,0.99501073,0.0199183795,50.20488739,10.70080152,0.88353986,match_scores,
13856,13856,33,Stargirl genre action television series. Supernatural genre action television series. Stargirl domain tv.,inform,Stargirl is an action television series. Supernatural is an action television series.,2,3,(X (X (X))),Stargirl action television series Supernatural,inform,0.99420726,0.03121097423,32.04001236,12.01105543,0.88827455,match_scores,
60059,60059,34,Yellowstone screenwriter Taylor Sheridan. 1923 creator Taylor Sheridan. Yellowstone domain tv.,suggest," Have you seen any of Taylor Sheridan's works, like Yellowstone and 1923?",2,3,(X (X (X))),Yellowstone Taylor Sheridan 1923,suggest,0.98298615,0.00539952853,185.201355,3.737437944,0.88972133,match_scores,
60070,60070,35,Yellowstone screenwriter Taylor Sheridan. Those Who Wish Me Dead producer Taylor Sheridan. Yellowstone domain tv.,suggest," Are you familiar with any of Taylor Sheridan's works, such as Yellowstone or Those Who Wish Me Dead?",2,3,(X (X (X))),Yellowstone Taylor Sheridan Those Who Wish Me Dead,suggest,0.9855069,0.01502913822,66.53741455,19.49624908,0.8608491,match_scores,
60082,60082,36,Breaking Bad cast member Norbert Weisser. Alias cast member Norbert Weisser. Breaking Bad domain tv.,suggest," Did you watch either Breaking Bad or Alias, featuring Norbert Weisser?",2,3,(X (X (X))),Breaking Bad Norbert Weisser Alias,suggest,0.98573667,0.007928365495,126.1294022,9.23843021,0.8665647,match_scores,
13894,13894,37,Vikings screenwriter Michael Hirst. Michael Hirst genre historical prose literature. Vikings domain tv.,inform," Vikings is a television series written by Michael Hirst, based on his historical prose literature.",2,3,(X (X (X))),Vikings Michael Hirst historical prose literature,inform,0.986949,0.01092858267,91.50317383,11.20375434,0.87428296,match_scores,
60103,60103,38,Breaking Bad creator Vince Gilligan. Vince Gilligan award received Primetime Emmy Award. Breaking Bad domain tv.,suggest,Did you follow the Primetime Emmy Award-winning series Breaking Bad by Vince Gilligan?,2,3,(X (X (X))),Breaking Bad Vince Gilligan Primetime Emmy Award,suggest,0.934436,0.02682224024,37.28249359,9.837489906,0.91436076,match_scores,
13919,13919,39,Foundation genre science fiction television program. Beauty and the Beast genre science fiction television program. Foundation domain tv.,inform," Foundation is a science fiction television program, as well as Beauty and the Beast.",2,3,(X (X (X))),Foundation science fiction television program Beauty and the Beast,inform,0.9834179,0.02077359089,48.13804245,31.53554052,0.9389913,match_scores,
13930,13930,40,True Detective genre drama television series. Prison Break genre drama television series. True Detective domain tv.,inform," True Detective is a drama television series, as is Prison Break.",2,3,(X (X (X))),True Detective drama television series Prison Break,inform,0.97556907,0.01414771644,70.68278503,16.90062199,0.9206714,match_scores_PPL,
60134,60134,41,Breaking Bad creator Vince Gilligan. Talking Saul cast member Vince Gilligan. Breaking Bad domain tv.,suggest," Have you seen any of Vince Gilligan's work, like Breaking Bad and Talking Saul?",2,3,(X (X (X))),Breaking Bad Vince Gilligan Talking Saul,suggest,0.98953456,0.01410306692,70.90656281,7.314031827,0.89396304,match_scores,
60144,60144,42,Breaking Bad producer Vince Gilligan. Vince Gilligan award received Primetime Emmy Award. Breaking Bad domain tv.,suggest," Did you follow the Primetime Emmy Award-winning Breaking Bad, produced by Vince Gilligan?",2,3,(X (X (X))),Breaking Bad Vince Gilligan Primetime Emmy Award,suggest,0.9371403,0.03269249668,30.58805847,9.103526406,0.9120041,match_scores,
13961,13961,43,The Empress characters Franz Liszt. Franz Liszt genre classical music. The Empress domain tv.,inform,The Empress is a television series featuring Franz Liszt in a classical music setting.,2,3,(X (X (X))),The Empress Franz Liszt classical music,inform,0.99068165,0.01305208886,76.61608887,9.103526406,0.86239386,match_scores,
13967,13967,44,The Empress genre biographical film. Victoria genre biographical film. The Empress domain tv.,inform," The Empress is a biographical film, as is Victoria.",2,3,(X (X (X))),The Empress biographical film Victoria,inform,0.89047885,0.007400529135,135.125473,11.20846675,0.9163729,match_scores,
60173,60173,45,Breaking Bad producer Vince Gilligan. Talking Saul cast member Vince Gilligan. Breaking Bad domain tv.,suggest," Did you watch Vince Gilligan's Breaking Bad and its spin-off, Talking Saul?",2,3,(X (X (X))),Breaking Bad Vince Gilligan Talking Saul,suggest,0.9874182,0.01779898964,56.18296432,8.493098745,0.90349483,match_scores,
13986,13986,46,Strike genre crime television series. Charlie's Angels genre crime television series. Strike domain tv.,inform," Strike is a crime television series, as is Charlie's Angels.",2,3,(X (X (X))),Strike crime television series Charlie's Angels,inform,0.9772246,0.005691034389,175.7149811,16.59038701,0.9161794,match_scores_PPL,
60194,60194,47,Ms. Marvel cast member Alysia Reiner. Hawaii Five-0 cast member Alysia Reiner. Ms. Marvel domain tv.,suggest,Did you follow Alysia Reiner in her roles on Ms. Marvel and Hawaii Five-0?,2,3,(X (X (X))),Ms. Marvel Alysia Reiner Hawaii Five-0,suggest,0.97153115,0.01737296125,57.56071091,13.38016138,0.8924215,match_scores,
50912,50912,48,Peaky Blinders cast member Adrien Brody. Adrien Brody award received Academy Award for Best Actor. Peaky Blinders domain tv.,recommend," Have you watched Peaky Blinders? Adrien Brody, who won an Academy Award for Best Actor, is in the cast.",2,3,(X (X (X))),Peaky Blinders Adrien Brody Academy Award for Best Actor,recommend,0.9900884,0.05062752335,19.7521019,19.7599709,0.9141305,match_scores,
14016,14016,49,Belgravia genre historical television series. Downton Abbey genre historical television series. Belgravia domain tv.,inform," Belgravia is a historical television series, similar to Downton Abbey.",2,3,(X (X (X))),Belgravia historical television series Downton Abbey,inform,0.9906178,0.01642661475,60.8768158,16.59038701,0.9578532,match_scores_PPL,
14023,14023,50,Bleak House genre drama television series. Prison Break genre drama television series. Bleak House domain tv.,inform," Bleak House is a drama television series, as is Prison Break.",2,3,(X (X (X))),Bleak House drama television series Prison Break,inform,0.9632447,0.01041148695,96.04776001,16.90062199,0.9202663,match_scores,
14033,14033,51,Ekaterina genre drama film. Manifest genre drama film. Ekaterina domain tv.,inform,Ekaterina is a drama film.,2,3,(X (X (X))),Ekaterina drama film Manifest,inform,0.99400985,0.005650986077,176.9602661,17.9652056,0.8972568,match_scores,
14047,14047,52,Knightfall genre drama film. Manifest genre drama film. Knightfall domain tv.,inform,Knightfall is a drama film.,2,3,(X (X (X))),Knightfall drama film Manifest,inform,0.996227,0.004023319735,248.5509644,17.9652056,0.88012373,match_scores_PPL,
50967,50967,53,Peaky Blinders award received Royal Television Society Awards. Employable Me award received Royal Television Society Awards. Peaky Blinders domain tv.,recommend,Have you seen Peaky Blinders? It won the Royal Television Society Awards and so did Employable Me.,2,3,(X (X (X))),Peaky Blinders Royal Television Society Awards Employable Me,recommend,0.9847081,0.00925961641,107.9958344,17.12473045,0.87531894,match_scores,
50976,50976,54,Peaky Blinders screenwriter Steven Knight. Steven Knight award received British Independent Film Awards. Peaky Blinders domain tv.,recommend," Have you watched the TV series Peaky Blinders? It was written by Steven Knight, who won the British Independent Film Awards.",2,3,(X (X (X))),Peaky Blinders Steven Knight British Independent Film Awards,recommend,0.9450104,0.03279115876,30.49602509,13.30844253,0.8531895,match_scores,
14074,14074,55,The Girlfriend Experience genre drama television series. Prison Break genre drama television series. The Girlfriend Experience domain tv.,inform," The Girlfriend Experience is a drama television series, as is Prison Break.",2,3,(X (X (X))),The Girlfriend Experience drama television series Prison Break,inform,0.9738514,0.01141183895,87.6282959,20.20010691,0.9222756,match_scores_PPL,
60280,60280,56,Peaky Blinders characters Winston Churchill. Anne Frank: The Whole Story cast member Winston Churchill. Peaky Blinders domain tv.,suggest," Have you seen any tv shows featuring Winston Churchill, like Peaky Blinders or Anne Frank: The Whole Story?",2,3,(X (X (X))),Peaky Blinders Winston Churchill Anne Frank: The Whole Story,suggest,0.9834289,0.01964531507,50.90272141,27.65355516,0.838809,match_scores,
60290,60290,57,"Peaky Blinders characters Winston Churchill. Sea and Pine Trees, Cap d'Ail creator Winston Churchill. Peaky Blinders domain tv.",suggest," Did you follow Winston Churchill's tv series Peaky Blinders and Sea and Pine Trees, Cap d'Ail?",2,3,(X (X (X))),"Peaky Blinders Winston Churchill Sea and Pine Trees, Cap d'Ail",suggest,0.9796012,0.002848882717,351.014801,37.15770153,0.89978814,match_scores,
14099,14099,58,Vigil genre police procedural. SOKO 5113 genre police procedural. Vigil domain tv.,inform,Vigil and SOKO 5113 are both police procedurals.,2,3,(X (X (X))),Vigil police procedural SOKO 5113,inform,0.68441576,0.002666738934,374.9898376,11.33958222,0.9252946,match_scores,
60317,60317,59,Peaky Blinders award received BAFTA Award for Best Direction. Stanley Kubrick award received BAFTA Award for Best Direction. Peaky Blinders domain tv.,suggest," Did you follow the BAFTA Award for Best Direction winner Peaky Blinders, like Stanley Kubrick?",2,3,(X (X (X))),Peaky Blinders BAFTA Award for Best Direction Stanley Kubrick,suggest,0.9881725,0.01018741384,98.16033936,27.44348134,0.9259045,match_scores,
14116,14116,60,Wallander screenwriter Henning Mankell. Henning Mankell genre drama. Wallander domain tv.,inform,Wallander is a drama written by Henning Mankell.,2,3,(X (X (X))),Wallander Henning Mankell drama,inform,0.9781084,0.003026184419,330.4491272,11.33958222,0.91853654,match_scores_PPL,
60329,60329,61,The Crown characters Mary of Teck. Downton Abbey characters Mary of Teck. The Crown domain tv.,suggest," Did you follow The Crown or Downton Abbey, featuring Mary of Teck?",2,3,(X (X (X))),The Crown Mary of Teck Downton Abbey,suggest,0.90003633,0.005151000977,194.1370239,15.53712569,0.91262627,match_scores,
14136,14136,62,Wallander genre drama television series. Prison Break genre drama television series. Wallander domain tv.,inform,Wallander is a drama television series.,2,3,(X (X (X))),Wallander drama television series Prison Break,inform,0.99506193,0.002604207646,383.9939575,26.26909894,0.84607846,match_scores_PPL,
60357,60357,63,The Crown cast member Burghart Klaußner. Burghart Klaußner award received Officer's Cross of the Order of Merit of the Federal Republic of Germany. The Crown domain tv.,suggest," Did you watch The Crown, featuring Burghart Klaußner, who was awarded the Officer's Cross of the Order of Merit of the Federal Republic of Germany?",2,3,(X (X (X))),The Crown Burghart Klaußner Officer's Cross of the Order of Merit of the Federal Republic of Germany,suggest,0.9433286,0.01773843482,56.37475967,48.04338761,0.9231562,match_scores,
14156,14156,64,Galactica 1980 genre science fiction television program. Beauty and the Beast genre science fiction television program. Galactica 1980 domain tv.,inform,Galactica 1980 is a science fiction television program.,2,3,(X (X (X))),Galactica 1980 science fiction television program Beauty and the Beast,inform,0.9947766,0.007686883364,130.0917358,31.76215203,0.8684645,match_scores_PPL,
653,653,65,Downton Abbey rating good. Downton Abbey creator Julian Fellowes. Downton Abbey domain tv.,give_opinion,Downton Abbey is a good show with great writing by Julian Fellowes.,2,3,(X (X (X))),Downton Abbey good Downton Abbey Julian Fellowes,give_opinion,0.9884901,0.03757771232,26.61151886,9.23843021,0.856899,match_scores,
14178,14178,66,Angel genre detective television series. Sherlock genre detective television series. Angel domain tv.,inform," Angel is a detective television series, as is Sherlock.",2,3,(X (X (X))),Angel detective television series Sherlock,inform,0.9898168,0.003396646951,294.4079895,15.85116569,0.9073535,match_scores_PPL,
14187,14187,67,The Musketeers genre swashbuckler film. The Three Musketeers genre swashbuckler film. The Musketeers domain tv.,inform,The Musketeers is a swashbuckler film.,2,3,(X (X (X))),The Musketeers swashbuckler film The Three Musketeers,inform,0.6246488,0.01996892805,50.07780075,18.575058,0.8999538,match_scores_PPL,
14194,14194,68,Wolf Hall genre drama television series. Prison Break genre drama television series. Wolf Hall domain tv.,inform,Wolf Hall is a drama television series.,2,3,(X (X (X))),Wolf Hall drama television series Prison Break,inform,0.99527776,0.003339473911,299.4483643,25.8486577,0.8590795,match_scores_PPL,
60416,60416,69,The Crown screenwriter Peter Morgan. Tinker Tailor Soldier Spy producer Peter Morgan. The Crown domain tv.,suggest," Have you seen Peter Morgan's television series The Crown, or his film Tinker Tailor Soldier Spy?",2,3,(X (X (X))),The Crown Peter Morgan Tinker Tailor Soldier Spy,suggest,0.56011546,0.02328773281,42.94106293,16.6174293,0.848648,match_scores,
14212,14212,70,Devils genre financial thriller. Bonus Time genre financial thriller. Devils domain tv.,inform," Devils is a financial thriller, as is Bonus Time.",2,3,(X (X (X))),Devils financial thriller Bonus Time,inform,0.94573456,0.001553184089,643.8386841,11.20846675,0.91311127,match_scores,
60428,60428,71,1899 cast member Andreas Pietschmann. Dark cast member Andreas Pietschmann. 1899 domain tv.,suggest," Did you follow the tv series 1899 and Dark, featuring Andreas Pietschmann?",2,3,(X (X (X))),1899 Andreas Pietschmann Dark,suggest,0.9787987,0.001581939167,632.1355591,6.754312829,0.8550102,match_scores_PPL,
14230,14230,72,My Country: The New Age genre romance television series. Friends genre romance television series. My Country: The New Age domain tv.,inform,My Country: The New Age is a romance television series.,2,3,(X (X (X))),My Country: The New Age romance television series Friends,inform,0.98881,0.004517002722,221.3857422,53.1072535,0.9011462,match_scores_PPL,
14243,14243,73,The Virgin Queen genre docudrama. Criminal Love genre docudrama. The Virgin Queen domain tv.,inform,The Virgin Queen is a docudrama and Criminal Love is a docudrama.,2,3,(X (X (X))),The Virgin Queen docudrama Criminal Love,inform,0.95128345,0.009983171982,100.1685638,15.13321863,0.9009407,match_scores_PPL,
14251,14251,74,Self Made: Inspired by the Life of Madam C. J. Walker genre drama film. Manifest genre drama film. Self Made: Inspired by the Life of Madam C. J. Walker domain tv.,inform,Self Made: Inspired by the Life of Madam C. J. Walker is a drama television film.,2,3,(X (X (X))),Self Made: Inspired by the Life of Madam C. J. Walker drama film Manifest,inform,0.992027,0.007681672864,130.1799774,69.70807034,0.9007699,match_scores,
14262,14262,75,Self Made: Inspired by the Life of Madam C. J. Walker cast member Carmen Ejogo. Carmen Ejogo genre pop music. Self Made: Inspired by the Life of Madam C. J. Walker domain tv.,inform,Self Made: Inspired by the Life of Madam C. J. Walker is a pop music TV series starring Carmen Ejogo.,2,3,(X (X (X))),Self Made: Inspired by the Life of Madam C. J. Walker Carmen Ejogo pop music,inform,0.9928219,0.01390291528,71.92736053,61.1419324,0.9051329,match_scores,
14278,14278,76,Romulus genre drama television series. Prison Break genre drama television series. Romulus domain tv.,inform,Romulus is a drama television series.,2,3,(X (X (X))),Romulus drama television series Prison Break,inform,0.9942169,0.004091938751,244.3829346,26.26909894,0.8543326,match_scores_PPL,
14286,14286,77,Father Ted genre sitcom. Friends genre sitcom. Father Ted domain tv.,inform,Father Ted is a sitcom.,2,3,(X (X (X))),Father Ted sitcom Friends,inform,0.9946009,0.0008618129443,1160.344604,17.9652056,0.8779902,match_scores_PPL,
14293,14293,78,Cougar Town genre American television sitcom. Friends genre American television sitcom. Cougar Town domain tv.,inform,Cougar Town is an American television sitcom.,2,3,(X (X (X))),Cougar Town American television sitcom Friends,inform,0.9928599,0.006858180004,145.8112793,25.8486577,0.9154548,match_scores_PPL,
14307,14307,79,My Love from the Star genre romance film. Dal-ja's Spring genre romance film. My Love from the Star domain tv.,inform," My Love from the Star is a romance film, as is Dal-ja's Spring.",2,3,(X (X (X))),My Love from the Star romance film Dal-ja's Spring,inform,0.94643956,0.003633269519,275.2341919,31.53554052,0.93713087,match_scores,
60525,60525,80,The Big Bang Theory cast member George Takei. George Takei award received Inkpot Award. The Big Bang Theory domain tv.,suggest," Did you follow The Big Bang Theory with George Takei, who won the Inkpot Award?",2,3,(X (X (X))),The Big Bang Theory George Takei Inkpot Award,suggest,0.966611,0.0126658496,78.95246124,19.34529902,0.8846727,match_scores,
60535,60535,81,The Big Bang Theory cast member George Takei. Star Trek: The Original Series cast member George Takei. The Big Bang Theory domain tv.,suggest,Did you follow George Takei in The Big Bang Theory and Star Trek: The Original Series?,2,3,(X (X (X))),The Big Bang Theory George Takei Star Trek: The Original Series,suggest,0.97206455,0.03499296654,28.57717133,43.34366013,0.9298256,match_scores,
