mr_new,pseudo_mr,text,da,entity,num_triples,num_hops
dogs name Chinese Crested. Chinese Crested protectiveness alert. Chinese Crested drooling never drools. Chinese Crested max height female 13.0. Chinese Crested shedding no shedding. Chinese Crested coat length long coat. Chinese Crested grooming lots of grooming.,Chinese Crested Alert Never Drools 13.0 No Shedding Long Coat Lots Of Grooming,"The Chinese Crested is alert and protective, and never drools. It has a long coat, and its maximum height for females is 13 inches. It does not shed, but requires lots of grooming to keep its coat healthy.",inform,dogs,7,1
dogs name Neapolitan Mastiff. Neapolitan Mastiff playfulness semi playful. Neapolitan Mastiff grooming lots of grooming. Neapolitan Mastiff good with other dogs friendly to other dogs. Neapolitan Mastiff good with strangers friendly to strangers.,Neapolitan Mastiff Semi Playful Lots Of Grooming Friendly To Other Dogs Friendly To Strangers,The Neapolitan Mastiff is a semi playful dog that requires lots of grooming. It is very friendly to both other dogs and strangers.,inform,dogs,5,1
dogs name Flat-Coated Retriever. Flat-Coated Retriever protectiveness alert. Flat-Coated Retriever drooling sometimes drool. Flat-Coated Retriever barking sometimes barks. Flat-Coated Retriever max weight female 70.0.,Flat-Coated Retriever Alert Sometimes Drool Sometimes Barks 70.0,The Flat-Coated Retriever is an alert protector and may sometimes drool or bark. The maximum weight for a female Flat-Coated Retriever is 70.0 pounds.,inform,dogs,5,1
dogs name Kuvasz.,Kuvasz,The Kuvasz is an animal.,inform,dogs,1,1
dogs name German Shepherd Dog. German Shepherd Dog max height male 26.0. German Shepherd Dog max weight male 90.0. German Shepherd Dog ratings excellent.,German Shepherd Dog 26.0 90.0 Excellent,The German Shepherd Dog is rated excellent and it has a maximum height of 26.0 inches for males and a maximum weight of 90.0 pounds for males.,inform,dogs,4,1
dogs name Portuguese Podengo Pequeno. Portuguese Podengo Pequeno playfulness very playful. Portuguese Podengo Pequeno energy more energy. Portuguese Podengo Pequeno coat length short coat. Portuguese Podengo Pequeno max height male 12.0. Portuguese Podengo Pequeno barking sometimes barks. Portuguese Podengo Pequeno max weight male 13.0.,Portuguese Podengo Pequeno Very Playful More Energy Short Coat 12.0 Sometimes Barks 13.0,The Portuguese Podengo Pequeno is a very playful and energetic breed with a short coat and a maximum height of 12.0 for males and a maximum weight of 13.0 for males. It sometimes barks.,inform,dogs,7,1
dogs name Russian Tsvetnaya Bolonka. Russian Tsvetnaya Bolonka playfulness most playful. Russian Tsvetnaya Bolonka max weight female 11.0.,Russian Tsvetnaya Bolonka Most Playful 11.0,"The Russian Tsvetnaya Bolonka is a playful breed of dog, with the female reaching a maximum weight of 11.0.",inform,dogs,3,1
dogs name Havanese. Havanese ratings excellent. Havanese max height male 11.5. Havanese energy energetic. Havanese max life expectancy 16. Havanese good with children most kid-friendly.,Havanese Excellent 11.5 Energetic 16 Most Kid-Friendly,"The Havanese is an excellent-rated, energetic dog with a maximum height of 11.5 inches for males. It has a maximum life expectancy of 16 years and is one of the most kid-friendly breeds.",inform,dogs,6,1
dogs name Biewer Terrier. Biewer Terrier playfulness very playful. Biewer Terrier barking sometimes barks. Biewer Terrier good with other dogs most friendly to other dogs.,Biewer Terrier Very Playful Sometimes Barks Most Friendly To Other Dogs,The Biewer Terrier is a very playful breed of dog that sometimes barks. It is usually very friendly to other dogs.,inform,dogs,4,1
dogs name Great Dane. Great Dane max height male 32.0. Great Dane shedding average shedding. Great Dane max weight male 175.0. Great Dane ratings okay. Great Dane trainability trainable. Great Dane protectiveness very alert. Great Dane coat length short coat.,Great Dane 32.0 Average Shedding 175.0 Okay Trainable Very Alert Short Coat,"The Great Dane is a very alert, trainable dog with an average shedding, short-coat. Its maximum height and weight for males is 32.0 inches and 175.0 pounds respectively.",inform,dogs,8,1
dogs name Norwegian Elkhound. Norwegian Elkhound good with other dogs friendly to other dogs. Norwegian Elkhound barking often barks. Norwegian Elkhound trainability easy trainable.,Norwegian Elkhound Friendly To Other Dogs Often Barks Easy Trainable,"The Norwegian Elkhound is friendly to other dogs and easy to train, and it often barks.",inform,dogs,4,1
dogs name Broholmer. Broholmer ratings alright. Broholmer trainability trainable. Broholmer good with children kid-friendly. Broholmer drooling average drool. Broholmer playfulness playful.,Broholmer Alright Trainable Kid-Friendly Average Drool Playful,"The Broholmer is an alright rated dog that is trainable, kid-friendly, and has an average drool. It is also playful.",inform,dogs,6,1
dogs name Plott Hound. Plott Hound playfulness serious and stern. Plott Hound protectiveness minimal alerting. Plott Hound drooling never drools. Plott Hound coat length short coat. Plott Hound shedding no shedding.,Plott Hound Serious And Stern Minimal Alerting Never Drools Short Coat No Shedding,"The Plott Hound is known for its serious and stern demeanor, and its minimal alerting protectiveness. It has a short coat and no shedding, and does not drool.",inform,dogs,6,1
dogs name Chinook. Chinook max height male 26.0. Chinook energy energetic. Chinook protectiveness mainly alert. Chinook shedding average shedding.,Chinook 26.0 Energetic Mainly Alert Average Shedding,"The Chinook is an energetic, alert breed with an average amount of shedding and a max male height of 26.0.",inform,dogs,5,1
dogs name Dachshund. Dachshund good with children kid-friendly. Dachshund good with strangers very friendly to strangers. Dachshund energy energetic. Dachshund good with other dogs very friendly to other dogs. Dachshund protectiveness mainly alert. Dachshund max height female 9.0. Dachshund grooming lots of grooming.,Dachshund Kid-Friendly Very Friendly To Strangers Energetic Very Friendly To Other Dogs Mainly Alert 9.0 Lots Of Grooming,"The Dachshund is a kid friendly, friendly to strangers, and energetic dog that is also friendly to other dogs. It is mainly alert when it comes to protectiveness and it has a maximum height of 9.0 for females. It requires lots of grooming.",inform,dogs,8,1
dogs name Braque du Bourbonnais. Braque du Bourbonnais max weight male 53.0. Braque du Bourbonnais max height female 22.5. Braque du Bourbonnais protectiveness alert. Braque du Bourbonnais playfulness playful. Braque du Bourbonnais grooming most grooming.,Braque Du Bourbonnais 53.0 22.5 Alert Playful Most Grooming,"The Braque du Bourbonnais has a maximum weight of 53.0 for males and 22.5 for females. It is an alert and playful breed, requiring a moderate amount of grooming.",inform,dogs,6,1
dogs name Japanese Chin. Japanese Chin max life expectancy 12.,Japanese Chin 12,The Japanese Chin has a maximum life expectancy of 12 years.,inform,dogs,2,1
dogs name Pumi. Pumi barking sometimes barks. Pumi playfulness very playful. Pumi good with children kid-friendly.,Pumi Sometimes Barks Very Playful Kid-Friendly,The Pumi is a very playful and kid-friendly dog that sometimes barks.,inform,dogs,4,1
dogs name Broholmer. Broholmer barking silient. Broholmer max height female 29.5. Broholmer max life expectancy 10. Broholmer max weight female 150.0. Broholmer drooling average drool. Broholmer protectiveness mainly alert.,Broholmer Silient 29.5 10 150.0 Average Drool Mainly Alert,"The Broholmer is a silent barker, with the females typically standing at 29.5 inches and weighing 150 pounds. They have an average life expectancy of 10 years and their drooling is average. They are mainly alert and protective.",inform,dogs,7,1
dogs name Dutch Shepherd. Dutch Shepherd grooming lots of grooming. Dutch Shepherd max life expectancy 14.,Dutch Shepherd Lots Of Grooming 14,The Dutch Shepherd is a breed that requires lots of grooming and has a maximum life expectancy of 14 years.,inform,dogs,3,1
dogs name Bernese Mountain Dog. Bernese Mountain Dog coat length short coat.,Bernese Mountain Dog Short Coat,The Bernese Mountain Dog has a short coat.,inform,dogs,2,1
dogs name Newfoundland. Newfoundland grooming lots of grooming. Newfoundland good with strangers most friendly to strangers. Newfoundland energy energetic. Newfoundland coat length short coat. Newfoundland good with other dogs most friendly to other dogs. Newfoundland good with children most kid-friendly. Newfoundland drooling always drools.,Newfoundland Lots Of Grooming Most Friendly To Strangers Energetic Short Coat Most Friendly To Other Dogs Most Kid-Friendly Always Drools,"The Newfoundland is an energetic dog that loves lots of grooming and is most friendly to strangers, other dogs, and children. It has a short coat and always drools.",inform,dogs,8,1
dogs name Finnish Spitz. Finnish Spitz good with other dogs very friendly to other dogs. Finnish Spitz coat length short coat.,Finnish Spitz Very Friendly To Other Dogs Short Coat,The Finnish Spitz is a friendly breed of dog that gets along well with other dogs. It has a short coat.,inform,dogs,3,1
dogs name Estrela Mountain Dog. Estrela Mountain Dog good with children most kid-friendly. Estrela Mountain Dog playfulness playful. Estrela Mountain Dog coat length short coat.,Estrela Mountain Dog Most Kid-Friendly Playful Short Coat,"The Estrela Mountain Dog is known for being very kid-friendly, playful, and having a short coat.",inform,dogs,4,1
dogs name Great Pyrenees. Great Pyrenees max weight male 120.0. Great Pyrenees playfulness playful. Great Pyrenees good with strangers friendly to strangers. Great Pyrenees max life expectancy 12.,Great Pyrenees 120.0 Playful Friendly To Strangers 12,"The Great Pyrenees is a playful and friendly dog that typically lives 12 years, and can weigh up to 120 pounds.",inform,dogs,5,1
dogs name Great Pyrenees. Great Pyrenees grooming lots of grooming. Great Pyrenees max height female 32.0. Great Pyrenees max weight female 90.0.,Great Pyrenees Lots Of Grooming 32.0 90.0,The Great Pyrenees requires lots of grooming and can reach a maximum height of 32.0 inches for females and a maximum weight of 90.0lbs.,inform,dogs,4,1
dogs name Akita. Akita ratings alright.,Akita Alright,The Akita is rated alright.,inform,dogs,2,1
dogs name Barbet. Barbet barking sometimes barks. Barbet ratings okay. Barbet max weight female 65.0. Barbet protectiveness alert.,Barbet Sometimes Barks Okay 65.0 Alert,"The Barbet is an okay rated dog, which is alert and sometimes barks. The maximum weight for a female is 65.0.",inform,dogs,5,1
dogs name Drever. Drever max height female 15.0. Drever good with children most kid-friendly. Drever coat length short coat. Drever max life expectancy 15. Drever max weight female 40.0.,Drever 15.0 Most Kid-Friendly Short Coat 15 40.0,The Drever is a small breed with a maximum height of 15.0 for females and 40.0 for males. It has a short coat and is known to be one of the most kid-friendly breeds. The average life expectancy is 15 years.,inform,dogs,6,1
dogs name Basenji. Basenji ratings alright. Basenji shedding minimal shedding.,Basenji Alright Minimal Shedding,The Basenji is rated as alright and has minimal shedding.,inform,dogs,3,1
dogs name Cavalier King Charles Spaniel. Cavalier King Charles Spaniel shedding minimal shedding. Cavalier King Charles Spaniel barking sometimes barks. Cavalier King Charles Spaniel max weight male 18.0. Cavalier King Charles Spaniel max weight female 18.0. Cavalier King Charles Spaniel grooming lots of grooming. Cavalier King Charles Spaniel coat length short coat. Cavalier King Charles Spaniel max height male 13.0.,Cavalier King Charles Spaniel Minimal Shedding Sometimes Barks 18.0 18.0 Lots Of Grooming Short Coat 13.0,"The Cavalier King Charles Spaniel is a small dog breed that has a short coat and minimal shedding, and requires lots of grooming. It sometimes barks and has a max weight of 18.0 for both males and females, with a max height of 13.0 for males.",inform,dogs,8,1
dogs name Cardigan Welsh Corgi. Cardigan Welsh Corgi barking always barks. Cardigan Welsh Corgi max weight male 38.0.,Cardigan Welsh Corgi Always Barks 38.0,The Cardigan Welsh Corgi  is an animal that always barks and can weigh up to 38.0 pounds for males.,inform,dogs,3,1
dogs name Icelandic Sheepdog. Icelandic Sheepdog good with other dogs very friendly to other dogs. Icelandic Sheepdog shedding average shedding. Icelandic Sheepdog drooling sometimes drool. Icelandic Sheepdog ratings excellent. Icelandic Sheepdog grooming lots of grooming. Icelandic Sheepdog max weight male 30.0. Icelandic Sheepdog energy more energy.,Icelandic Sheepdog Very Friendly To Other Dogs Average Shedding Sometimes Drool Excellent Lots Of Grooming 30.0 More Energy,The Icelandic Sheepdog is an excellent rated dog that is very friendly to other dogs and has average shedding. It sometimes drools and needs lots of grooming to stay healthy. It has more energy than other breeds and the males can weigh up to 30 pounds.,inform,dogs,8,1
dogs name Chihuahua. Chihuahua barking always barks. Chihuahua drooling never drools. Chihuahua grooming most grooming. Chihuahua max weight female 6.0. Chihuahua protectiveness mainly alert.,Chihuahua Always Barks Never Drools Most Grooming 6.0 Mainly Alert,Chihuahuas are always barking and never drooling. They require the most grooming and the maximum weight for females is 6.0. They have a mainly alert protectiveness.,inform,dogs,6,1
dogs name Coton de Tulear. Coton de Tulear good with other dogs most friendly to other dogs.,Coton De Tulear Most Friendly To Other Dogs,The Coton de Tulear is known for being one of the most friendly dogs to other dogs.,inform,dogs,2,1
dogs name Japanese Spitz. Japanese Spitz shedding average shedding. Japanese Spitz max weight male 25.0. Japanese Spitz protectiveness alert. Japanese Spitz good with strangers friendly to strangers. Japanese Spitz max weight female 25.0. Japanese Spitz drooling never drools.,Japanese Spitz Average Shedding 25.0 Alert Friendly To Strangers 25.0 Never Drools,"The Japanese Spitz is an alert and friendly dog, that never drools and is average in terms of shedding. It has a maximum weight of 25.0 for both male and female.",inform,dogs,7,1
dogs name Dutch Shepherd. Dutch Shepherd ratings okay. Dutch Shepherd good with strangers friendly to strangers. Dutch Shepherd max weight male 75.0.,Dutch Shepherd Okay Friendly To Strangers 75.0,"The Dutch Shepherd is rated okay, and it is typically friendly to strangers. The maximum weight for male Dutch Shepherds is 75.0.",inform,dogs,4,1
dogs name Belgian Sheepdog. Belgian Sheepdog max weight male 75.0. Belgian Sheepdog good with other dogs friendly to other dogs.,Belgian Sheepdog 75.0 Friendly To Other Dogs,The Belgian Sheepdog is a friendly breed that is known for getting along well with other dogs. The maximum weight for a male is 75.0.,inform,dogs,3,1
dogs name Stabyhoun. Stabyhoun drooling sometimes drool. Stabyhoun max life expectancy 15. Stabyhoun shedding average shedding. Stabyhoun ratings excellent.,Stabyhoun Sometimes Drool 15 Average Shedding Excellent,"The Stabyhoun sometimes drools, and has an average shedding rate. It's ratings are excellent, and it can live up to 15 years.",inform,dogs,5,1
dogs name American English Coonhound. American English Coonhound coat length short coat. American English Coonhound protectiveness alert. American English Coonhound drooling never drools. American English Coonhound shedding minimal shedding. American English Coonhound ratings alright.,American English Coonhound Short Coat Alert Never Drools Minimal Shedding Alright,"The American English Coonhound has a short coat, is alert and protective, and never drools. It also has minimal shedding and has a fairly good rating overall.",inform,dogs,6,1
dogs name Kishu Ken. Kishu Ken good with children kid-friendly. Kishu Ken drooling never drools.,Kishu Ken Kid-Friendly Never Drools,The Kishu Ken is a kid-friendly breed of dog that never drools.,inform,dogs,3,1
dogs name Field Spaniel. Field Spaniel good with strangers very friendly to strangers. Field Spaniel shedding average shedding. Field Spaniel playfulness playful. Field Spaniel energy energetic. Field Spaniel coat length short coat. Field Spaniel max height female 18.0.,Field Spaniel Very Friendly To Strangers Average Shedding Playful Energetic Short Coat 18.0,The Field Spaniel is a friendly and playful dog with an energetic nature and an average shedding short coat. The female's max height is 18.0.,inform,dogs,7,1
dogs name Belgian Laekenois. Belgian Laekenois max life expectancy 12. Belgian Laekenois max height male 26.0. Belgian Laekenois good with strangers friendly to strangers. Belgian Laekenois max height female 26.0. Belgian Laekenois grooming lots of grooming. Belgian Laekenois shedding average shedding.,Belgian Laekenois 12 26.0 Friendly To Strangers 26.0 Lots Of Grooming Average Shedding,"The Belgian Laekenois is a friendly breed towards strangers and requires lots of grooming. It has an average shedding level, a maximum height of 26.0 inches for both males and females and a life expectancy of 12 years.",inform,dogs,7,1
dogs name Shikoku. Shikoku shedding average shedding. Shikoku max height female 22.0.,Shikoku Average Shedding 22.0,The Shikoku is a breed of dog which has average shedding and the max height of female is 22.0.,inform,dogs,3,1
dogs name Kromfohrlander. Kromfohrlander max life expectancy 15. Kromfohrlander good with other dogs friendly to other dogs. Kromfohrlander max height male 18.0.,Kromfohrlander 15 Friendly To Other Dogs 18.0,The Kromfohrlander is a friendly dog that is good with other dogs and typically lives for 15 years. The maximum height for a male Kromfohrlander is 18 inches.,inform,dogs,4,1
dogs name Japanese Chin. Japanese Chin drooling never drools. Japanese Chin max height female 11.0. Japanese Chin max height male 11.0. Japanese Chin good with children kid-friendly.,Japanese Chin Never Drools 11.0 11.0 Kid-Friendly,The Japanese Chin is kid-friendly and never drools. It has a maximum height of 11.0 inches for both males and females.,inform,dogs,5,1
dogs name Norwegian Elkhound. Norwegian Elkhound barking often barks. Norwegian Elkhound drooling sometimes drool. Norwegian Elkhound max height male 20.5. Norwegian Elkhound shedding average shedding.,Norwegian Elkhound Often Barks Sometimes Drool 20.5 Average Shedding,The Norwegian Elkhound often barks and has an average shedding rate. It sometimes drools and can grow up to 20.5 inches tall for males.,inform,dogs,5,1
dogs name Boerboel. Boerboel max life expectancy 11. Boerboel protectiveness very alert. Boerboel drooling average drool. Boerboel playfulness playful. Boerboel trainability easy trainable.,Boerboel 11 Very Alert Average Drool Playful Easy Trainable,"The Boerboel is a very alert and playful breed of dog, with an average life expectancy of 11 years. It is easy to train and has an average drooling tendency.",inform,dogs,6,1
dogs name Perro de Presa Canario. Perro de Presa Canario grooming most grooming. Perro de Presa Canario max height male 26.0. Perro de Presa Canario max weight female 110.0. Perro de Presa Canario coat length short coat. Perro de Presa Canario good with strangers not friendly to strangers.,Perro De Presa Canario Most Grooming 26.0 110.0 Short Coat Not Friendly To Strangers,The Perro de Presa Canario has a short coat that requires the most grooming. It's maximum height is 26 inches for males and 110 pounds for females. This breed is not very friendly to strangers.,inform,dogs,6,1
dogs name Hokkaido. Hokkaido max height female 20.0. Hokkaido energy more energy. Hokkaido good with children kid-friendly.,Hokkaido 20.0 More Energy Kid-Friendly,"The Hokkaido is an energetic, kid-friendly dog breed with a maximum height of 20.0 inches for females.",inform,dogs,4,1
dogs name Cirneco dell’Etna. Cirneco dell’Etna energy energetic. Cirneco dell’Etna max height male 19.5. Cirneco dell’Etna good with other dogs very friendly to other dogs. Cirneco dell’Etna ratings good. Cirneco dell’Etna max height female 19.5.,Cirneco Dell’Etna Energetic 19.5 Very Friendly To Other Dogs Good 19.5,"The Cirneco dell'Etna is an energetic dog, with a maximum height of 19.5 inches for males and 19.5 for females. It is very friendly with other dogs and has good ratings.",inform,dogs,6,1
dogs name Cavalier King Charles Spaniel. Cavalier King Charles Spaniel protectiveness alert. Cavalier King Charles Spaniel grooming lots of grooming. Cavalier King Charles Spaniel max weight male 18.0. Cavalier King Charles Spaniel barking sometimes barks. Cavalier King Charles Spaniel max height female 13.0. Cavalier King Charles Spaniel ratings okay. Cavalier King Charles Spaniel playfulness playful.,Cavalier King Charles Spaniel Alert Lots Of Grooming 18.0 Sometimes Barks 13.0 Okay Playful,"The Cavalier King Charles Spaniel is an alert and playful dog, with a maximum weight of 18.0 for males and 13.0 for females. It requires lots of grooming and sometimes barks. It is rated okay overall.",inform,dogs,8,1
dogs name American Foxhound. American Foxhound good with strangers friendly to strangers. American Foxhound energy more energy. American Foxhound max height female 25.0.,American Foxhound Friendly To Strangers More Energy 25.0,The American Foxhound is friendly to strangers and has more energy than most other dogs. The maximum height of a female American Foxhound is 25.0 inches.,inform,dogs,4,1
dogs name Lhasa Apso. Lhasa Apso ratings alright. Lhasa Apso playfulness playful. Lhasa Apso good with other dogs friendly to other dogs. Lhasa Apso drooling never drools.,Lhasa Apso Alright Playful Friendly To Other Dogs Never Drools,"The Lhasa Apso is an alright rated dog, known for being playful and friendly to other dogs, and it never drools.",inform,dogs,5,1
dogs name Hanoverian Scenthound. Hanoverian Scenthound playfulness playful. Hanoverian Scenthound barking often barks. Hanoverian Scenthound energy more energy. Hanoverian Scenthound max weight female 99.0.,Hanoverian Scenthound Playful Often Barks More Energy 99.0,The Hanoverian Scenthound is a playful breed of dog that often barks and has a lot of energy. The maximum weight of a female Hanoverian Scenthound is 99.0 pounds.,inform,dogs,5,1
dogs name Afghan Hound. Afghan Hound shedding no shedding. Afghan Hound barking sometimes barks. Afghan Hound drooling never drools. Afghan Hound good with other dogs friendly to other dogs. Afghan Hound energy more energy.,Afghan Hound No Shedding Sometimes Barks Never Drools Friendly To Other Dogs More Energy,The Afghan Hound does not shed and it only sometimes barks. It never drools and is friendly to other dogs. It has more energy than other breeds.,inform,dogs,6,1
dogs name American Foxhound. American Foxhound shedding average shedding. American Foxhound grooming most grooming. American Foxhound ratings good.,American Foxhound Average Shedding Most Grooming Good,The American Foxhound is an average shedding breed that requires most grooming and recieves good ratings.,inform,dogs,4,1
dogs name Portuguese Water Dog. Portuguese Water Dog max life expectancy 13.,Portuguese Water Dog 13,The Portuguese Water Dog has a life expectancy of up to 13 years.,inform,dogs,2,1
